percentile,PTOTVAL,PEARNVAL,Diff
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.23228649989803848,0.0,0.23228649989803848
29,0.46830019004709966,0.0,0.46830019004709966
30,1.4992922854728372,0.0,1.4992922854728372
31,2.900065176638974,0.0,2.900065176638974
32,4.615796876081187,0.0,4.615796876081187
33,6.249393182213118,0.0,6.249393182213118
34,8.187309873038155,0.0,8.187309873038155
35,9.83002653717555,0.0,9.83002653717555
36,11.123838580714006,0.0,11.123838580714006
37,12.011688164878242,0.0,12.011688164878242
38,13.192142857480064,0.0,13.192142857480064
39,14.30420746474108,0.0,14.30420746474108
40,15.15134528671136,0.0,15.15134528671136
41,16.326351182699522,0.0,16.326351182699522
42,17.61857765916798,0.0,17.61857765916798
43,18.83184646080471,0.0,18.83184646080471
44,19.841628491957852,0.0,19.841628491957852
45,20.708902217522834,0.0,20.708902217522834
46,22.01497834634843,0.0,22.01497834634843
47,23.451710138316564,0.0,23.451710138316564
48,24.555127948995157,0.07956033216316574,24.47556761683199
49,25.361510780601726,1.7081153406352412,23.653395439966484
50,26.564261169211004,3.6945165466380105,22.869744622572995
51,28.050379297557985,5.768960503251335,22.28141879430665
52,29.56958832296782,8.571691915678237,20.997896407289584
53,30.06257489004217,10.62697175153375,19.43560313850842
54,31.282219818108867,13.303971081336337,17.978248736772528
55,32.60828356691692,14.995358538639264,17.61292502827765
56,34.468285130962414,17.874634721161733,16.59365040980068
57,35.25605881658575,19.769882048393868,15.486176768191882
58,36.52136566230621,21.765874006246346,14.755491656059863
59,38.158031245463974,24.065807177226823,14.092224068237151
60,39.66094916503962,25.133457504859948,14.52749166017967
61,40.33096863807498,27.908421692792498,12.42254694528248
62,41.93422378685804,29.695229105351583,12.238994681506458
63,43.939856718568365,30.034868990939454,13.90498772762891
64,45.21773751050819,32.80275455350319,12.414982957004995
65,46.89595304328384,34.73710810586988,12.15884493741396
66,48.701623061694924,35.91635908395397,12.785263977740954
67,49.8858773485898,38.77147763675931,11.114399711830494
68,50.72561909084225,39.766599525241745,10.959019565600506
69,52.51230483443898,41.38382640754166,11.128478426897317
70,54.68336859182953,44.0704998595574,10.612868732272126
71,56.26837708599458,44.9676044847573,11.300772601237277
72,59.07576535187411,47.80990604777832,11.265859304095791
73,60.09148842939232,49.651047549393645,10.440440879998675
74,61.52017880375968,49.91910496310103,11.60107384065865
75,64.30526775991655,51.97171775198608,12.33355000793047
76,66.28840750718591,54.74047467648307,11.547932830702841
77,69.59935809804072,57.71761159360552,11.881746504435206
78,71.22626199870743,59.69742007908474,11.528841919622685
79,74.37081979028983,59.971474274090134,14.399345516199695
80,76.11909525033026,64.53350567446064,11.58558957586962
81,79.66468947981305,66.72667990341506,12.938009576397988
82,81.82058192643164,69.76349658546039,12.057085340971256
83,85.32525459406352,72.72511894041335,12.60013565365017
84,89.79962748510363,74.87666729737333,14.922960187730297
85,93.3852567947498,79.5615210521225,13.823735742627292
86,98.4575552074941,80.81653588342391,17.641019324070186
87,101.05933662952266,85.54870320008519,15.510633429437476
88,106.13923810882277,89.90381850923443,16.23541959958834
89,112.06456037094654,96.72595030901626,15.338610061930282
90,119.74984501564076,99.8023463453364,19.947498670304356
91,125.27723662852678,104.93073395440466,20.34650267412212
92,133.90713635659975,114.66592324687353,19.241213109726218
93,145.22180945875033,119.97454119079724,25.24726826795309
94,153.91284707442782,129.9509975349608,23.96184953946701
95,167.91411042920387,149.5084464953256,18.405663933878287
96,186.55070792120065,156.64147661268447,29.909231308516183
97,209.10964507283802,179.7643142507629,29.345330822075113
98,253.18043028045196,209.94776788425554,43.23266239619642
