date,Owner,Renter,pop
1989-01-01,0.8654154467870792,0.6722793148711499,0.9221647120487564
1989-04-01,0.8349132116168501,0.5596255310545338,0.9402736233021125
1989-07-01,0.7610882164069366,0.37392877490742765,0.9553543043928414
1989-10-01,0.6627624933261539,0.2670679196822134,0.9789970971597617
1990-01-01,0.42172260981150506,0.22192656334386393,1.0046254970380586
1990-04-01,0.18426090642151494,0.2652960588045601,1.090613196662571
1990-07-01,0.22279859771212968,0.29527483122304493,1.1695693949890673
1990-10-01,0.3829761361389443,0.1567055569778939,1.2513387069500004
1991-01-01,0.55049380711098,0.3004811055205636,1.334479544943279
1991-04-01,0.797392074461278,0.2008580006799744,1.3423517586329758
1991-07-01,0.8042990768543181,0.1581878141160725,1.344799377481598
1991-10-01,0.8086026316447535,0.28349909132705986,1.3332962200077958
1992-01-01,0.824603528094683,0.19296197592549827,1.3188878053421504
1992-04-01,0.7928060566263866,0.28922226913595417,1.3340551562259106
1992-07-01,0.7589934536448657,0.3508539814471638,1.347036008898872
1992-10-01,0.8529314796959053,0.34199892863647363,1.3506778896148486
1993-01-01,0.8315235818211952,0.25726324779660503,1.3514095115128022
1993-04-01,0.7198915596110986,0.18694972820232436,1.3207819403444843
1993-07-01,0.7322257309997733,0.18508764618553525,1.2929996192489135
1993-10-01,0.706604983640654,0.17592582101049625,1.266082539289215
1994-01-01,0.2963953237303001,0.39922820208008447,1.2395816846112018
1994-04-01,0.13386606675044577,0.46130149880919563,1.2292842132811899
1994-07-01,-0.000309735308419809,0.44339713397386177,1.2105218745445123
1994-10-01,-0.18477233637893206,0.5958183043196432,1.1971079767689963
1995-01-01,0.4393109028447777,0.4577648862304624,1.1965681601525224
1995-04-01,1.0220339556265843,0.251469609788818,1.186981978556756
1995-07-01,1.3483066729761273,0.05154996754961566,1.186190169401602
1995-10-01,1.6255929851278967,-0.3131973807237999,1.1871028192747435
1996-01-01,1.5872730169333245,-0.5564538532884753,1.1677242377198693
1996-04-01,1.4525427568233265,-0.5568426543578467,1.1681733811273576
1996-07-01,1.4261841358207903,-0.4579089290556528,1.171535580524341
1996-10-01,1.302411952437487,-0.302988122585319,1.184004181913223
1997-01-01,1.2106342822781009,-0.08055494579980035,1.2000581033718483
1997-04-01,1.074848466393452,0.0059555294902317165,1.2018525465086416
1997-07-01,1.037144887890868,0.05638044245176578,1.20794586270212
1997-10-01,1.0906492986738483,0.11419677541606793,1.2011469015576148
1998-01-01,1.1912419924572966,0.0477582952698854,1.1928202599104099
1998-04-01,1.2639956132073824,0.09794102516648684,1.1802397912560991
1998-07-01,1.3378330390635178,-0.04204909173317353,1.1606087983876634
1998-10-01,1.46221805443985,-0.1584596393369375,1.1500623527781695
1999-01-01,1.5080657222065366,-0.21105749753466455,1.146753955264601
1999-04-01,1.5568212416298188,-0.30746519427990776,1.146523614179018
1999-07-01,1.4915004573706367,-0.10250763485610194,1.1523553318580904
1999-10-01,1.410277204181412,-0.064394909388885,1.1506849315068512
2000-01-01,1.2584641393559521,-0.04692391224651246,1.1510123946882889
2000-04-01,1.1264560619082769,-0.11509234787862141,1.125279706236726
2000-07-01,1.0805109870348966,-0.310312064420171,1.0788165189758114
2000-10-01,1.0987162380862292,-0.34253699139762717,1.042795232936089
2001-01-01,1.1838438176166166,-0.2703954804388547,1.0184711202115837
2001-04-01,1.3148412988161438,-0.16614223326765618,1.0056666264778302
2001-07-01,1.3074481048283273,-0.06828189546259439,0.995512237904439
2001-10-01,1.2702075627596385,-0.050018437065451796,0.9851226377161293
2002-01-01,1.180236806714998,-0.01996960036242909,0.9733644415822917
2002-04-01,1.1641207666811002,0.1690873621315787,0.9605459945653427
2002-07-01,1.0161426931213464,0.3052601919636667,0.9520841503725785
2002-10-01,0.9503833640977508,0.370375253021629,0.9416333986469239
2003-01-01,0.9111103514048068,0.3830543637069322,0.9319183787268814
2003-04-01,0.8478934353232497,0.16471732602304245,0.9315863047424378
2003-07-01,0.8796779255058369,-0.05024232301652411,0.9264558468000672
2003-10-01,0.8648569289778744,-0.11242472038496269,0.9210849564197376
2004-01-01,0.9414396182618476,-0.26597442571151597,0.9074303630066671
2004-04-01,1.1965827559350561,-0.44724879312842497,0.9033498361774139
2004-07-01,1.4515192068261413,-0.3912488180555849,0.9035171527352892
2004-10-01,1.7406191056632836,-0.3332434436210957,0.9137069760584815
2005-01-01,1.9026059804905815,-0.1986770510443533,0.9307514106701165
2005-04-01,1.5875621405180413,0.34902681165643346,0.9263337601365773
2005-07-01,1.3570795915903116,0.5580242472567917,0.9322111831282287
2005-10-01,1.0579925538354091,0.6891130083264487,0.9349922197231741
2006-01-01,0.6697300573562488,0.9209068433545511,0.9421712317388531
2006-04-01,0.7778997897982978,0.6814360705280836,0.9540306101736284
2006-07-01,0.7657502216883343,0.5133456840270461,0.9583586421002988
2006-10-01,0.6583887552944395,0.4500111306990109,0.9626842059201612
2007-01-01,0.6002393432981568,0.2491411763064394,0.9649488137141615
2007-04-01,0.32636235433075744,0.3553006315572531,0.9637811318731426
2007-07-01,-0.024321067512415,0.5748867045455703,0.9632996858078835
2007-10-01,-0.30609107728262797,0.8129955962276276,0.9611730111420025
2008-01-01,-0.3752550659344811,0.9378886054374688,0.959718438237056
2008-04-01,-0.3709571680949904,0.8149178010338531,0.9545810597310078
2008-07-01,-0.18858178610304321,0.6806293874557852,0.9402043289125972
2008-10-01,-0.06021733463307575,0.43354751829757393,0.9203213694857437
2009-01-01,-0.0597246385559368,0.41522812702012135,0.9038069945369598
