date,APERMITS,ASTARTS,ACOMPLETIONS
1989-01-01,1040.0,1149.0,1157.0
1989-02-01,943.0,1002.0,1163.0
1989-03-01,860.0,982.0,1038.0
1989-04-01,948.0,1030.0,1106.0
1989-05-01,910.0,989.0,1042.0
1989-06-01,882.0,973.0,969.0
1989-07-01,913.0,1027.0,974.0
1989-08-01,935.0,1000.0,1042.0
1989-09-01,948.0,966.0,950.0
1989-10-01,953.0,1025.0,993.0
1989-11-01,986.0,1023.0,1074.0
1989-12-01,983.0,909.0,924.0
1990-01-01,989.0,1100.0,1071.0
1990-02-01,963.0,1102.0,1036.0
1990-03-01,912.0,971.0,1007.0
1990-04-01,818.0,922.0,964.0
1990-05-01,793.0,893.0,989.0
1990-06-01,795.0,885.0,947.0
1990-07-01,775.0,883.0,978.0
1990-08-01,764.0,827.0,959.0
1990-09-01,721.0,858.0,958.0
1990-10-01,708.0,835.0,926.0
1990-11-01,682.0,780.0,923.0
1990-12-01,655.0,751.0,890.0
1991-01-01,587.0,604.0,855.0
1991-02-01,680.0,755.0,823.0
1991-03-01,694.0,750.0,864.0
1991-04-01,742.0,819.0,821.0
1991-05-01,763.0,839.0,800.0
1991-06-01,763.0,874.0,816.0
1991-07-01,787.0,887.0,823.0
1991-08-01,772.0,882.0,820.0
1991-09-01,788.0,868.0,885.0
1991-10-01,787.0,878.0,877.0
1991-11-01,789.0,916.0,827.0
1991-12-01,860.0,947.0,835.0
1992-01-01,893.0,969.0,854.0
1992-02-01,951.0,1102.0,902.0
1992-03-01,897.0,1037.0,966.0
1992-04-01,868.0,945.0,895.0
1992-05-01,885.0,1038.0,995.0
1992-06-01,888.0,999.0,992.0
1992-07-01,884.0,984.0,1035.0
1992-08-01,883.0,1037.0,956.0
1992-09-01,914.0,1024.0,941.0
1992-10-01,944.0,1093.0,970.0
1992-11-01,945.0,1078.0,1004.0
1992-12-01,1017.0,1075.0,991.0
1993-01-01,989.0,1091.0,975.0
1993-02-01,953.0,1063.0,1043.0
1993-03-01,881.0,950.0,983.0
1993-04-01,922.0,1110.0,1067.0
1993-05-01,911.0,1128.0,973.0
1993-06-01,932.0,1081.0,1017.0
1993-07-01,977.0,1086.0,956.0
1993-08-01,1000.0,1162.0,1084.0
1993-09-01,1028.0,1143.0,1047.0
1993-10-01,1071.0,1209.0,1078.0
1993-11-01,1125.0,1228.0,1102.0
1993-12-01,1161.0,1316.0,1129.0
1994-01-01,1112.0,1140.0,1083.0
1994-02-01,1065.0,1133.0,1198.0
1994-03-01,1078.0,1306.0,1091.0
1994-04-01,1084.0,1206.0,1209.0
1994-05-01,1110.0,1244.0,1242.0
1994-06-01,1067.0,1193.0,1149.0
1994-07-01,1041.0,1231.0,1170.0
1994-08-01,1054.0,1149.0,1149.0
1994-09-01,1056.0,1201.0,1158.0
1994-10-01,1042.0,1152.0,1170.0
1994-11-01,1014.0,1187.0,1139.0
1994-12-01,1086.0,1151.0,1172.0
1995-01-01,967.0,1083.0,1195.0
1995-02-01,916.0,1053.0,1079.0
1995-03-01,914.0,996.0,1195.0
1995-04-01,925.0,1013.0,1098.0
1995-05-01,958.0,1024.0,1062.0
