date,AVERAGE,MEDIAN
1989-01-01,345.45391907514454,281.64713459950457
1989-02-01,360.6642335526316,292.90006578947373
1989-03-01,367.73151267375306,303.56359771054787
1989-04-01,354.79828757108044,286.14347034930955
1989-05-01,353.76739579967693,290.1331502423264
1989-06-01,373.5858952457695,298.6741402095085
1989-07-01,340.4147170418006,281.4547909967846
1989-08-01,384.19895345104334,297.7178523274479
1989-09-01,364.8593568,289.76256
1989-10-01,355.18599363057325,295.5878025477707
1989-11-01,362.9703764892772,299.67831612390785
1989-12-01,369.3361998413958,299.6817383029342
1990-01-01,359.4075447409733,296.1499215070644
1990-02-01,355.836346875,299.242096875
1990-03-01,339.1257622377623,280.025006993007
1990-04-01,359.2059146625291,304.411792086889
1990-05-01,351.83050773993807,292.0239938080495
1990-06-01,349.469856812933,290.4503464203233
1990-07-01,346.74104907975465,274.7540889570552
1990-08-01,331.8819848024316,271.56065653495443
1990-09-01,323.2169977392615,257.02688771665413
1990-10-01,345.9244044943821,271.31325842696634
1990-11-01,323.26680717488784,268.22347085201795
1990-12-01,346.05113901345294,286.4960538116592
1991-01-01,333.2305319465082,264.386808320951
1991-02-01,330.94481305637987,268.472821958457
1991-03-01,349.68259555555557,273.88822222222217
1991-04-01,336.66323076923084,270.1342899408284
1991-05-01,323.6501061946903,258.20778761061945
1991-06-01,323.8078852941177,264.1065
1991-07-01,328.4294801762115,265.93480176211455
1991-08-01,313.32609663250366,266.92378330893115
1991-09-01,324.05570553935866,263.996501457726
1991-10-01,323.80368558951966,269.3238253275109
1991-11-01,310.37852830188683,259.5614368650218
1991-12-01,312.99889775199426,267.0340246555475
1992-01-01,315.1683649529326,262.2760318609703
1992-02-01,315.3380432900433,255.2321731601732
1992-03-01,313.75343000717874,260.01665470208184
1992-04-01,313.7363440860215,259.6438709677419
1992-05-01,315.44778811739445,244.1479455977094
1992-06-01,315.6145335235379,268.03553495007134
1992-07-01,295.8207629893239,253.49927402135233
1992-08-01,311.26168062455645,264.56171753016326
1992-09-01,303.7585222929937,255.26823779193208
1992-10-01,315.884784203103,266.07545839210155
1992-11-01,312.8891492957747,273.9905661971831
1992-12-01,310.98254545454546,268.0150528541226
1993-01-01,294.0043506311361,249.76611500701264
1993-02-01,315.1243773584906,272.93905241090147
1993-03-01,308.1417660167131,262.7402506963789
1993-04-01,311.0587666666667,266.2025833333334
1993-05-01,318.7907267683773,271.9035811373093
1993-06-01,304.55336011080334,260.23948753462605
1993-07-01,299.7457229916898,258.98532132963993
1993-08-01,313.92611602209945,263.8980497237569
1993-09-01,312.2369648518263,269.17697036526533
1993-10-01,304.32195195607414,258.95332875772135
1993-11-01,315.706378600823,269.12674897119336
1993-12-01,303.07812345679014,258.775720164609
1994-01-01,316.7007004103968,260.13225718194263
1994-02-01,310.06602044989774,267.26991411042945
1994-03-01,313.3188913043479,271.28330706521746
1994-04-01,313.0985373134328,264.1576933514247
1994-05-01,310.63528677966104,265.8203145762712
1994-06-01,323.0460972972973,272.2642297297298
1994-07-01,293.70025876010783,253.0215525606469
1994-08-01,313.78789530201345,270.0318040268457
1994-09-01,317.5945060240964,262.03567068273094
1994-10-01,308.9023946488295,266.50402675585286
1994-11-01,313.328753507014,261.91380360721445
1994-12-01,321.79709819639277,272.19679358717434
1995-01-01,296.0121516966068,256.85179241516965
1995-02-01,320.43821868787273,270.03220675944334
1995-03-01,305.62390224570674,259.17225891677674
1995-04-01,313.55971560237,266.2674391046741
1995-05-01,313.33829172141924,265.54428646517744
1995-06-01,317.0762439344262,264.6260537704918
1995-07-01,305.2007291803279,259.2820721311476
1995-08-01,319.80007848266837,266.3026579463702
