date,FRM,Spread
1989-01-01,10.82,1.5775
1989-04-01,10.6362,1.9385
1989-07-01,10.0077,1.9
1989-10-01,9.8138,1.9246
1990-01-01,10.1315,1.7046
1990-04-01,10.3238,1.6808
1990-07-01,10.1031,1.3977
1990-10-01,9.9592,1.5769
1991-01-01,9.5008,1.4858
1991-04-01,9.5223,1.3938
1991-07-01,9.2731,1.3392
1991-10-01,8.69,1.3515
1992-01-01,8.6885,1.3769
1992-04-01,8.6777,1.3158
1992-07-01,8.0177,1.395
1992-10-01,8.1921,1.4531
1993-01-01,7.7233,1.4558
1993-04-01,7.4531,1.4308
1993-07-01,7.0877,1.4662
1993-10-01,7.0464,1.4325
1994-01-01,7.2958,1.2167
1994-04-01,8.4277,1.3725
1994-07-01,8.5943,1.2486
1994-10-01,9.1054,1.2742
1995-01-01,8.7854,1.3308
1995-04-01,7.9177,1.335
1995-07-01,7.6962,1.37
1995-10-01,7.3392,1.4669
1996-01-01,7.2723,1.3338
1996-04-01,8.1023,1.3692
1996-07-01,8.1469,1.3777
1996-10-01,7.7031,1.3662
1997-01-01,7.7931,1.2342
1997-04-01,7.9269,1.2415
1997-07-01,7.47,1.2033
1997-10-01,7.2054,1.3015
1998-01-01,7.05,1.4592
1998-04-01,7.0977,1.5208
1998-07-01,6.8723,1.675
1998-10-01,6.7643,2.0946
1999-01-01,6.8775,1.8725
1999-04-01,7.1815,1.6338
1999-07-01,7.7862,1.9223
1999-10-01,7.8407,1.7238
2000-01-01,8.2569,1.8046
2000-04-01,8.3162,2.1383
2000-07-01,8.02,2.1531
2000-10-01,7.6208,2.0738
2001-01-01,7.0069,1.97
2001-04-01,7.13,1.8233
2001-07-01,6.9638,2.0069
2001-10-01,6.7708,1.9623
2002-01-01,6.9715,1.8858
2002-04-01,6.8131,1.7354
2002-07-01,6.2892,2.0331
2002-10-01,6.0754,2.0715
2003-01-01,5.8408,1.91
2003-04-01,5.5069,1.885
2003-07-01,6.0338,1.845
2003-10-01,5.9193,1.6514
2004-01-01,5.5975,1.5842
2004-04-01,6.1062,1.5538
2004-07-01,5.8943,1.5771
2004-10-01,5.7362,1.5567
2005-01-01,5.7685,1.4569
2005-04-01,5.7085,1.5708
2005-07-01,5.7638,1.5623
2005-10-01,6.2262,1.7431
2006-01-01,6.2469,1.6646
2006-04-01,6.6023,1.5131
2006-07-01,6.56,1.6715
2006-10-01,6.2438,1.6154
2007-01-01,6.2146,1.5354
2007-04-01,6.3585,1.4923
2007-07-01,6.5515,1.8069
2007-10-01,6.2246,1.9715
2008-01-01,5.8723,2.1815
2008-04-01,6.0869,2.1823
2008-07-01,6.3223,2.4723
2008-10-01,5.8414,2.6614
2009-01-01,5.06,2.3258
2009-04-01,5.0123,1.6946
2009-07-01,5.1623,1.6462
2009-10-01,4.9221,1.4479
2010-01-01,4.9958,1.2775
2010-04-01,4.9223,1.3962
2010-07-01,4.4471,1.6607
2010-10-01,4.4362,1.5375
2011-01-01,4.8469,1.3792
2011-04-01,4.6508,1.4523
2011-07-01,4.2915,1.8892
2011-10-01,4.0023,1.9485
2012-01-01,3.9223,1.8738
2012-04-01,3.7946,1.9738
2012-07-01,3.5538,1.9123
2012-10-01,3.3592,1.6469
2013-01-01,3.4969,1.5469
2013-04-01,3.6723,1.6938
2013-07-01,4.44,1.7208
2013-10-01,4.2931,1.5546
2014-01-01,4.3646,1.5885
2014-04-01,4.2277,1.6146
2014-07-01,4.1354,1.6362
2014-10-01,3.9636,1.6793
2015-01-01,3.7167,1.7475
2015-04-01,3.8192,1.6669
2015-07-01,3.9546,1.7177
2015-10-01,3.8979,1.6964
2016-01-01,3.7385,1.8462
2016-04-01,3.5892,1.8431
2016-07-01,3.4462,1.8854
2016-10-01,3.8423,1.6715
2017-01-01,4.1731,1.7215
2017-04-01,3.98,1.7238
2017-07-01,3.8838,1.6469
2017-10-01,3.9223,1.5462
2018-01-01,4.2823,1.5315
2018-04-01,4.5446,1.62
2018-07-01,4.5669,1.6477
2018-10-01,4.7846,1.7415
2019-01-01,4.3738,1.7331
2019-04-01,4.0108,1.68
2019-07-01,3.6585,1.8646
2019-10-01,3.7,1.9131
2020-01-01,3.5215,2.0846
2020-04-01,3.2392,2.5677
2020-07-01,2.9523,2.3077
2020-10-01,2.7607,1.905
2021-01-01,2.8758,1.5442
2021-04-01,3.0038,1.4131
2021-07-01,2.8721,1.5386
2021-10-01,3.0792,1.5362
2022-01-01,3.8223,1.8569
2022-04-01,5.2662,2.3408
2022-07-01,5.6231,2.5092
2022-10-01,6.6646,2.8654
2023-01-01,6.3723,2.7315
2023-04-01,6.5108,2.9131
2023-07-01,7.04,2.8692
2023-10-01,7.3038,2.8746
2024-01-01,6.7485,2.5992
2024-04-01,6.9954,2.5569
2024-07-01,6.5085,2.54
2024-10-01,6.6323,2.3569
2025-01-01,6.8277,2.3685
2025-04-01,6.7885,2.4377
2025-07-01,6.5662,2.2962
2025-10-01,6.2264,2.1286
2026-01-01,6.0667,1.9122
