date,FRM,Spread
1989-01-06,10.8,1.55
1989-01-13,10.81,1.75
1989-01-20,10.71,1.68
1989-01-27,10.6,1.65
1989-02-03,10.55,1.54
1989-02-10,10.56,1.37
1989-02-17,10.69,1.49
1989-02-24,10.78,1.4
1989-03-03,10.91,1.6
1989-03-10,10.86,1.52
1989-03-17,10.98,1.49
1989-03-24,11.22,
1989-03-31,11.19,1.89
1989-04-07,11.07,1.8
1989-04-14,11.11,1.93
1989-04-21,10.99,1.84
1989-04-28,11.03,2.01
1989-05-05,10.97,1.98
1989-05-12,10.93,2.12
1989-05-19,10.69,1.98
1989-05-26,10.5,1.84
1989-06-02,10.48,2.05
1989-06-09,10.2,2.05
1989-06-16,10.04,1.69
1989-06-23,10.19,1.94
1989-06-30,10.07,1.97
1989-07-07,10.03,2.01
1989-07-14,9.82,1.78
1989-07-21,9.87,1.8
1989-07-28,9.81,1.94
1989-08-04,9.68,1.68
1989-08-11,9.96,1.87
1989-08-18,10.09,1.94
1989-08-25,10.21,2
1989-09-01,10.22,2.03
1989-09-08,10.17,2.03
1989-09-15,10.05,1.96
1989-09-22,10.03,1.81
1989-09-29,10.16,1.85
1989-10-06,10.1,2.07
1989-10-13,9.95,2.08
1989-10-20,9.92,1.94
1989-10-27,9.82,1.88
1989-11-03,9.82,1.86
1989-11-10,9.79,1.87
1989-11-17,9.72,1.84
1989-11-24,9.74,1.94
1989-12-01,9.74,1.93
1989-12-08,9.76,1.94
1989-12-15,9.75,1.95
1989-12-22,9.69,1.87
1989-12-29,9.78,1.85
1990-01-05,9.83,1.84
1990-01-12,9.8,1.7
1990-01-19,9.9,1.64
1990-01-26,10.05,1.56
1990-02-02,10.17,1.67
1990-02-09,10.21,1.9
1990-02-16,10.1,1.68
1990-02-23,10.31,1.78
1990-03-02,10.23,1.69
1990-03-09,10.29,1.64
1990-03-16,10.34,1.75
1990-03-23,10.26,1.74
1990-03-30,10.22,1.57
1990-04-06,10.26,1.7
1990-04-13,10.25,
1990-04-20,10.41,1.46
1990-04-27,10.56,1.5
1990-05-04,10.67,1.83
1990-05-11,10.54,1.9
1990-05-18,10.37,1.62
1990-05-25,10.33,1.64
1990-06-01,10.29,1.85
1990-06-08,10.1,1.64
1990-06-15,10.12,1.66
1990-06-22,10.16,1.65
1990-06-29,10.15,1.72
1990-07-06,10.06,1.55
1990-07-13,10.11,1.66
1990-07-20,9.99,1.51
1990-07-27,9.98,1.56
1990-08-03,9.84,1.41
1990-08-10,10.08,1.4
1990-08-17,10.05,1.25
1990-08-24,10.29,1.24
1990-08-31,10.24,1.38
1990-09-07,10.19,1.38
1990-09-14,10.13,1.26
1990-09-21,10.16,1.17
1990-09-28,10.22,1.4
1990-10-05,10.08,1.43
1990-10-12,10.22,1.38
1990-10-19,10.24,1.62
1990-10-26,10.17,1.54
1990-11-02,10.13,1.56
1990-11-09,10.09,1.6
1990-11-16,10.02,1.72
1990-11-23,9.93,1.65
1990-11-30,9.9,1.64
1990-12-07,9.81,1.78
1990-12-14,9.56,1.51
1990-12-21,9.64,1.53
1990-12-28,9.68,1.54
1991-01-04,9.56,1.54
1991-01-11,9.63,1.43
1991-01-18,9.75,1.72
1991-01-25,9.61,1.55
1991-02-01,9.56,1.65
1991-02-08,9.36,1.59
1991-02-15,9.25,1.47
1991-02-22,9.29,1.38
1991-03-01,9.4,1.28
1991-03-08,9.49,1.36
1991-03-15,9.5,1.4
1991-03-22,9.59,1.46
1991-03-29,9.52,
1991-04-05,9.49,1.5
1991-04-12,9.48,1.5
1991-04-19,9.47,1.37
1991-04-26,9.53,1.47
1991-05-03,9.47,1.43
1991-05-10,9.47,1.35
1991-05-17,9.5,1.42
1991-05-24,9.47,1.37
1991-05-31,9.45,1.39
1991-06-07,9.48,1.19
1991-06-14,9.66,1.37
1991-06-21,9.65,1.33
1991-06-28,9.67,1.43
1991-07-05,9.62,1.28
1991-07-12,9.64,1.38
1991-07-19,9.54,1.26
1991-07-26,9.5,1.3
1991-08-02,9.44,1.38
1991-08-09,9.27,1.29
1991-08-16,9.19,1.35
1991-08-23,9.17,1.29
1991-08-30,9.15,1.33
1991-09-06,9.14,1.38
1991-09-13,9.02,1.36
1991-09-20,8.95,1.38
1991-09-27,8.92,1.43
1991-10-04,8.87,1.48
1991-10-11,8.82,1.33
1991-10-18,8.82,1.29
1991-10-25,8.91,1.23
1991-11-01,8.78,1.3
1991-11-08,8.76,1.35
1991-11-15,8.69,1.36
1991-11-22,8.63,1.19
1991-11-29,8.7,1.32
1991-12-06,8.62,1.36
1991-12-13,8.53,1.31
1991-12-20,8.49,1.52
1991-12-27,8.35,1.53
1992-01-03,8.24,1.39
1992-01-10,8.23,1.38
1992-01-17,8.45,1.36
1992-01-24,8.56,1.31
1992-01-31,8.68,1.37
1992-02-07,8.67,1.47
1992-02-14,8.73,1.32
1992-02-21,8.82,1.37
1992-02-28,8.83,1.56
1992-03-06,8.85,1.37
1992-03-13,8.88,1.17
1992-03-20,9.03,1.39
1992-03-27,8.98,1.44
1992-04-03,8.96,1.54
1992-04-10,8.84,1.47
1992-04-17,8.76,
1992-04-24,8.85,1.3
1992-05-01,8.84,1.28
1992-05-08,8.75,1.34
1992-05-15,8.64,1.36
1992-05-22,8.53,1.18
1992-05-29,8.6,1.27
1992-06-05,8.59,1.28
1992-06-12,8.54,1.25
1992-06-19,8.48,1.24
1992-06-26,8.43,1.28
1992-07-03,8.29,
1992-07-10,8.13,1.2
1992-07-17,8.09,1.19
1992-07-24,8.08,1.35
1992-07-31,8.05,1.33
1992-08-07,8.06,1.49
1992-08-14,7.96,1.43
1992-08-21,7.87,1.34
1992-08-28,8.01,1.38
1992-09-04,7.94,1.54
1992-09-11,7.84,1.47
1992-09-18,7.89,1.48
1992-09-24,8.02,1.54
1992-10-02,7.93,1.67
1992-10-09,8.01,1.49
1992-10-16,8.06,1.46
1992-10-23,8.23,1.4
1992-10-30,8.21,1.41
1992-11-06,8.29,1.32
1992-11-13,8.32,1.5
1992-11-20,8.32,1.48
1992-11-27,8.29,1.36
1992-12-04,8.34,1.5
1992-12-11,8.23,1.43
1992-12-18,8.19,1.43
1992-12-25,8.13,
1992-12-31,8.14,1.44
1993-01-08,8.07,1.32
1993-01-15,8.04,1.44
1993-01-22,8,1.43
1993-01-29,7.86,1.47
1993-02-05,7.8,1.48
1993-02-12,7.75,1.4
1993-02-19,7.65,1.5
1993-02-26,7.53,1.5
1993-03-05,7.44,1.54
1993-03-12,7.47,1.36
1993-03-19,7.57,1.62
1993-03-26,7.5,1.41
1993-04-02,7.53,1.37
1993-04-09,7.57,
1993-04-16,7.45,1.56
1993-04-23,7.38,1.49
1993-04-30,7.43,1.38
1993-05-07,7.42,1.5
1993-05-14,7.42,1.39
1993-05-21,7.52,1.36
1993-05-28,7.5,1.34
1993-06-04,7.47,1.36
1993-06-11,7.48,1.51
1993-06-18,7.38,1.41
1993-06-25,7.34,1.5
1993-07-02,7.23,1.47
1993-07-09,7.19,1.43
1993-07-16,7.16,1.45
1993-07-23,7.2,1.25
1993-07-30,7.25,1.42
1993-08-06,7.21,1.35
1993-08-13,7.17,1.45
1993-08-20,7.1,1.49
1993-08-27,6.97,1.49
1993-09-03,6.93,1.62
1993-09-10,6.82,1.53
1993-09-17,6.96,1.58
1993-09-24,6.95,1.53
1993-10-01,6.89,1.55
1993-10-08,6.87,1.61
1993-10-15,6.81,1.62
1993-10-22,6.74,1.32
1993-10-29,6.86,1.43
1993-11-05,7.11,1.36
1993-11-12,7.12,1.46
1993-11-19,7.08,1.24
1993-11-26,7.31,1.53
1993-12-04,7.25,
