name,Year Ago White Male,Latest White Male,Year Ago White Female,Latest White Female,Year Ago White Total,Latest White Total,Year Ago Black Male,Latest Black Male,Year Ago Black Female,Latest Black Female,Year Ago Black Total,Latest Black Total,Year Ago Hispanic Male,Latest Hispanic Male,Year Ago Hispanic Female,Latest Hispanic Female,Year Ago Hispanic Total,Latest Hispanic Total,Year Ago Asian Male,Latest Asian Male,Year Ago Asian Female,Latest Asian Female,Year Ago Asian Total,Latest Asian Total
18--64,2.955068461596966,3.0632400885224342,3.114021383225918,2.8753386810421944,3.0298544093966484,2.9754692688584328,6.129028275609016,5.839809030294418,5.442575365304947,6.075746193528175,5.768788978457451,5.962112173438072,3.4104902297258377,4.050728678703308,4.366879910230637,4.4008757919073105,3.827875480055809,4.20418307185173,2.7329370379447937,3.3377747982740402,2.4646153673529625,2.823416516184807,2.605542726814747,3.0955934897065163
25--54,2.479957975447178,2.691575326025486,2.7512408792972565,2.569323591887951,2.607111819088459,2.634747140109539,4.981231689453125,4.950422048568726,4.54355962574482,5.264244228601456,4.7523003071546555,5.11217825114727,2.4827031418681145,3.094247542321682,3.9006654173135757,3.734356537461281,3.0898941680788994,3.3709466457366943,2.22499743103981,2.653222531080246,2.0700478926301003,2.5961529463529587,2.152242884039879,2.626749500632286
16--24,8.113287389278412,7.547274976968765,6.408026814460754,6.0167621821165085,7.2821155190467834,6.795230507850647,16.268600523471832,13.439895212650299,11.708209663629532,13.965241611003876,13.879039883613586,13.716375827789307,9.004056453704834,10.077529400587082,8.607765287160873,8.381524682044983,8.81870687007904,9.280381351709366,7.5829558074474335,9.4355970621109,6.728509813547134,7.251472026109695,7.136330753564835,8.365552872419357
25--34,2.9345327988266945,3.5209402441978455,3.0163511633872986,3.1274285167455673,2.972680889070034,3.337794914841652,6.028143689036369,6.1882056295871735,5.873457342386246,6.736091524362564,5.949098616838455,6.465482711791992,3.21134589612484,3.709297627210617,4.266784340143204,4.249138757586479,3.6657199263572693,3.9480336010456085,2.6542657986283302,3.5825569182634354,2.5365322828292847,3.7711244076490402,2.5995876640081406,3.6703553050756454
35--44,2.1012088283896446,2.3880382999777794,2.6671407744288445,2.512243203818798,2.364720031619072,2.4453984573483467,4.487692564725876,4.105443507432938,3.9626851677894592,5.394433066248894,4.208562150597572,4.772007092833519,1.8361885100603104,2.85392664372921,3.8031481206417084,3.83354015648365,2.6597531512379646,3.266964852809906,1.955278217792511,1.8054740503430367,1.7275629565119743,2.1574240177869797,1.8485669046640396,1.968557946383953
45--54,2.3793911561369896,2.1487751975655556,2.564871497452259,2.0501410588622093,2.4673445150256157,2.1026678383350372,4.121007397770882,4.268568009138107,3.531729429960251,3.268703445792198,3.809160366654396,3.7429597228765488,2.307981625199318,2.6167012751102448,3.5275235772132874,2.9501618817448616,2.840723469853401,2.7608294039964676,2.0170319825410843,2.619624137878418,1.9156547263264656,1.7996767535805702,1.9687119871377945,2.2403759881854057
55--64,1.9608169794082642,2.0385952666401863,2.665409632027149,2.2059261798858643,2.2911524400115013,2.116016671061516,2.5956662371754646,3.5863351076841354,4.811272770166397,4.020819067955017,3.785652667284012,3.8140591233968735,2.9456714168190956,3.062475100159645,2.9844844713807106,3.328419476747513,2.9626281931996346,3.1777672469615936,2.943110652267933,3.403756767511368,2.0600222051143646,1.0881013236939907,2.526462823152542,2.254757843911648
65--74,2.2864803671836853,2.653415873646736,2.4214543402194977,2.5272512808442116,2.345108240842819,2.5969183072447777,5.158049240708351,3.941389173269272,5.59970997273922,4.437081888318062,5.3925201296806335,4.225584492087364,3.747813031077385,3.202495351433754,4.172584041953087,3.244652599096298,3.9366021752357483,3.220875561237335,3.257331997156143,1.5425373800098896,1.7545809969305992,1.7335770651698112,2.5507375597953796,1.6277262941002846
