date,PX_MD,PX5_MD
1990-01-01,3.9666666666666663,
1990-04-01,3.6,4.3
1990-07-01,4.233333333333333,4.5
1990-10-01,4.733333333333333,4.566666666666666
1991-01-01,3.533333333333333,4.6
1991-04-01,3.1999999999999997,4.366666666666667
1991-07-01,3.1,4.033333333333333
1991-10-01,2.9333333333333336,3.766666666666667
1992-01-01,2.6333333333333333,3.533333333333333
1992-04-01,3.0,3.766666666666667
1992-07-01,2.8333333333333335,3.8000000000000003
1992-10-01,2.8333333333333335,3.6
1993-01-01,3.0666666666666664,3.6999999999999997
1993-04-01,3.1333333333333333,3.6
1993-07-01,3.0666666666666664,3.3666666666666667
1993-10-01,3.033333333333333,3.5
1994-01-01,2.8666666666666667,3.3000000000000003
1994-04-01,2.9333333333333336,3.3333333333333335
1994-07-01,3.1333333333333333,3.3000000000000003
1994-10-01,3.0666666666666664,3.233333333333333
1995-01-01,3.0666666666666664,3.233333333333333
1995-04-01,3.0666666666666664,3.266666666666667
1995-07-01,2.8666666666666667,3.1333333333333333
1995-10-01,2.8000000000000003,3.1333333333333333
1996-01-01,2.8333333333333335,3.233333333333333
1996-04-01,3.0,3.1333333333333333
1996-07-01,3.1,3.233333333333333
1996-10-01,3.0,3.0
1997-01-01,2.9333333333333336,3.1
1997-04-01,2.9,3.0
1997-07-01,2.733333333333333,3.0
1997-10-01,2.8333333333333335,3.0666666666666664
1998-01-01,2.4,2.8666666666666667
1998-04-01,2.566666666666667,2.8000000000000003
1998-07-01,2.433333333333333,2.766666666666667
1998-10-01,2.433333333333333,2.8333333333333335
1999-01-01,2.6333333333333333,2.8333333333333335
1999-04-01,2.6666666666666665,2.8333333333333335
1999-07-01,2.733333333333333,2.8666666666666667
1999-10-01,2.9333333333333336,2.8666666666666667
2000-01-01,3.033333333333333,3.0
2000-04-01,3.033333333333333,2.8333333333333335
2000-07-01,2.8666666666666667,2.9
2000-10-01,2.966666666666667,2.966666666666667
2001-01-01,2.8666666666666667,2.966666666666667
2001-04-01,3.1,3.033333333333333
2001-07-01,2.6999999999999997,2.9333333333333336
2001-10-01,1.0666666666666667,2.8333333333333335
2002-01-01,2.2333333333333334,2.766666666666667
2002-04-01,2.733333333333333,2.8666666666666667
2002-07-01,2.566666666666667,2.733333333333333
2002-10-01,2.466666666666667,2.7999999999999994
