date,FinAssets,FinLiabs,Net,DiInvAssets,DiInvLiabs,PfInvAssets,PfInvLiabs,OthInvAssets,OthInvLiabs,FinDerivAssets,FinDerivLiabs,ReserveAssets
1988-07-01,2098851.0,2077372.0,21479.0,782947.0,482015.0,305186.0,784911.0,866539.0,810446.0,,,144179.0
1989-07-01,2447740.0,2481453.0,-33713.0,929965.0,632239.0,395727.0,958808.0,953334.0,890406.0,,,168714.0
1990-07-01,2415654.0,2565177.0,-149523.0,853331.0,661170.0,425538.0,946844.0,962121.0,957163.0,,,174664.0
1991-07-01,2605674.0,2848988.0,-243314.0,962582.0,804182.0,525355.0,1076499.0,958514.0,968307.0,,,159223.0
1992-07-01,2611230.0,3043359.0,-432129.0,943364.0,840912.0,586206.0,1180655.0,934225.0,1021792.0,,,147435.0
1993-07-01,3234733.0,3356505.0,-121772.0,1204611.0,911710.0,916315.0,1371827.0,948862.0,1072968.0,,,164945.0
1994-07-01,3434637.0,3544948.0,-110311.0,1234084.0,877354.0,990838.0,1456081.0,1046321.0,1211513.0,,,163394.0
1995-07-01,4094375.0,4371942.0,-277567.0,1493609.0,1135542.0,1278722.0,1900950.0,1145983.0,1335450.0,,,176061.0
1996-07-01,4791796.0,5120102.0,-328306.0,1749299.0,1370076.0,1573208.0,2356160.0,1308550.0,1393866.0,,,160739.0
1997-07-01,5536514.0,6324739.0,-788225.0,2036671.0,1794795.0,1841029.0,2861123.0,1523978.0,1668821.0,,,134836.0
1998-07-01,6368620.0,7402395.0,-1033775.0,2469095.0,2368530.0,2149431.0,3340370.0,1604088.0,1693495.0,,,146006.0
1999-07-01,7611443.0,8613711.0,-1002268.0,3051404.0,3009958.0,2650768.0,3715693.0,1772853.0,1888060.0,,,136418.0
2000-07-01,7642326.0,9178574.0,-1536248.0,2934570.0,3023792.0,2556158.0,4008473.0,2023198.0,2146309.0,,,128400.0
2001-07-01,7170596.0,9465063.0,-2294467.0,2554463.0,2799823.0,2316634.0,4324590.0,2169538.0,2340650.0,,,129961.0
2002-07-01,7065765.0,9476128.0,-2410363.0,2283141.0,2282370.0,2276589.0,4571348.0,2347433.0,2622410.0,,,158602.0
2003-07-01,8621551.0,10913947.0,-2292395.0,3037312.0,2763061.0,3176287.0,5546317.0,2224376.0,2604569.0,,,183577.0
2004-07-01,10589628.0,12952395.0,-2362767.0,3746863.0,3101450.0,3828305.0,6621226.0,2824869.0,3229719.0,,,189591.0
2005-07-01,13357640.0,15214866.0,-1857226.0,4047170.0,3227144.0,4628978.0,7337835.0,3303420.0,3517773.0,1190029.0,1132114.0,188043.0
2006-01-01,14467068.0,16122685.0,-1655616.0,4380797.0,3387219.0,5038569.0,7602527.0,3651554.0,4009439.0,1189856.0,1123500.0,206293.0
2006-04-01,14806337.0,16485106.0,-1678770.0,4410235.0,3402912.0,5121916.0,7791430.0,3761084.0,4062653.0,1296050.0,1228111.0,217052.0
2006-07-01,15275987.0,17281746.0,-2005759.0,4601077.0,3571141.0,5428603.0,8342232.0,3840522.0,4234516.0,1194164.0,1133857.0,211620.0
2006-10-01,16410512.0,18218331.0,-1807819.0,4929892.0,3752602.0,6017080.0,8843523.0,4004691.0,4443047.0,1238995.0,1179159.0,219853.0
2007-01-01,17306534.0,18960701.0,-1654166.0,5216131.0,3859621.0,6288275.0,9271729.0,4318273.0,4630748.0,1255575.0,1198603.0,228280.0
2007-04-01,18840930.0,20262313.0,-1421382.0,5583502.0,4100970.0,6852231.0,9780484.0,4633616.0,4890961.0,1546712.0,1489898.0,224869.0
2007-07-01,19682090.0,20913533.0,-1231443.0,5812922.0,4239248.0,7272284.0,10033110.0,4624272.0,4991519.0,1720605.0,1649656.0,252007.0
2007-10-01,20705167.0,21983996.0,-1278830.0,5857923.0,4134239.0,7262045.0,10326974.0,4748656.0,5034923.0,2559332.0,2487860.0,277211.0
2008-01-01,21887108.0,23736139.0,-1849030.0,5451453.0,3917702.0,6844546.0,10368656.0,5096342.0,5394263.0,4186275.0,4055518.0,308493.0
2008-04-01,21014074.0,22848492.0,-1834418.0,5365469.0,3911825.0,6669792.0,10327562.0,5032817.0,5081050.0,3638417.0,3528055.0,307579.0
2008-07-01,18432270.0,21741288.0,-3309018.0,4558476.0,3712136.0,5374215.0,9878568.0,4966742.0,5012846.0,3241052.0,3137738.0,291785.0
2008-10-01,19424093.0,23418718.0,-3994625.0,3707211.0,3091240.0,4320819.0,9475873.0,4974882.0,4883790.0,6127450.0,5967815.0,293732.0
2009-01-01,18148073.0,22004103.0,-3856030.0,3497940.0,2839930.0,4087167.0,9168152.0,4697803.0,4585729.0,5561851.0,5410292.0,303312.0
2009-04-01,17932847.0,21132222.0,-3199376.0,4113456.0,3141287.0,4984745.0,9633155.0,4465680.0,4464878.0,4054450.0,3892902.0,314516.0
2009-07-01,19733631.0,22403110.0,-2669479.0,4794375.0,3497706.0,5879511.0,10251103.0,4545341.0,4668909.0,4131036.0,3985392.0,383368.0
2009-10-01,19427145.0,22054085.0,-2626940.0,4945292.0,3618630.0,6058554.0,10463234.0,4529716.0,4608777.0,3489779.0,3363444.0,403804.0
2010-01-01,19753660.0,22522705.0,-2769046.0,5058482.0,3769042.0,6286609.0,10810833.0,4571575.0,4627018.0,3429046.0,3315812.0,407947.0
2010-04-01,19797436.0,22978071.0,-3180635.0,4540945.0,3456621.0,5840898.0,10684333.0,4666733.0,4626017.0,4310312.0,4211100.0,438549.0
2010-07-01,21967350.0,24713638.0,-2746288.0,5163300.0,3789895.0,6724001.0,11527670.0,4832743.0,4716886.0,4783698.0,4679187.0,463609.0
2010-10-01,21768547.0,24279619.0,-2511072.0,5486391.0,4099097.0,7160366.0,11869262.0,4980804.0,4769329.0,3652313.0,3541931.0,488673.0
2011-01-01,22149888.0,24788304.0,-2638416.0,5811089.0,4283086.0,7497835.0,12215888.0,5143315.0,5200225.0,3194303.0,3089105.0,503346.0
2011-04-01,22448435.0,25233740.0,-2785304.0,5855672.0,4316300.0,7644691.0,12432716.0,4945787.0,5109695.0,3473224.0,3375029.0,529062.0
2011-07-01,22301117.0,26435151.0,-4134034.0,4955939.0,3907462.0,6672316.0,12212692.0,4899418.0,5207307.0,5213598.0,5107690.0,559845.0
2011-10-01,22209642.0,26664258.0,-4454616.0,5214826.0,4199225.0,6871732.0,12647243.0,4869469.0,5187251.0,4716578.0,4630539.0,537037.0
2012-01-01,22217244.0,26822016.0,-4604772.0,5675995.0,4533429.0,7344418.0,13323328.0,4674014.0,5091306.0,3950239.0,3873953.0,572578.0
2012-04-01,21507400.0,26767319.0,-5259919.0,5413818.0,4490546.0,7045455.0,13297524.0,4335687.0,4891017.0,4155820.0,4088231.0,556620.0
