idx,date,Close,High,Low,Open,Volume,TenYr,ThreeMo,OPEN,HIGH,LOW,CLOSE,CH,Height,Height_Inc,Height_Dec,idxplus,idxminus,TYAVG,label
1,2026-03-17,6716.09,6754.3,6710.8,6722.35,5063390000.0,4.2,3.72,24.56,24.58,21.87,22.37,Dec,43.5,0.0,43.5,1.25,0.75,4.4037,Mar 17
2,2026-03-18,6624.7,6705.18,6621.66,6697.16,5275480000.0,4.26,3.73,21.51,25.13,21.47,25.09,Dec,83.52,0.0,83.52,2.25,1.75,4.4037,
3,2026-03-19,6606.49,6636.74,6557.82,6583.12,5973390000.0,4.25,3.73,25.6,27.52,23.54,24.06,Inc,78.9204,78.9204,0.0,3.25,2.75,4.4037,
4,2026-03-20,6506.48,6594.66,6473.52,6594.66,10025820000.0,4.39,3.74,24.46,29.28,23.68,26.78,Dec,121.1401,0.0,121.1401,4.25,3.75,4.4037,
5,2026-03-23,6581.0,6651.62,6565.55,6574.96,6020650000.0,4.34,3.74,30.04,31.04,20.28,26.15,Inc,86.0703,86.0703,0.0,5.25,4.75,4.4037,
6,2026-03-24,6556.37,6595.75,6525.11,6552.09,5278580000.0,4.39,3.74,25.91,27.94,25.64,26.95,Inc,70.6401,70.6401,0.0,6.25,5.75,4.4037,
7,2026-03-25,6591.9,6633.94,6568.41,6598.35,4936720000.0,4.33,3.73,25.79,26.67,24.82,25.33,Dec,65.5298,0.0,65.5298,7.25,6.75,4.4037,
8,2026-03-26,6477.16,6573.22,6473.79,6555.86,4845560000.0,4.42,3.73,26.49,28.49,26.12,27.44,Dec,99.4302,0.0,99.4302,8.25,7.75,4.4037,
9,2026-03-27,6368.85,6453.89,6356.08,6453.89,5303490000.0,4.44,3.73,27.54,31.65,27.54,31.05,Dec,97.8101,0.0,97.8101,9.25,8.75,4.4037,
10,2026-03-30,6343.72,6427.31,6316.91,6403.37,5458640000.0,4.35,3.71,30.79,31.52,29.33,30.61,Dec,110.3999,0.0,110.3999,10.25,9.75,4.4037,
11,2026-03-31,6528.52,6539.05,6395.88,6395.88,6396100000.0,4.3,3.7,29.53,29.64,25.08,25.25,Inc,143.1699,143.1699,0.0,11.25,10.75,4.4037,Mar 31
12,2026-04-01,6575.32,6609.67,6554.29,6556.56,5637260000.0,4.33,3.7,24.3,25.35,23.5,24.54,Inc,55.3799,55.3799,0.0,12.25,11.75,4.4037,
13,2026-04-02,6582.69,6601.91,6474.94,6512.61,4740740000.0,4.31,3.7,26.78,27.89,23.87,23.87,Inc,126.9702,126.9702,0.0,13.25,12.75,4.4037,
14,2026-04-06,6611.83,6618.13,6579.72,6587.66,3906440000.0,4.34,3.72,24.93,25.3,23.78,24.17,Inc,38.4097,38.4097,0.0,14.25,13.75,4.4037,
15,2026-04-07,6616.85,6618.26,6534.55,6601.93,4555680000.0,4.33,3.71,25.09,28.0,24.34,25.78,Inc,83.71,83.71,0.0,15.25,14.75,4.4037,
16,2026-04-08,6782.81,6793.5,6740.28,6754.36,5904880000.0,4.29,3.69,20.97,22.17,19.91,21.04,Inc,53.2202,53.2202,0.0,16.25,15.75,4.4037,
17,2026-04-09,6824.66,6835.31,6761.55,6783.69,4912410000.0,4.29,3.68,21.25,21.63,19.45,19.49,Inc,73.7603,73.7603,0.0,17.25,16.75,4.4037,
18,2026-04-10,6816.89,6845.77,6808.46,6839.24,4393220000.0,4.31,3.69,19.71,20.28,18.83,19.23,Dec,37.3101,0.0,37.3101,18.25,17.75,4.4037,
19,2026-04-13,6886.24,6887.0,6790.02,6806.47,4785840000.0,4.3,3.71,21.17,21.58,18.96,19.12,Inc,96.98,96.98,0.0,19.25,18.75,4.4037,
20,2026-04-14,6967.38,6969.42,6905.17,6910.2,5032380000.0,4.26,3.71,18.73,18.76,17.89,18.36,Inc,64.25,64.25,0.0,20.25,19.75,4.4037,
21,2026-04-15,7022.95,7026.24,6967.13,6978.17,5278610000.0,4.29,3.71,18.18,18.5,17.4,18.17,Inc,59.1104,59.1104,0.0,21.25,20.75,4.4037,Apr 15
22,2026-04-16,7041.28,7051.23,7008.52,7037.78,5173650000.0,4.32,3.7,18.04,19.09,17.76,17.94,Inc,42.71,42.71,0.0,22.25,21.75,4.4037,
23,2026-04-17,7126.06,7147.52,7074.55,7074.55,6145300000.0,4.26,3.7,18.18,18.24,16.87,17.48,Inc,72.9702,72.9702,0.0,23.25,22.75,4.4037,
24,2026-04-20,7109.14,7122.65,7084.41,7117.05,4661130000.0,4.26,3.71,19.58,19.99,18.77,18.87,Dec,38.2397,0.0,38.2397,24.25,23.75,4.4037,
25,2026-04-21,7064.01,7137.27,7050.2,7122.64,5160270000.0,4.3,3.69,19.18,20.85,18.75,19.5,Dec,87.0698,0.0,87.0698,25.25,24.75,4.4037,
26,2026-04-22,7137.9,7138.64,7102.91,7102.91,4919460000.0,4.3,3.69,19.03,19.54,18.68,18.92,Inc,35.73,35.73,0.0,26.25,25.75,4.4037,
27,2026-04-23,7108.4,7147.78,7046.55,7118.8,5307260000.0,4.34,3.69,19.42,21.56,18.7,19.31,Dec,101.23,0.0,101.23,27.25,26.75,4.4037,
28,2026-04-24,7165.08,7168.59,7112.82,7136.48,4608830000.0,4.31,3.69,18.89,19.35,18.46,18.71,Inc,55.77,55.77,0.0,28.25,27.75,4.4037,
29,2026-04-27,7173.91,7178.74,7146.72,7152.72,4783750000.0,4.35,3.68,19.21,19.27,18.02,18.02,Inc,32.02,32.02,0.0,29.25,28.75,4.4037,
