date,MBS,FRM,Spread,Ten-year,Primary,Secondary
2021-01-01,2.021799164618692,2.735,1.6539473684210526,1.0810526315789473,0.7132008353813077,0.9407465330397449
2021-02-01,2.027393116479328,2.81,1.5521052631578949,1.2578947368421052,0.7826068835206721,0.7694983796372228
2021-03-01,2.0597766985694093,3.0825,1.4716304347826088,1.6108695652173912,1.0227233014305908,0.44890713335201804
2021-04-01,2.1265617939655574,3.06,1.425,1.635,0.9334382060344426,0.49156179396555744
2021-05-01,2.1755893455675097,2.9625,1.3415,1.621,0.7869106544324902,0.5545893455675097
2021-06-01,2.214140995415034,2.975,1.4559090909090908,1.5190909090909093,0.7608590045849661,0.6950500863241247
2021-07-01,2.2103413248544563,2.868,1.5494285714285712,1.3185714285714287,0.6576586751455435,0.8917698962830276
2021-08-01,2.1843361726764594,2.8425,1.5593181818181816,1.2831818181818182,0.6581638273235404,0.9011543544946412
2021-09-01,2.1674304262248767,2.9,1.525238095238095,1.3747619047619049,0.7325695737751232,0.7926685214629718
2021-10-01,2.1700788341978607,3.0675,1.4849999999999999,1.5825,0.8974211658021392,0.5875788341978607
2021-11-01,2.21800053577651,3.0675,1.5079999999999998,1.5595,0.8494994642234901,0.6585005357765097
2021-12-01,2.2688632526485466,3.098,1.633,1.4649999999999999,0.8291367473514533,0.8038632526485467
2022-01-01,2.3399880841368965,3.445,1.6809999999999998,1.764,1.1050119158631033,0.5759880841368965
2022-02-01,2.4930377545189457,3.7625,1.8282894736842108,1.9342105263157894,1.2694622454810545,0.5588272282031563
2022-03-01,2.7891047857161797,4.172,2.044173913043478,2.1278260869565218,1.38289521428382,0.661278698759658
2022-04-01,3.1780943766236276,4.9825,2.235,2.7475,1.8044056233763723,0.43059437662362754
2022-05-01,3.6115979368303797,5.23,2.331904761904762,2.8980952380952383,1.6184020631696208,0.7135026987351414
2022-06-01,3.9823300294438035,5.522,2.3786666666666667,3.1433333333333335,1.5396699705561967,0.83899669611047
2022-07-01,4.30777722603305,5.4125,2.5164999999999997,2.896,1.1047227739669498,1.41177722603305
2022-08-01,4.503299572908118,5.2225,2.3246739130434784,2.8978260869565218,0.7192004270918817,1.6054734859515967
2022-09-01,4.6561688217045605,6.112,2.5929523809523807,3.5190476190476194,1.4558311782954396,1.137121202656941
2022-10-01,4.887960094957817,6.9,2.9165,3.9835000000000003,2.012039905042183,0.904460094957817
2022-11-01,5.1718128205466805,6.805,2.914,3.8909999999999996,1.6331871794533193,1.2808128205466809
2022-12-01,5.368568846943066,6.364,2.747809523809524,3.616190476190476,0.9954311530569342,1.7523783707525897
2023-01-01,5.416450585449908,6.2725,2.741,3.5315,0.8560494145500916,1.8849505854499085
2023-02-01,5.34035336835811,6.2575,2.5106578947368425,3.7468421052631578,0.9171466316418906,1.593511263094952
2023-03-01,5.278533358747531,6.544,2.88095652173913,3.6630434782608696,1.2654666412524689,1.615489880486661
2023-04-01,5.2894830709859075,6.3425,2.8825000000000003,3.46,1.0530169290140927,1.8294830709859076
2023-05-01,5.32873581202518,6.425,2.851363636363636,3.5736363636363637,1.0962641879748194,1.7550994483888167
2023-06-01,5.4260535454644705,6.714,2.965904761904762,3.7480952380952384,1.28794645453553,1.6779583073692321
2023-07-01,5.536047875007028,6.84,2.9405,3.8994999999999997,1.3039521249929722,1.636547875007028
2023-08-01,5.69712382434071,7.072,2.9041739130434783,4.167826086956522,1.3748761756592902,1.529297737384188
2023-09-01,5.886923377212891,7.2,2.8210000000000006,4.379,1.3130766227871096,1.507923377212891
2023-10-01,6.054523823600495,7.62,2.8219047619047615,4.798095238095239,1.565476176399505,1.2564285855052564
2023-11-01,6.227513445254778,7.442,2.9391428571428575,4.502857142857143,1.2144865547452222,1.7246563023976353
2023-12-01,6.223267206037488,6.815,2.795,4.0200000000000005,0.5917327939625121,2.203267206037488
2024-01-01,6.085051625334342,6.6425,2.5844047619047616,4.058095238095238,0.5574483746656584,2.026956387239103
2024-02-01,5.818051333089261,6.776,2.5684999999999993,4.2075000000000005,0.9579486669107391,1.6105513330892602
2024-03-01,5.671766830216455,6.82,2.6115000000000004,4.2085,1.1482331697835457,1.4632668302164547
2024-04-01,5.655777404956377,6.9925,2.4534090909090907,4.539090909090909,1.3367225950436223,1.1166864958654683
2024-05-01,5.78485473260734,7.06,2.577727272727272,4.482272727272727,1.2751452673926593,1.3025820053346129
2024-06-01,5.874687274919939,6.9175,2.612236842105264,4.3052631578947365,1.0428127250800614,1.5694241170252026
2024-07-01,5.885945136005397,6.8475,2.598863636363636,4.248636363636364,0.9615548639946034,1.6373087723690327
2024-08-01,5.765576205232286,6.5,2.6290909090909094,3.8709090909090906,0.7344237947677144,1.894667114323195
2024-09-01,5.586326187013629,6.18,2.4564999999999997,3.7235,0.5936738129863706,1.8628261870136291
2024-10-01,5.356124903047555,6.428,2.332545454545455,4.095454545454545,1.0718750969524447,1.2606703575930105
2024-11-01,5.304812435502665,6.805,2.44921052631579,4.35578947368421,1.5001875644973346,0.9490229618184554
2024-12-01,5.3520470119232355,6.715,2.3235714285714284,4.3914285714285715,1.3629529880767643,0.960618440494664
2025-01-01,5.564126619215266,6.958,2.3289523809523818,4.629047619047618,1.3938733807847346,0.9350790001676472
2025-02-01,5.691773871892599,6.8425,2.391447368421053,4.451052631578947,1.1507261281074008,1.2407212403136523
2025-03-01,5.73731924753312,6.65,2.36952380952381,4.2804761904761905,0.9126807524668807,1.456843057056929
2025-04-01,5.728470873122389,6.725,2.445952380952381,4.279047619047619,0.9965291268776104,1.4494232540747705
2025-05-01,5.711125315261479,6.816,2.3921904761904758,4.423809523809524,1.1048746847385207,1.287315791451955
2025-06-01,5.785769438276485,6.8175,2.434,4.3835,1.0317305617235153,1.4022694382764849
2025-07-01,5.787584693406674,6.72,2.328181818181818,4.391818181818182,0.9324153065933256,1.3957665115884925
2025-08-01,5.735683136409818,6.5875,2.322738095238096,4.2647619047619045,0.8518168635901819,1.4709212316479139
