date,Total,Women,Men
1989-07-01,75.1,78.5,71.7
1990-07-01,75.4,78.8,71.8
1991-07-01,75.5,78.9,72.0
1992-07-01,75.8,79.1,72.3
1993-07-01,75.5,78.8,72.2
1994-07-01,75.7,79.0,72.4
1995-07-01,75.8,78.9,72.5
1996-07-01,76.1,79.1,73.1
1997-07-01,76.5,79.4,73.6
1998-07-01,76.7,79.5,73.8
1999-07-01,76.7,79.4,73.9
2000-07-01,76.8,79.7,74.3
2001-07-01,77.0,79.5,74.3
2002-07-01,77.0,79.6,74.4
2003-07-01,77.6,79.7,74.5
2004-07-01,77.5,80.1,75.0
2005-07-01,77.6,80.1,75.0
2006-07-01,77.8,80.3,75.2
2007-07-01,78.1,80.6,75.5
2008-07-01,78.2,80.6,75.6
2009-07-01,78.5,80.9,76.0
2010-07-01,78.7,81.0,76.2
2011-07-01,78.7,81.1,76.3
2012-07-01,78.8,81.2,76.4
2013-07-01,78.8,81.2,76.4
2014-07-01,78.9,81.3,76.5
2015-07-01,78.7,81.1,76.3
2016-07-01,78.7,81.1,76.2
2017-07-01,78.6,81.1,76.1
2018-07-01,78.7,81.2,76.2
2021-07-01,76.1,79.1,73.1
