date,NDR3MCD,MMNDR,SNDR
2021-04-01,0.0521848,0.057315,0.0609525
2021-05-01,0.06,0.1,0.06
2021-06-01,0.07,0.09,0.06
2021-07-01,0.07,0.08,0.06
2021-08-01,0.07,0.09,0.06
2021-09-01,0.06,0.08,0.06
2021-10-01,0.06,0.08,0.06
2021-11-01,0.05,0.06,0.06
2021-12-01,0.06,0.07,0.06
2022-01-01,0.06,0.08,0.06
2022-02-01,0.06,0.08,0.06
2022-03-01,0.06,0.08,0.06
2022-04-01,0.06,0.08,0.06
2022-05-01,0.06,0.08,0.07
2022-06-01,0.08,0.09,0.08
2022-07-01,0.1,0.12,0.1
2022-08-01,0.12,0.14,0.13
2022-09-01,0.15,0.18,0.17
2022-10-01,0.19,0.23,0.21
2022-11-01,0.32,0.29,0.24
2022-12-01,0.45,0.38,0.3
2023-01-01,0.57,0.44,0.33
2023-02-01,0.61,0.48,0.35
2023-03-01,0.67,0.54,0.37
2023-04-01,0.78,0.57,0.39
2023-05-01,0.62,0.59,0.4
2023-06-01,1.07,0.61,0.42
2023-07-01,1.11,0.63,0.42
2023-08-01,1.33,0.62,0.43
2023-09-01,1.37,0.65,0.45
2023-10-01,1.42,0.65,0.46
2023-11-01,1.62,0.63,0.46
2023-12-01,1.64,0.64,0.46
2024-01-01,1.67,0.65,0.47
2024-02-01,1.69,0.66,0.46
2024-03-01,1.66,0.67,0.47
2024-04-01,1.65,0.66,0.46
2024-05-01,1.53,0.68,0.45
2024-06-01,1.53,0.67,0.45
2024-07-01,1.53,0.66,0.45
2024-08-01,1.53,0.64,0.46
2024-09-01,1.55,0.64,0.46
2024-10-01,1.54,0.61,0.45
2024-11-01,1.52,0.6,0.43
2024-12-01,1.5,0.66,0.42
2025-01-01,1.47,0.64,0.41
2025-02-01,1.45,0.64,0.41
2025-03-01,1.43,0.63,0.41
2025-04-01,1.42,0.62,0.41
2025-05-01,1.41,0.62,0.42
2025-06-01,1.41,0.59,0.38
2025-07-01,1.39,0.59,0.38
2025-08-01,1.54,0.59,0.39
2025-09-01,1.55,0.59,0.4
2025-10-01,1.52,0.59,0.4
2025-11-01,1.51,0.58,0.4
2025-12-01,1.44,0.58,0.39
2026-01-01,1.35,0.56,0.39
2026-02-01,1.35,0.56,0.39
2026-03-01,1.28,0.56,0.39
2026-04-01,1.25,0.57,0.38
2026-05-01,1.24,0.57,0.38
2026-06-01,1.15,0.61,0.38
