date,1-month,6-month,12-month
1988-01-01,4.81,3.62,3.62
1988-02-01,2.84,3.31,3.57
1988-03-01,3.8,3.37,3.56
1988-04-01,4.41,3.45,3.51
1988-05-01,3.1,3.47,3.49
1988-06-01,4.51,3.91,3.59
1988-07-01,4.9,3.92,3.77
1988-08-01,3.98,4.12,3.71
1988-09-01,5.33,4.37,3.87
1988-10-01,3.39,4.2,3.82
1988-11-01,3.47,4.26,3.87
1988-12-01,3.63,4.12,4.01
1989-01-01,5.3,4.18,4.05
1989-02-01,3.98,4.18,4.15
1989-03-01,3.92,3.95,4.16
1989-04-01,4.38,4.11,4.16
1989-05-01,4.1,4.22,4.24
1989-06-01,3.14,4.14,4.13
1989-07-01,3.85,3.9,4.04
1989-08-01,2.96,3.72,3.95
1989-09-01,3.44,3.64,3.8
1989-10-01,5.1,3.76,3.94
1989-11-01,3.28,3.63,3.92
1989-12-01,3.86,3.75,3.94
1990-01-01,4.21,3.81,3.85
1990-02-01,3.58,3.91,3.82
1990-03-01,5.47,4.25,3.95
1990-04-01,3.85,4.04,3.9
1990-05-01,2.91,3.98,3.8
1990-06-01,4.81,4.13,3.94
1990-07-01,4.05,4.11,3.96
1990-08-01,5.13,4.37,4.14
1990-09-01,3.34,4.01,4.13
1990-10-01,3.7,3.99,4.01
1990-11-01,1.74,3.79,3.88
1990-12-01,3.37,3.55,3.84
1991-01-01,3.96,3.53,3.82
1991-02-01,2.46,3.09,3.73
1991-03-01,1.96,2.86,3.43
1991-04-01,2.83,2.72,3.35
1991-05-01,4.17,3.12,3.45
1991-06-01,2.13,2.91,3.23
1991-07-01,2.49,2.67,3.1
1991-08-01,2.8,2.73,2.91
1991-09-01,3.17,2.93,2.9
1991-10-01,2.89,2.94,2.83
1991-11-01,3.46,2.82,2.97
1991-12-01,3.72,3.09,3
1992-01-01,2.54,3.1,2.88
1992-02-01,2.65,3.07,2.9
1992-03-01,3,3.04,2.99
1992-04-01,2.27,2.94,2.94
1992-05-01,2.49,2.78,2.8
1992-06-01,2.15,2.52,2.8
1992-07-01,2.67,2.54,2.82
1992-08-01,2.02,2.43,2.75
1992-09-01,1.49,2.18,2.61
1992-10-01,3.25,2.34,2.64
1992-11-01,3.07,2.44,2.61
1992-12-01,2.46,2.49,2.5
1993-01-01,2.51,2.46,2.5
1993-02-01,2.81,2.59,2.51
1993-03-01,2.26,2.72,2.45
1993-04-01,3.07,2.69,2.52
1993-05-01,3.13,2.7,2.57
1993-06-01,1.72,2.58,2.54
1993-07-01,2.28,2.54,2.5
1993-08-01,1.85,2.38,2.49
1993-09-01,2.04,2.34,2.53
1993-10-01,2.67,2.28,2.49
1993-11-01,2.35,2.15,2.43
1993-12-01,2.13,2.22,2.4
1994-01-01,2.04,2.18,2.36
1994-02-01,2.7,2.32,2.35
1994-03-01,2.94,2.47,2.41
1994-04-01,1.82,2.33,2.3
1994-05-01,2.69,2.39,2.27
1994-06-01,2.53,2.45,2.34
1994-07-01,2.4,2.51,2.35
1994-08-01,1.81,2.36,2.34
1994-09-01,1.74,2.16,2.32
1994-10-01,2.02,2.2,2.26
1994-11-01,2.6,2.18,2.28
1994-12-01,1.72,2.05,2.25
1995-01-01,3.3,2.2,2.35
1995-02-01,1.94,2.22,2.29
1995-03-01,2.45,2.34,2.25
1995-04-01,2.5,2.42,2.31
1995-05-01,2.23,2.36,2.27
1995-06-01,1.59,2.33,2.19
1995-07-01,2.07,2.13,2.16
1995-08-01,2.4,2.21,2.21
1995-09-01,1.9,2.11,2.23
1995-10-01,3.09,2.21,2.32
1995-11-01,2.1,2.19,2.27
1995-12-01,2.19,2.29,2.31
1996-01-01,2.59,2.38,2.25
1996-02-01,1.92,2.3,2.25
1996-03-01,2.54,2.4,2.26
1996-04-01,2.09,2.24,2.22
1996-05-01,2.51,2.31,2.25
1996-06-01,2.05,2.28,2.29
1996-07-01,2.48,2.26,2.32
1996-08-01,2.22,2.31,2.31
1996-09-01,2.6,2.32,2.36
1996-10-01,2.81,2.44,2.34
1996-11-01,2.74,2.48,2.39
1996-12-01,2.06,2.48,2.38
1997-01-01,2.2,2.44,2.35
1997-02-01,2.02,2.4,2.36
1997-03-01,1.91,2.29,2.31
1997-04-01,2.12,2.17,2.31
1997-05-01,1.5,1.97,2.22
1997-06-01,1.98,1.95,2.22
1997-07-01,1.43,1.83,2.13
1997-08-01,1.4,1.72,2.06
1997-09-01,2.44,1.81,2.05
1997-10-01,1.03,1.63,1.9
1997-11-01,1.56,1.64,1.8
1997-12-01,1.13,1.5,1.73
1998-01-01,1.39,1.49,1.66
1998-02-01,1.41,1.49,1.61
1998-03-01,2.4,1.49,1.65
