date,NetDomInv,NetBusInv,NetHHInv,NetGovInv,GrossInv_NIPA,GrossInv,CFC,CFCBus,CFCHH,CFCGov,GrossBusInv,GrossHHInv,GrossGovInv,GDP
1994-07-01,6.70492,3.43362,2.34148,0.929836,19.5349,21.1949,14.49,9.19017,2.10931,3.19049,12.6238,4.45079,4.12032,100
1994-10-01,7.08629,4.01062,2.21679,0.85888,19.7133,21.5714,14.4851,9.20427,2.10709,3.17375,13.2149,4.32388,4.03263,100
1995-01-01,7.11757,4.14482,2.0737,0.899061,20.1445,21.7295,14.6119,9.3084,2.12179,3.18173,13.4532,4.19548,4.08078,100
1995-04-01,6.57737,3.75776,1.90381,0.915803,19.7204,21.2951,14.7178,9.40326,2.13592,3.17858,13.161,4.03972,4.09438,100
1995-07-01,6.2423,3.42125,1.98064,0.840413,19.661,20.9598,14.7175,9.4255,2.13509,3.15688,12.8467,4.11573,3.99731,100
1995-10-01,6.40131,3.56225,2.03478,0.804263,20.0236,21.1179,14.7166,9.44526,2.1352,3.13612,13.0075,4.16999,3.94039,100
1996-01-01,6.56536,3.52063,2.13369,0.911029,19.9434,21.2515,14.6861,9.43977,2.13102,3.11536,12.9604,4.26472,4.0264,100
1996-04-01,7.07821,3.89832,2.28055,0.899321,20.2518,21.613,14.5348,9.36791,2.11059,3.05635,13.2662,4.39114,3.95567,100
1996-07-01,7.54468,4.34011,2.29387,0.910703,20.4373,22.0794,14.5348,9.38794,2.10962,3.0372,13.728,4.40351,3.9479,100
1996-10-01,7.36299,4.20106,2.22873,0.933186,20.4616,21.8453,14.4824,9.38712,2.10281,2.99243,13.5882,4.33154,3.92563,100
1997-01-01,7.51458,4.43889,2.23333,0.842352,20.4452,22.0231,14.5086,9.42831,2.10427,2.97599,13.8672,4.33761,3.81834,100
1997-04-01,8.01714,4.90927,2.25489,0.85297,21.2741,22.4701,14.453,9.40818,2.09476,2.95005,14.3174,4.34965,3.80302,100
1997-07-01,8.18335,4.9659,2.30372,0.913732,21.1702,22.5875,14.4041,9.40087,2.09072,2.91255,14.3668,4.39443,3.82628,100
1997-10-01,8.11354,4.86613,2.35907,0.888339,20.676,22.5441,14.4306,9.4366,2.09871,2.89529,14.3027,4.45778,3.78362,100
1998-01-01,8.5966,5.27073,2.45921,0.866657,21.1888,23.0482,14.4516,9.47313,2.10926,2.86919,14.7439,4.56848,3.73585,100
1998-04-01,8.21439,4.66851,2.60516,0.940712,20.522,22.708,14.4936,9.5108,2.1211,2.86172,14.1793,4.72627,3.80244,100
1998-07-01,8.51908,4.77707,2.69199,1.05003,20.5148,22.9775,14.4584,9.50188,2.12351,2.83306,14.279,4.8155,3.88309,100
1998-10-01,8.69042,4.98888,2.7469,0.954638,20.5585,23.0954,14.405,9.47591,2.123,2.80607,14.4648,4.8699,3.76071,100
1999-01-01,9.04668,5.33006,2.71105,1.00557,20.9941,23.4829,14.4362,9.51086,2.13699,2.78832,14.8409,4.84804,3.79389,100
1999-04-01,8.68809,4.93133,2.73591,1.02085,20.4555,23.2081,14.52,9.57847,2.15699,2.78457,14.5098,4.8929,3.80542,100
1999-07-01,8.80722,5.04444,2.70524,1.05753,20.3415,23.3701,14.5629,9.62861,2.17172,2.7626,14.673,4.87695,3.82013,100
1999-10-01,9.03209,5.23501,2.65888,1.13819,20.4109,23.6096,14.5775,9.65438,2.17964,2.74346,14.8894,4.83852,3.88165,100
2000-01-01,8.60648,4.77845,2.69094,1.13709,19.6886,23.393,14.7865,9.81589,2.21698,2.75361,14.5943,4.90792,3.8907,100
2000-04-01,9.32373,5.64145,2.63616,1.04613,20.3177,24.021,14.6972,9.771,2.20746,2.71879,15.4125,4.84362,3.76491,100
2000-07-01,8.92805,5.31645,2.59649,1.01511,19.6681,23.7075,14.7794,9.83029,2.22126,2.72785,15.1467,4.81775,3.74296,100
2000-10-01,8.87916,5.20233,2.61444,1.06239,19.5557,23.5867,14.7076,9.78183,2.21051,2.71524,14.9842,4.82495,3.77761,100
2001-01-01,7.69578,3.96262,2.62857,1.1046,18.6104,22.6567,14.9609,9.9644,2.27239,2.72413,13.927,4.90095,3.82873,100
2001-04-01,7.52836,3.62999,2.65305,1.24532,18.9911,22.5677,15.0393,10.0231,2.30913,2.70711,13.6531,4.96219,3.95243,100
2001-07-01,6.95235,3.17052,2.69918,1.08266,18.27,22.1588,15.2064,10.1169,2.36501,2.72448,13.2874,5.06418,3.80714,100
2001-10-01,6.08187,2.1561,2.66935,1.25643,18.0439,21.3344,15.2525,10.148,2.38127,2.72329,12.3041,5.05061,3.97971,100
2002-01-01,6.58271,2.48662,2.77786,1.31824,18.0177,21.7682,15.1855,10.0977,2.37476,2.71309,12.5843,5.15261,4.03133,100
2002-04-01,6.6359,2.44832,2.86903,1.31854,17.592,21.7841,15.1482,10.0485,2.39114,2.70857,12.4968,5.26017,4.0271,100
2002-07-01,6.51727,2.31006,2.8444,1.36281,17.4669,21.6702,15.1529,10.0365,2.40905,2.70734,12.3466,5.25346,4.07015,100
2002-10-01,6.4753,2.15871,2.91837,1.39823,17.1568,21.6699,15.1946,10.0343,2.44996,2.71038,12.193,5.36833,4.10861,100
2003-01-01,6.46407,2.07921,3.00328,1.38158,16.7435,21.6333,15.1692,9.96871,2.49128,2.70921,12.0479,5.49457,4.0908,100
2003-04-01,6.38113,2.00605,3.02334,1.35174,16.8362,21.4861,15.105,9.9049,2.50076,2.69936,11.911,5.52409,4.05109,100
2003-07-01,6.80977,2.19759,3.22417,1.38801,17.1763,21.7295,14.9197,9.75698,2.49535,2.66736,11.9546,5.71952,4.05537,100
2003-10-01,7.27873,2.55579,3.35946,1.36347,17.7729,22.1175,14.8388,9.67211,2.5172,2.64947,12.2279,5.87667,4.01295,100
2004-01-01,7.1656,2.41556,3.42129,1.32874,17.4399,22.0437,14.8781,9.67303,2.5558,2.64931,12.0886,5.97708,3.97805,100
2004-04-01,7.77912,2.85187,3.58904,1.3382,17.5134,22.6692,14.8901,9.65112,2.58742,2.65155,12.503,6.17646,3.98975,100
2004-07-01,7.90895,2.97047,3.61662,1.32185,17.5458,22.8224,14.9135,9.62827,2.62425,2.66093,12.5988,6.24087,3.98279,100
2004-10-01,8.08318,3.13657,3.64734,1.29927,17.2336,23.0475,14.9643,9.64442,2.65079,2.66912,12.781,6.29813,3.96838,100
2005-01-01,8.42801,3.44635,3.70985,1.27181,18.006,23.4007,14.9726,9.64802,2.66795,2.65668,13.0944,6.37781,3.92849,100
2005-04-01,8.03037,2.95581,3.79669,1.27786,17.5237,23.1122,15.0818,9.70635,2.70497,2.67048,12.6622,6.50166,3.94834,100
2005-07-01,8.0557,2.9238,3.87211,1.25978,17.4526,23.1948,15.1391,9.70762,2.75496,2.6765,12.6314,6.62707,3.93628,100
2005-10-01,8.52076,3.42363,3.84839,1.24874,17.4883,23.7859,15.2652,9.78584,2.79521,2.68412,13.2095,6.64359,3.93286,100
2006-01-01,8.66962,3.57706,3.78838,1.30418,17.9987,23.8943,15.2247,9.76128,2.79906,2.66433,13.3383,6.58745,3.96851,100
2006-04-01,8.39042,3.57388,3.48951,1.32704,17.685,23.7109,15.3205,9.82067,2.81469,2.68515,13.3945,6.30419,4.01219,100
2006-07-01,8.06326,3.65095,3.15142,1.2609,17.1857,23.5,15.4368,9.90398,2.82778,2.705,13.5549,5.97921,3.9659,100
2006-10-01,7.54563,3.38979,2.87718,1.27866,17.5683,23.0591,15.5135,9.96204,2.82718,2.72429,13.3518,5.70436,4.00295,100
2007-01-01,7.20265,3.31284,2.6002,1.28961,17.1152,22.7818,15.5791,10.0001,2.82887,2.75019,13.3129,5.42907,4.0398,100
2007-04-01,7.27626,3.58638,2.35294,1.33694,17.4293,22.836,15.5598,9.99251,2.81001,2.75722,13.5789,5.16295,4.09416,100
2007-07-01,6.9784,3.6106,2.04501,1.32279,17.6666,22.5344,15.556,9.9893,2.79747,2.76929,13.5999,4.84248,4.09207,100
2007-10-01,6.53044,3.48108,1.70147,1.34788,17.5364,22.0913,15.5609,9.99554,2.78011,2.78526,13.4766,4.48159,4.13314,100
2008-01-01,5.81749,3.08642,1.40735,1.32372,16.5899,21.5914,15.7739,10.1554,2.7832,2.83528,13.2418,4.19055,4.159,100
2008-04-01,5.52266,2.89758,1.25159,1.37348,16.3928,21.312,15.7894,10.1904,2.75072,2.84823,13.088,4.00232,4.22171,100
2008-07-01,5.10062,2.61124,1.09737,1.39202,16.2223,21.0483,15.9476,10.3309,2.72837,2.88841,12.9421,3.82574,4.28043,100
2008-10-01,3.80956,1.59391,0.818793,1.39685,15.8695,20.1895,16.3799,10.6264,2.75966,2.99388,12.2203,3.57845,4.39073,100
2009-01-01,1.85356,-0.0865365,0.558246,1.38185,15.6036,18.3975,16.5439,10.7175,2.77302,3.05341,10.631,3.33127,4.43526,100
2009-04-01,0.981313,-0.845129,0.401155,1.42529,14.9895,17.4545,16.4732,10.6416,2.76131,3.07036,9.79643,3.16247,4.49565,100
2009-07-01,0.881584,-1.01822,0.499568,1.40023,14.6705,17.208,16.3264,10.5293,2.73366,3.06339,9.51112,3.23323,4.46363,100
2009-10-01,1.83735,0.0377169,0.476458,1.32318,15.2255,18.0109,16.1736,10.4132,2.71451,3.04583,10.4509,3.19096,4.36901,100
2010-01-01,2.01013,0.37025,0.401291,1.23859,15.2377,18.0929,16.0827,10.3406,2.69224,3.04989,10.7108,3.09353,4.28848,100
2010-04-01,2.76429,0.967758,0.509646,1.28689,15.7053,18.6701,15.9058,10.2279,2.63892,3.039,11.1957,3.14857,4.32588,100
2010-07-01,3.26344,1.68622,0.320138,1.25707,15.9376,19.0595,15.796,10.1505,2.61369,3.03188,11.8367,2.93383,4.28895,100
