date,ALL_S,DPCCRG,label,label2,FILL
2024-09-01,0.22197289509158225,0.2745110779026616,Sep\\`24,,0
2024-10-01,0.26577752005412236,0.29643788573372465,Oct,Oct,0
2024-11-01,0.11486497341237634,0.10498094192132879,Nov,,0
2024-12-01,0.2743968484478998,0.1887675255320076,Dec,,0
2025-01-01,0.35045887709135304,0.3148249541047976,Jan\\`25,Jan\\2025,0
2025-02-01,0.4018593970514406,0.44787979484215423,Feb,,0
2025-03-01,0.015882974245751136,0.09748691517839081,Mar,,0
2025-04-01,0.16595072295757518,0.1875992879210031,Apr,Apr,0
2025-05-01,0.18232263178754593,0.22947841468663466,May,,0
2025-06-01,0.28722899192910045,0.26313697432227556,Jun,,0
2025-07-01,0.1712126113473822,0.24500281475725583,Jul,Jul,0
2025-08-01,0.26228733459359166,0.2246302301668779,Aug,,0
2025-09-01,0.2608155986582039,0.18940290733462373,Sep,,0
2025-10-01,0.19275220372183544,0.22764150794776228,Oct,Oct,0
2025-11-01,0.21975271953764697,0.17761291387345945,Nov,,0
2025-12-01,0.3308571071852118,0.32713836305298116,Dec,,0
2026-01-01,0.3297660527625812,0.4245969066199562,Jan\\`26,Jan\\2026,0
2026-02-01,0.3751937984496134,0.36751823964993324,Feb,,0
2026-03-01,0.6641747242902563,0.2932483068401215,Mar,,0
2026-04-01,,,Apr,Apr,0
