date,Other_19-21,School_19-21,Total_19-21,Other_22-24,School_22-24,Total_22-24
1994-12-01,14.3188,15.4242,29.743,13.488,6.52302,20.011
1995-01-01,14.2839,15.3792,29.663,13.4774,6.51698,19.9943
1995-02-01,14.3447,15.1788,29.5236,13.565,6.49322,20.0582
1995-03-01,14.2982,15.0381,29.3362,13.6753,6.43385,20.1092
1995-04-01,14.2146,15.0122,29.2267,13.613,6.41085,20.0238
1995-05-01,14.2877,15.024,29.3117,13.5838,6.37134,19.9551
1995-06-01,14.2896,15.0648,29.3544,13.6124,6.33726,19.9497
1995-07-01,14.2682,15.1204,29.3886,13.5719,6.33342,19.9053
1995-08-01,14.2695,15.1163,29.3857,13.5383,6.40955,19.9478
1995-09-01,14.3111,15.0655,29.3766,13.5137,6.43942,19.9531
1995-10-01,14.3442,15.0827,29.4268,13.5364,6.4999,20.0363
1995-11-01,14.477,15.0443,29.5212,13.5525,6.54298,20.0955
1995-12-01,14.4936,15.15,29.6435,13.636,6.48936,20.1254
1996-01-01,14.5928,15.2897,29.8825,13.5787,6.47661,20.0553
1996-02-01,14.6592,15.4427,30.102,13.4457,6.47456,19.9202
1996-03-01,14.6563,15.5725,30.2288,13.2827,6.54458,19.8273
1996-04-01,14.58,15.7876,30.3676,13.1972,6.61255,19.8097
1996-05-01,14.4152,15.7225,30.1377,13.216,6.67536,19.8913
1996-06-01,14.4,15.7729,30.1728,13.2186,6.72157,19.9401
1996-07-01,14.3444,15.8137,30.1581,13.195,6.80954,20.0045
1996-08-01,14.2516,15.9499,30.2015,13.1867,6.92104,20.1077
1996-09-01,14.1815,15.9625,30.144,13.0167,7.01481,20.0315
1996-10-01,14.1588,15.9833,30.1422,12.8945,7.01385,19.9083
1996-11-01,14.0177,15.9736,29.9913,12.7979,6.99708,19.795
1996-12-01,13.9437,15.9601,29.9038,12.705,7.02825,19.7332
1997-01-01,13.7432,15.8896,29.6328,12.6971,7.0651,19.7622
1997-02-01,13.541,15.8054,29.3464,12.7674,7.09405,19.8614
1997-03-01,13.4339,15.6918,29.1257,12.7007,7.14845,19.8492
1997-04-01,13.3552,15.5558,28.9111,12.7192,7.16635,19.8856
1997-05-01,13.1866,15.6448,28.8315,12.6369,7.13596,19.7729
1997-06-01,13.0851,15.7285,28.8136,12.5041,7.15876,19.6628
1997-07-01,13.0435,15.7592,28.8026,12.4572,7.09019,19.5474
1997-08-01,12.9342,15.8621,28.7963,12.3481,7.06943,19.4175
1997-09-01,12.8662,15.9824,28.8485,12.3848,6.98241,19.3672
1997-10-01,12.7121,16.0772,28.7893,12.3813,6.98632,19.3676
1997-11-01,12.586,16.1157,28.7017,12.3674,6.96761,19.335
1997-12-01,12.4813,16.1641,28.6455,12.2928,6.91093,19.2038
1998-01-01,12.4052,16.2514,28.6566,12.1751,6.91917,19.0942
1998-02-01,12.3971,16.3954,28.7925,12.0167,6.88824,18.9049
1998-03-01,12.3608,16.5127,28.8735,12.0997,6.82761,18.9273
1998-04-01,12.34,16.605,28.945,12.0677,6.81911,18.8868
1998-05-01,12.2759,16.7476,29.0234,12.0106,6.89162,18.9023
1998-06-01,12.2577,16.8278,29.0855,11.9936,6.9091,18.9027
1998-07-01,12.1931,16.9342,29.1273,12.0029,6.97238,18.9753
1998-08-01,12.1706,16.831,29.0016,12.0647,7.00276,19.0675
1998-09-01,12.0959,16.7503,28.8462,12.1345,7.03498,19.1694
1998-10-01,12.1119,16.6718,28.7837,12.1922,6.98632,19.1786
1998-11-01,12.1532,16.7584,28.9116,12.1727,7.06572,19.2384
1998-12-01,12.1386,16.7688,28.9074,12.2137,7.12034,19.334
1999-01-01,12.2112,16.7889,29,12.2224,7.12167,19.3441
1999-02-01,12.2156,16.6909,28.9065,12.2636,7.16305,19.4267
1999-03-01,12.2074,16.6944,28.9018,12.1727,7.15992,19.3327
1999-04-01,12.2496,16.744,28.9935,12.189,7.18799,19.3769
