name;min;width;latest;prev12;y
Public Administration;24.088441238101883;15.504125522406387;34.6462816541067;30.70917902563385;0.13
Education \& Health;14.630935739590342;9.514661837001324;14.630935739590342;17.471777216032265;-0.87
Trade, Transportation,\\~\& Utilities;7.791909065901112;7.3276965653479875;10.947712804864068;9.115195324629914;-1.87
Construction \& Mining;7.439407302443024;13.2269070574966;9.875404478806988;10.968370981045677;-2.87
Manufacturing;5.968303205110553;17.574443279707978;8.548506942850056;8.539009952499656;-3.87
Finance \& Business\\ Services;1.778125840532498;5.39225416965761;3.3450996948228444;2.1823719255327405;-4.87
Leisure \& Hospitality;1.0194009082637563;16.994087531024142;3.224827943673937;4.566244421024684;-5.87
