date,TenYr,ThreeMo
2025-03-07,4.32,4.34
2025-03-10,4.22,4.33
2025-03-11,4.28,4.34
2025-03-12,4.32,4.35
2025-03-13,4.27,4.34
2025-03-14,4.31,4.33
2025-03-17,4.31,4.34
2025-03-18,4.29,4.34
2025-03-19,4.25,4.33
2025-03-20,4.24,4.33
2025-03-21,4.25,4.33
2025-03-24,4.34,4.33
2025-03-25,4.31,4.33
2025-03-26,4.35,4.33
2025-03-27,4.38,4.33
2025-03-28,4.27,4.33
2025-03-31,4.23,4.32
2025-04-01,4.17,4.32
2025-04-02,4.2,4.32
2025-04-03,4.06,4.31
2025-04-04,4.01,4.28
2025-04-07,4.15,4.29
2025-04-08,4.26,4.31
2025-04-09,4.34,4.35
2025-04-10,4.4,4.34
2025-04-11,4.48,4.34
2025-04-14,4.38,4.33
2025-04-15,4.35,4.33
2025-04-16,4.29,4.33
2025-04-17,4.34,4.34
2025-04-18,,
2025-04-21,4.42,4.34
2025-04-22,4.41,4.33
2025-04-23,4.4,4.33
2025-04-24,4.32,4.32
2025-04-25,4.29,4.32
2025-04-28,4.23,4.32
2025-04-29,4.19,4.31
2025-04-30,4.17,4.31
2025-05-01,4.25,4.31
2025-05-02,4.33,4.33
2025-05-05,4.36,4.33
2025-05-06,4.3,4.33
2025-05-07,4.26,4.34
2025-05-08,4.37,4.34
2025-05-09,4.37,4.34
2025-05-12,4.45,4.42
2025-05-13,4.49,4.41
2025-05-14,4.53,4.41
2025-05-15,4.45,4.38
2025-05-16,4.43,4.37
2025-05-19,4.46,4.39
2025-05-20,4.48,4.38
2025-05-21,4.58,4.36
2025-05-22,4.54,4.37
2025-05-23,4.51,4.36
2025-05-26,,
2025-05-27,4.43,4.35
2025-05-28,4.47,4.35
2025-05-29,4.43,4.36
2025-05-30,4.41,4.36
2025-06-02,4.46,4.44
