date,Nominal,Real
1998-01-01,1.43,1.42
1998-04-01,1.43,1.43
1998-07-01,1.44,1.43
1998-10-01,1.43,1.41
1999-01-01,1.42,1.41
1999-04-01,1.41,1.41
1999-07-01,1.39,1.4
1999-10-01,1.39,1.4
2000-01-01,1.39,1.41
2000-04-01,1.4,1.41
2000-07-01,1.41,1.43
2000-10-01,1.42,1.45
2001-01-01,1.43,1.45
2001-04-01,1.44,1.47
2001-07-01,1.43,1.46
2001-10-01,1.39,1.41
2002-01-01,1.38,1.42
2002-04-01,1.35,1.4
2002-07-01,1.35,1.41
2002-10-01,1.36,1.42
2003-01-01,1.35,1.43
2003-04-01,1.36,1.42
2003-07-01,1.32,1.39
2003-10-01,1.31,1.39
2004-01-01,1.3,1.38
2004-04-01,1.29,1.39
2004-07-01,1.31,1.39
2004-10-01,1.29,1.38
2005-01-01,1.29,1.39
2005-04-01,1.28,1.38
2005-07-01,1.26,1.37
2005-10-01,1.25,1.38
2006-01-01,1.25,1.37
2006-04-01,1.27,1.39
2006-07-01,1.29,1.4
2006-10-01,1.3,1.39
2007-01-01,1.29,1.39
2007-04-01,1.28,1.39
2007-07-01,1.28,1.39
2007-10-01,1.27,1.39
2008-01-01,1.28,1.41
2008-04-01,1.26,1.41
2008-07-01,1.29,1.46
2008-10-01,1.42,1.52
2009-01-01,1.47,1.55
2009-04-01,1.42,1.54
2009-07-01,1.33,1.47
2009-10-01,1.29,1.44
2010-01-01,1.27,1.42
2010-04-01,1.26,1.39
2010-07-01,1.27,1.4
2010-10-01,1.27,1.4
2011-01-01,1.25,1.4
2011-04-01,1.26,1.42
2011-07-01,1.26,1.41
2011-10-01,1.26,1.4
2012-01-01,1.25,1.4
2012-04-01,1.27,1.41
2012-07-01,1.29,1.43
2012-10-01,1.29,1.42
2013-01-01,1.28,1.43
2013-04-01,1.29,1.43
2013-07-01,1.29,1.44
2013-10-01,1.3,1.44
2014-01-01,1.31,1.46
2014-04-01,1.3,1.45
2014-07-01,1.31,1.46
2014-10-01,1.34,1.46
2015-01-01,1.38,1.47
2015-04-01,1.38,1.49
2015-07-01,1.39,1.5
2015-10-01,1.42,1.51
2016-01-01,1.43,1.51
2016-04-01,1.42,1.52
2016-07-01,1.42,1.51
2016-10-01,1.41,1.5
2017-01-01,1.39,1.49
2017-04-01,1.4,1.5
2017-07-01,1.39,1.49
2017-10-01,1.36,1.47
2018-01-01,1.37,1.49
2018-04-01,1.35,1.49
2018-07-01,1.35,1.49
2018-10-01,1.38,1.51
2019-01-01,1.41,1.53
2019-04-01,1.41,1.55
2019-07-01,1.42,1.56
2019-10-01,1.43,1.58
2020-01-01,1.46,1.6
2020-04-01,1.57,1.69
2020-07-01,1.36,1.51
2020-10-01,1.35,1.51
2021-01-01,1.31,1.49
2021-04-01,1.26,1.46
2021-07-01,1.28,1.47
2021-10-01,1.29,1.48
2022-01-01,1.31,1.51
2022-04-01,1.33,1.56
2022-07-01,1.38,1.58
2022-10-01,1.41,1.59
2023-01-01,1.41,1.59
2023-04-01,1.42,1.6
2023-07-01,1.4,1.58
2023-10-01,1.4,1.57
2024-01-01,1.4,1.58
2024-04-01,1.41,1.59
2024-07-01,1.4,1.57
2024-10-01,1.4,1.56
2025-01-01,1.39,1.56
2025-04-01,1.38,1.56
2025-07-01,1.37,1.55
2025-10-01,1.37,1.54
2026-01-01,1.33,
