age,disposable,market
0,1.7193507550526368,1.905763850094079
3,1.5383748095783347,2.0529960451205826
6,1.5841314890103941,2.330283676313545
9,1.7574593936653653,2.574104863300807
12,1.8989338834301097,2.461009811314441
15,2.23759258796388,2.3169389084979115
18,4.620169421490475,1.4783790953420155
21,4.732012943751697,1.2546630543275876
24,3.6957133188810487,1.214526549494804
27,2.773453986345926,1.450454532449665
30,2.675218220996885,1.7866939863993752
33,2.3682502257795663,1.9015433198028546
36,2.7399437903955963,2.078568746364544
39,2.1171135443371667,1.8009071709601812
42,2.2726272314917897,1.9956646565688065
45,2.207459645246124,1.909076149289545
48,2.2115319808576546,2.1407604196666874
51,2.81534054934571,2.5525281700575553
54,2.5949890491514642,3.374827859627147
57,3.4814691053713136,4.504876254599154
60,3.881372181390028,6.163710335414183
63,3.5146878234139245,11.213443851529417
66,3.3266972137531865,13.671623796743189
69,2.4343278115861704,13.865259750440684
72,3.063878650296436,12.80965370914634
75,1.9358896127372223,12.336359807393476
