date,CES,PNS_payrolls,PNS_hrs,CES_PNS,CPS
1991-04-01,,81.95563490897585,102.10210210210211,83.67842603318856,85.84998513234275
1991-05-01,,81.87201247556304,102.40240240240242,83.83890767017117,85.25104670049596
1991-06-01,,81.8810527386347,102.40240240240242,83.84816511674003,85.43866692361183
1991-07-01,,81.84489168634808,102.40240240240242,83.81113533046455,85.41254386829974
1991-08-01,,81.91608375803736,102.40240240240242,83.88403772219442,85.38537340151859
1991-09-01,,81.92625405399298,102.40240240240242,83.8944523495844,85.85763596534154
1991-10-01,,81.89800323189405,102.40240240240242,83.86552282905667,85.73610615451895
1991-11-01,,81.81890093001707,102.40240240240242,83.78452017157903,85.78771759293677
1991-12-01,,81.85845208095556,102.40240240240242,83.82502150031786,85.66898082978567
1992-01-01,,81.89348310035822,102.40240240240242,83.86089410577223,85.97750410782142
1992-02-01,,81.87653260709887,102.40240240240242,83.8435363934556,85.95349276025476
1992-03-01,,81.90478342919779,102.40240240240242,83.87246591398333,86.20688772910509
1992-04-01,,82.07315832890737,103.003003003003,84.53781773818386,86.42927407823923
1992-05-01,,82.19181178172285,103.003003003003,84.66003435775056,86.3393450284051
1992-06-01,,82.25283355745651,102.70270270270272,84.47588311306346,86.44044328802312
1992-07-01,,82.27656424801961,102.70270270270272,84.50025517364178,86.6458620261713
1992-08-01,,82.36244674720035,102.70270270270272,84.58845882144901,86.60524206306447
1992-09-01,,82.47318996982813,103.003003003003,84.94986234129443,86.65952959326223
1992-10-01,,82.65964539568101,102.70270270270272,84.89368986583456,86.53986278777244
1992-11-01,,82.83593052557829,102.70270270270272,85.07473945870204,86.69543553299927
1992-12-01,,83.0167357870114,102.70270270270272,85.26043134882254,86.90732673279618
1993-01-01,,83.32975489586747,103.003003003003,85.8321499377854,86.98937012011585
1993-02-01,,83.61791328127649,103.003003003003,86.12896172816166,87.16913385690349
1993-03-01,,83.53429084786367,102.40240240240242,85.54112065802258,87.34169189316503
1993-04-01,,83.78515814810211,103.30330330330331,86.55283604488628,87.26398550063608
1993-05-01,,84.06540630332343,103.003003003003,86.58989297909889,87.91707422409372
1993-06-01,,84.20214028228222,103.003003003003,86.73073308355195,88.12545454569465
1993-07-01,,84.41571649735008,103.30330330330331,87.20422364891418,88.3067817885014
1993-08-01,,84.61912241646232,103.003003003003,87.16023720374346,88.60297045451894
1993-09-01,,84.8428689274858,103.30330330330331,87.64548621938472,88.48583123074113
1993-10-01,,85.10390652367984,103.30330330330331,87.9151466791167,88.83901280640217
1993-11-01,,85.36042398833807,103.30330330330331,88.18013769365854,89.20531087419323
1993-12-01,,85.63728204490751,103.60360360360362,88.72331022670598,89.45683563159238
1994-01-01,,85.85876849016306,103.30330330330331,88.69494402587416,89.63308785636819
1994-02-01,,86.05991434350739,102.70270270270272,88.38585797441301,89.74024693940123
1994-03-01,,86.48141660922333,103.60360360360362,89.59786405460075,89.5713697565859
1994-04-01,,86.8102561784548,103.60360360360362,89.93855369839912,89.79569830860584
1994-05-01,,87.11762512289107,103.60360360360362,90.25699900119346,90.15370921839897
1994-06-01,,87.41030363983592,103.60360360360362,90.5602244917219,90.1146712733012
1994-07-01,,87.75044353790695,103.90390390390391,91.1761365288763,90.29516892352557
1994-08-01,,88.03069169312828,103.60360360360362,91.20296887125902,90.74734214772788
1994-09-01,,88.33241047314478,103.60360360360362,91.51556040010495,90.98480419640211
1994-10-01,,88.53242629360516,103.60360360360362,91.7227839978792,91.39309525957361
1994-11-01,,88.93019786875797,103.60360360360362,92.13488968384837,91.61769892848758
1994-12-01,,89.22852655012261,103.60360360360362,92.44396894832522,91.77228574554816
1995-01-01,,89.49069417920062,103.60360360360362,92.71558405953218,91.7742304257433
1995-02-01,,89.62968822392732,103.30330330330331,92.59042867576875,91.95060825993983
1995-03-01,,89.84665453764704,103.30330330330331,92.81456204489665,91.98706761207134
1995-04-01,,89.99807894409727,102.70270270270272,92.43045945609992,92.12808611036567
1995-05-01,,90.01163933870475,102.70270270270272,92.44438634785895,91.93851483429931
1995-06-01,,90.2071350276293,103.003003003003,92.91605800143198,92.20993649271588
1995-07-01,,90.29188749392607,103.003003003003,93.00335558683676,92.44712478832176
1995-08-01,,90.57778581356717,103.003003003003,93.29783944160222,92.50030638335333
1995-09-01,,90.80492242324252,103.003003003003,93.53179697048704,92.79023193765553
1995-10-01,,90.92470590894195,103.003003003003,93.65517755785912,92.89114978411149
1995-11-01,,91.00380821081893,103.30330330330331,94.00994001357871,92.85370198370208
1995-12-01,,91.17783327494831,102.70270270270272,93.64209903913611,92.8230951381264
1996-01-01,,91.12698179517024,101.50150150150151,92.49525479509771,92.86434853388681
1996-02-01,,91.5371837320466,103.003003003003,94.28604810838434,93.09208568466907
1996-03-01,,91.7473698484626,103.003003003003,94.50254612018819,93.32798376757273
1996-04-01,,91.93382527431548,102.70270270270272,94.4185232547024,93.52334229663926
1996-05-01,,92.24797441605551,103.003003003003,95.0181838579791,93.75959220493442
1996-06-01,,92.47285095996294,103.30330330330331,95.52750970038213,94.2115548334446
1996-07-01,,92.69433740521849,103.003003003003,95.47795114111094,94.42433768902899
