date,TOT_POP
1990-05-01,249.052022
1990-06-01,249.336728
1990-07-01,249.622814
1990-08-01,249.924356
1990-09-01,250.231356
1990-10-01,250.533426
1990-11-01,250.770668
1990-12-01,250.999634
1991-01-01,251.208106
1991-02-01,251.451583
1991-03-01,251.681661
1991-04-01,251.955245
1991-05-01,252.2874
1991-06-01,252.681069
1991-07-01,252.980941
1991-08-01,253.309365
1991-09-01,253.647868
1991-10-01,253.97323
1991-11-01,254.269779
1991-12-01,254.526769
1992-01-01,254.782555
1992-02-01,255.02621
1992-03-01,255.287764
1992-04-01,255.585733
1992-05-01,255.886615
1992-06-01,256.200285
1992-07-01,256.514224
1992-08-01,256.860428
1992-09-01,257.186352
1992-10-01,257.504909
1992-11-01,257.795795
1992-12-01,258.062038
1993-01-01,258.329007
1993-02-01,258.568839
1993-03-01,258.805062
1993-04-01,259.068338
1993-05-01,259.33742
1993-06-01,259.623503
1993-07-01,259.918588
1993-08-01,260.233305
1993-09-01,260.537108
1993-10-01,260.836631
1993-11-01,261.10125
1993-12-01,261.351847
1994-01-01,261.5996
1994-02-01,261.805361
1994-03-01,262.035634
1994-04-01,262.318037
1994-05-01,262.565235
1994-06-01,262.841138
1994-07-01,263.125821
1994-08-01,263.417957
1994-09-01,263.715731
1994-10-01,264.003356
1994-11-01,264.264065
1994-12-01,264.51194
1995-01-01,264.753646
1995-02-01,264.98276
1995-03-01,265.209114
1995-04-01,265.471847
1995-05-01,265.716664
1995-06-01,265.990051
1995-07-01,266.278393
1995-08-01,266.567694
1995-09-01,266.877422
1995-10-01,267.183385
1995-11-01,267.443554
1995-12-01,267.672343
1996-01-01,267.880962
1996-02-01,268.09222
1996-03-01,268.32338
1996-04-01,268.582017
1996-05-01,268.835987
1996-06-01,269.112197
1996-07-01,269.394284
1996-08-01,269.70428
1996-09-01,270.015158
1996-10-01,270.313968
1996-11-01,270.611726
1996-12-01,270.858868
1997-01-01,271.09427
1997-02-01,271.318366
1997-03-01,271.555051
1997-04-01,271.818977
1997-05-01,272.078036
1997-06-01,272.35716
1997-07-01,272.646925
1997-08-01,272.97362
1997-09-01,273.291559
1997-10-01,273.592979
1997-11-01,273.866666
1997-12-01,274.112238
1998-01-01,274.365422
1998-02-01,274.576611
1998-03-01,274.783484
1998-04-01,275.040082
1998-05-01,275.300524
1998-06-01,275.572587
1998-07-01,275.854104
1998-08-01,276.158376
1998-09-01,276.454945
1998-10-01,276.745629
1998-11-01,277.020504
1998-12-01,277.269404
1999-01-01,277.533535
1999-02-01,277.735449
1999-03-01,277.941748
1999-04-01,278.195745
1999-05-01,278.461681
1999-06-01,278.74615
1999-07-01,279.040168
1999-08-01,279.348204
1999-09-01,279.652083
1999-10-01,279.952033
1999-11-01,280.220702
1999-12-01,280.466621
2000-01-01,280.726081
2000-02-01,280.939327
2000-03-01,281.158341
2000-04-01,281.421906
2000-05-01,281.643089
2000-06-01,281.887481
2000-07-01,282.162411
2000-08-01,282.422213
2000-09-01,282.693284
2000-10-01,282.957962
2000-11-01,283.197152
2000-12-01,283.437649
2001-01-01,283.647024
2001-02-01,283.841797
2001-03-01,284.047071
2001-04-01,284.269299
2001-05-01,284.487152
2001-06-01,284.728443
2001-07-01,284.968955
2001-08-01,285.224368
2001-09-01,285.493771
2001-10-01,285.689399
2001-11-01,285.921072
2001-12-01,286.138973
2002-01-01,286.340637
2002-02-01,286.542998
2002-03-01,286.723459
2002-04-01,286.929463
2002-05-01,287.151632
2002-06-01,287.393588
2002-07-01,287.625193
2002-08-01,287.870555
2002-09-01,288.129987
2002-10-01,288.379244
2002-11-01,288.610754
2002-12-01,288.804655
2003-01-01,288.998781
2003-02-01,289.132739
2003-03-01,289.258694
2003-04-01,289.400188
2003-05-01,289.55482
2003-06-01,289.819527
2003-07-01,290.107933
2003-08-01,290.391551
2003-09-01,290.656476
2003-10-01,290.916101
2003-11-01,291.160038
2003-12-01,291.364214
2004-01-01,291.55319
2004-02-01,291.716878
2004-03-01,291.888226
2004-04-01,292.108553
2004-05-01,292.350184
2004-06-01,292.571704
2004-07-01,292.805298
2004-08-01,293.057495
2004-09-01,293.309033
2004-10-01,293.573356
2004-11-01,293.801454
2004-12-01,294.015263
2005-01-01,294.230649
2005-02-01,294.380349
2005-03-01,294.55869
2005-04-01,294.784353
2005-05-01,295.030999
2005-06-01,295.262724
2005-07-01,295.516599
2005-08-01,295.771752
2005-09-01,296.040189
2005-10-01,296.306871
2005-11-01,296.514546
2005-12-01,296.762293
