year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989-01-01,Less than 25,24.052168,0.25361434,6.9167542,1.8444679,1.1527925,6.9167542,0.57639623,13.833508,0.46111697,2.3055849,1.7291886,0.46111697,2.3055849,1.3833508,1.1527925,6.9167542,18.444679,5.7178502,69.167542,6.9167542,0.23055848,1.3833508,-2.3055849,8.2770491,85.306641,40.347736,6.9167542,4.6111698,2.3055849,1.3833508,85.306641,2766.7019,6.9167542,7.6084299,1.8444679
1989-01-01,25-49.9,50.509552,48.417282,78.389885,12.726829,3.3200421,11.527925,1.0375131,6.9167542,4.6111698,4.6111698,4.6111698,9.2223396,8.5306635,4.6111698,5.7639623,59.945206,78.389885,13.211001,29.201155,23.055849,6.9167542,9.2223396,16.139093,26.237555,64.556374,27.667017,11.527925,2.3055849,1.6139094,2.0750263,64.556374,18.444679,12.865164,4.6111698,2.3055849
1989-01-01,50-74.9,72.156502,201.27756,258.45605,42.561096,6.5709167,23.055849,1.1527925,16.139093,6.9167542,13.833508,6.9167542,18.444679,23.055849,6.9167542,13.833508,198.16501,161.39095,18.444679,57.639622,25.361433,59.945206,16.139093,78.389885,64.879158,71.473129,32.278187,16.139093,4.6111698,2.1903055,2.3055849,69.167542,43.80611,15.332139,9.2223396,4.6111698
1989-01-01,75-89.9,96.208672,487.97702,582.73657,159.08536,14.064068,46.111698,2.3055849,46.111698,27.667017,32.278187,11.527925,92.223396,57.639622,11.527925,46.111698,421.80673,288.19809,20.750263,125.2645,57.639622,126.80717,23.055849,182.1412,74.147606,87.612221,57.639622,18.444679,6.9167542,2.3055849,8.7612219,73.778717,41.500526,16.139093,9.2223396,6.9167542
1989-01-01,90-100,180.39125,1593.1591,1791.6699,575.24341,52.544277,87.612221,4.6111698,161.39095,78.389885,71.473129,20.750263,230.55849,110.66807,36.889359,138.33508,1157.4036,461.11697,33.338757,299.72601,268.95801,691.67548,48.417282,586.38538,115.97092,103.75132,99.140144,18.444679,23.055849,3.4583771,16.139093,106.0569,62.25079,18.444679,4.6111698,25.361433
1992-01-01,Less than 25,27.606365,1.0359849,7.9770832,1.6575757,0.82878786,3.3151515,0.47655302,15.850568,1.2431818,2.9007576,1.6575757,2.0719697,2.0719697,1.3467803,1.9890909,7.4590907,60.08712,6.0087123,33.151516,6.215909,4.1439395,2.6935606,-0.62159091,9.1166668,62.159092,24.863636,7.7491665,2.4863636,1.8647727,2.2791667,62.159092,3.3151515,8.287879,7.4590907,2.0719697
1992-01-01,25-49.9,50.965599,48.857044,81.117615,12.431818,2.9007576,10.359848,0.82878786,7.4590907,4.1439395,8.4950762,3.5223484,8.287879,8.7022724,4.1439395,6.215909,70.446968,82.878784,12.017425,26.935606,18.647728,15.539773,9.3445835,14.503788,30.437235,71.482956,26.935606,7.8942046,2.0719697,2.2377272,2.6935606,71.482956,18.647728,9.323864,5.3871212,2.0719697
1992-01-01,50-74.9,67.954132,182.12613,243.24924,45.997726,6.215909,20.719696,1.0359849,22.791666,8.0806818,18.647728,6.215909,22.791666,27.557198,6.0087123,17.404545,183.36932,157.4697,17.197348,72.518936,39.367424,37.295456,12.431818,62.159092,62.159092,91.166664,38.33144,11.810227,3.7295454,2.0719697,5.179924,89.094696,20.719696,14.089394,5.3871212,2.0719697
1992-01-01,75-89.9,89.189796,423.51266,491.05682,153.94734,13.136288,39.367424,2.0719697,41.439392,20.719696,33.151516,10.98144,33.151516,60.708714,11.395833,49.727272,339.38864,248.63637,19.890909,103.59849,62.159092,123.2822,20.719696,163.43697,68.99659,93.23864,45.583332,12.639015,12.431818,2.1755681,10.359848,89.094696,26.935606,12.224621,5.179924,6.4231062
1992-01-01,90-100,167.76176,1384.0758,1531.8486,528.35229,48.276894,62.159092,4.1439395,182.33333,93.23864,103.59849,20.719696,136.75,155.39772,62.159092,186.47728,929.07123,395.74622,30.934507,209.08246,256.92426,559.43182,43.511364,451.27499,157.4697,145.03787,113.95834,16.782955,37.295456,3.3151515,12.431818,140.89394,41.439392,14.296591,11.830947,13.467803
