date,Black,Hispanic,Other,White
1989-01-01,35.667671,18.475885,92.173615,147.59192
1992-01-01,43.025307,24.611658,119.59042,140.30554
1995-01-01,31.281792,50.950188,160.55098,192.58925
1998-01-01,57.750477,91.925156,201.93488,298.23523
2001-01-01,69.827271,79.595078,197.55635,392.8732
2004-01-01,71.668777,82.427437,167.72305,340.67639
2007-01-01,69.644203,90.465454,131.63042,379.8223
2010-01-01,61.443283,71.184029,244.52637,327.85507
2013-01-01,45.989414,63.962696,242.0883,394.79922
2016-01-01,73.106941,146.81151,286.71902,500.59628
2019-01-01,88.432251,114.48132,348.44528,502.94971
2022-01-01,80.400101,97.376114,409.11679,568.13641
