date,A261RC,A4002C,W056RC,A107RC,W271RC,A262RC,A4102C,A038RC,indirect
1989-01-01,2.48,1.41,0.18,-0.06,0.42,0.42,0.88,0.52,0.24
1990-01-01,1.48,1.46,0.19,-0.03,-0.53,0.33,1.08,0.38,0.22
1991-01-01,-0.01,-0.04,0.29,-0.01,-0.5,0.23,-0.31,0.27,0.3
1992-01-01,3.24,2.24,0.26,0.03,0.67,0.11,1.4,0.84,0.22
1993-01-01,2.23,0.95,0.13,0.09,0.93,0.31,0.67,0.28,0.04
1994-01-01,4.41,1.58,0.46,-0.07,1.85,0.45,1.35,0.23,0.53
1995-01-01,3.42,1.48,0.02,0.02,1.34,0.61,1.56,-0.08,-0.01
1996-01-01,4.3,1.85,0.16,-0.0,1.86,0.42,1.77,0.08,0.17
1997-01-01,5.06,2.65,0.26,-0.02,1.6,0.54,2.43,0.22,0.28
1998-01-01,5.26,3.57,0.24,0.03,0.82,0.65,3.02,0.56,0.22
1999-01-01,4.46,2.84,0.27,0.09,0.67,0.76,2.38,0.46,0.18
2000-01-01,4.73,3.26,0.2,-0.0,0.45,0.82,2.69,0.57,0.2
2001-01-01,1.12,0.57,0.03,0.11,0.13,0.51,0.19,0.37,-0.08
2002-01-01,1.34,0.03,0.19,-0.17,0.64,0.31,-0.32,0.35,0.36
2003-01-01,2.25,0.87,0.27,0.06,0.91,0.25,0.39,0.48,0.21
2004-01-01,3.87,1.66,0.35,-0.03,1.35,0.48,1.23,0.43,0.38
2005-01-01,3.7,1.09,0.37,0.1,1.61,0.73,0.81,0.28,0.27
2006-01-01,3.89,1.45,0.19,-0.08,1.49,0.68,1.4,0.04,0.27
2007-01-01,0.39,1.35,0.09,0.01,-1.53,0.49,1.21,0.14,0.08
2008-01-01,-1.1,0.19,-0.05,-0.02,-1.68,0.43,0.1,0.08,-0.03
2009-01-01,-2.61,-2.39,-0.2,0.04,0.04,-0.02,-2.24,-0.15,-0.24
2010-01-01,3.59,0.49,0.16,-0.02,2.98,-0.07,0.32,0.17,0.19
2011-01-01,2.19,0.9,0.12,0.02,0.97,0.23,0.8,0.1,0.1
2012-01-01,3.1,1.18,0.07,-0.02,1.47,0.35,1.12,0.06,0.09
2013-01-01,1.34,0.73,0.18,0.0,0.06,0.37,0.41,0.32,0.18
2014-01-01,3.16,1.52,0.18,-0.02,0.91,0.53,1.39,0.13,0.2
2015-01-01,2.65,2.03,0.14,-0.01,0.04,0.43,1.75,0.28,0.14
2016-01-01,1.02,0.94,0.13,0.02,-0.34,0.31,0.85,0.09,0.11
2017-01-01,2.39,1.46,0.16,-0.02,0.29,0.46,1.25,0.22,0.18
2018-01-01,3.01,1.47,0.31,0.01,0.78,0.46,1.15,0.31,0.3
2019-01-01,2.58,1.47,0.25,0.04,0.37,0.53,1.32,0.15,0.21
2020-01-01,-2.29,-0.04,-0.15,2.68,0.12,0.46,0.06,-0.1,-2.83
2021-01-01,6.11,1.9,0.37,-0.92,2.56,0.37,1.87,0.02,1.29
2022-01-01,2.12,0.06,0.08,-1.54,-0.17,0.61,0.32,-0.27,1.62
