date,RUT
1989-01-01,150.5357135238095
1989-02-01,155.5263165789474
1989-03-01,156.92318181818177
1989-04-01,161.34199985
1989-05-01,167.57454540909092
1989-06-01,171.54499949999996
1989-07-01,172.13149949999996
1989-08-01,176.103913
1989-09-01,177.49800109999998
1989-10-01,174.12
1989-11-01,167.4342847619048
1989-12-01,166.74250024999998
1990-01-01,163.22045413636363
1990-02-01,157.56789510526315
1990-03-01,162.47545549999998
1990-04-01,160.95
1990-05-01,164.05954527272726
1990-06-01,169.1033325238095
1990-07-01,166.62666676190477
1990-08-01,146.1421733913043
1990-09-01,135.6415794210526
1990-10-01,122.76391269565217
1990-11-01,123.32523857142857
1990-12-01,130.38549960000003
1991-01-01,131.6454547272727
1991-02-01,154.49158036842104
1991-03-01,166.29549949999995
1991-04-01,174.3418190909091
1991-05-01,173.35727409090904
1991-06-01,173.90700005000002
1991-07-01,170.14409013636362
1991-08-01,174.46591040909092
1991-09-01,177.75400005
1991-10-01,180.36521708695653
1991-11-01,181.9165
1991-12-01,178.79857014285713
1992-01-01,201.2650008181818
1992-02-01,209.94105136842106
1992-03-01,207.3804542272727
1992-04-01,196.51095223809526
1992-05-01,197.9459991
1992-06-01,192.5545465909091
1992-07-01,189.8672740909091
1992-08-01,191.41571266666665
1992-09-01,191.98428566666664
1992-10-01,192.44181895454543
1992-11-01,206.43749935
1992-12-01,215.73045495454545
1993-01-01,224.43700024999998
1993-02-01,225.19210663157895
1993-03-01,227.41869460869566
1993-04-01,223.25904704761902
1993-05-01,228.82999875000004
1993-06-01,230.53772863636365
1993-07-01,235.28142876190472
1993-08-01,241.2981823636364
1993-09-01,247.13380933333332
1993-10-01,255.91904995238093
1993-11-01,253.80476300000004
1993-12-01,252.90181804545452
1994-01-01,261.31476128571427
1994-02-01,264.4210542105263
1994-03-01,264.95478152173916
1994-04-01,250.29684126315786
1994-05-01,248.9038093333333
1994-06-01,247.33000040909093
1994-07-01,243.0429986
1994-08-01,249.10174100000003
1994-09-01,256.12856990476183
1994-10-01,253.00381038095242
1994-11-01,248.66666590476194
1994-12-01,241.61714252380955
1995-01-01,248.93000066666661
1995-02-01,253.85947373684218
1995-03-01,257.4030424782609
1995-04-01,262.66579068421055
1995-05-01,269.37999931818183
1995-06-01,278.87272927272727
1995-07-01,292.3855024999999
1995-08-01,301.5073893043478
1995-09-01,311.9949997
1995-10-01,300.1518192727272
1995-11-01,302.8304747619048
1995-12-01,311.40499869999996
1996-01-01,308.7545471818181
1996-02-01,321.53900144999994
1996-03-01,326.41714028571425
1996-04-01,337.57047523809524
1996-05-01,355.98181836363636
1996-06-01,352.90899805000004
1996-07-01,323.9445439545455
1996-08-01,328.747726409091
1996-09-01,339.81600199999997
1996-10-01,345.3956511304347
1996-11-01,346.525502
1996-12-01,356.8166648571428
1997-01-01,366.51772922727275
1997-02-01,366.19052610526313
1997-03-01,357.40899974999996
1997-04-01,340.38727086363633
1997-05-01,366.3909563809524
1997-06-01,389.8976178571428
1997-07-01,404.24000413636367
1997-08-01,415.99857438095233
1997-09-01,441.9204770000001
1997-10-01,452.3030435652175
1997-11-01,433.2742117894738
1997-12-01,428.7186391363637
1998-01-01,426.03850105000004
1998-02-01,451.01736610526314
1998-03-01,469.94772618181815
1998-04-01,482.3828606666667
1998-05-01,471.021997
1998-06-01,447.8504527727273
1998-07-01,450.3531828181818
1998-08-01,395.6400030476191
1998-09-01,359.1814299047619
1998-10-01,347.29318104545456
1998-11-01,394.4654998
1998-12-01,400.4372724545455
1999-01-01,425.81315531578946
1999-02-01,403.4447375263158
1999-03-01,396.14173960869573
1999-04-01,417.91190452380954
1999-05-01,440.52350315
1999-06-01,443.36408863636353
1999-07-01,454.0266636190475
1999-08-01,432.3695456363635
1999-09-01,430.48094819047617
1999-10-01,420.87761871428586
1999-11-01,450.17047695238085
1999-12-01,473.234091909091
2000-01-01,504.43600619999995
2000-02-01,540.75249945
2000-03-01,574.3591282608696
2000-04-01,496.6799958421052
2000-05-01,486.9581854090909
2000-06-01,514.5118144090909
2000-07-01,524.08350065
2000-08-01,514.5534786956523
2000-09-01,526.95149995
2000-10-01,485.7918186818181
2000-11-01,481.6352365238096
2000-12-01,466.81000220000004
2001-01-01,487.9704779047618
2001-02-01,495.4889494736842
2001-03-01,457.157726
2001-04-01,456.23699945
2001-05-01,497.5931785
2001-06-01,501.03857276190473
2001-07-01,485.6138117619048
2001-08-01,477.7678235652174
2001-09-01,416.36267093333333
2001-10-01,422.7469562608696
2001-11-01,449.0785726190476
2001-12-01,479.4144988500002
2002-01-01,484.6809547142857
2002-02-01,468.33052778947365
2002-03-01,498.01200255000003
2002-04-01,507.9436423636365
2002-05-01,501.19681895454545
2002-06-01,463.9830047500001
2002-07-01,406.7827259090909
2002-08-01,391.5181856818181
2002-09-01,377.39599925000005
2002-10-01,357.73695973913044
2002-11-01,388.58250109999994
2002-12-01,391.0547631428572
2003-01-01,386.0609537142857
2003-02-01,361.4968389473684
2003-03-01,361.41809819047614
2003-04-01,381.9757138095238
2003-05-01,416.54762047619045
2003-06-01,449.97476195238085
2003-07-01,467.9959093181818
2003-08-01,475.36619338095244
2003-09-01,508.01238
2003-10-01,519.7726096086957
2003-11-01,535.5342150526317
2003-12-01,547.1145435454546
2004-01-01,584.0344909
2004-02-01,582.6094744736841
2004-03-01,579.2460911304348
2004-04-01,588.0681007619047
2004-05-01,553.5160005
2004-06-01,574.1666666190476
2004-07-01,557.6190416190477
2004-08-01,537.0286339090909
2004-09-01,566.6157081428571
2004-10-01,577.5957147619049
