date,44000,441,441X,442,443,444,445,4451,446,447,448,44W72,44X72,44Y72,44Z72,451,452,4522,453,454,722
1992-01-01,142419.0,32679.0,29462.0,4087.0,3743.0,10698.0,29841.0,27465.0,7313.0,12652.0,9459.0,113846.0,159177.0,126498.0,146525.0,3103.0,19813.0,14138.0,3615.0,5416.0,16758.0
1992-02-01,142584.0,32806.0,29548.0,4177.0,3782.0,10842.0,29766.0,27352.0,7364.0,12399.0,9444.0,113984.0,159189.0,126383.0,146790.0,3228.0,20069.0,14432.0,3611.0,5096.0,16605.0
1992-03-01,142120.0,32453.0,29120.0,4172.0,3773.0,10876.0,29755.0,27338.0,7356.0,12450.0,9325.0,113744.0,158647.0,126194.0,146197.0,3249.0,20057.0,14507.0,3616.0,5038.0,16527.0
1992-04-01,143659.0,32951.0,29627.0,4182.0,3835.0,10666.0,29950.0,27471.0,7423.0,12507.0,9610.0,114463.0,159921.0,126970.0,147414.0,3278.0,20192.0,14531.0,3693.0,5372.0,16262.0
1992-05-01,144239.0,33197.0,29797.0,4159.0,3850.0,10657.0,30073.0,27589.0,7395.0,12679.0,9477.0,114595.0,160471.0,127274.0,147792.0,3305.0,20228.0,14597.0,3646.0,5573.0,16232.0
1992-06-01,145273.0,33912.0,30504.0,4239.0,3843.0,10715.0,30074.0,27586.0,7323.0,12696.0,9622.0,114597.0,161205.0,127293.0,148509.0,3357.0,20128.0,14531.0,3684.0,5680.0,15932.0
1992-07-01,146743.0,34599.0,31228.0,4195.0,3993.0,10660.0,30427.0,27891.0,7194.0,12801.0,9709.0,115455.0,162855.0,128256.0,150054.0,3372.0,20154.0,14471.0,3764.0,5875.0,16112.0
1992-08-01,146070.0,33159.0,29816.0,4202.0,3922.0,10792.0,30353.0,27795.0,7471.0,12902.0,9886.0,116351.0,162412.0,129253.0,149510.0,3359.0,20523.0,14735.0,3757.0,5744.0,16342.0
1992-09-01,147932.0,35042.0,31624.0,4182.0,3952.0,10881.0,30192.0,27641.0,7322.0,13003.0,9833.0,116316.0,164361.0,129319.0,151358.0,3383.0,20583.0,14808.0,3827.0,5732.0,16429.0
1992-10-01,149346.0,35174.0,31700.0,4130.0,4031.0,10845.0,30724.0,28153.0,7452.0,13140.0,9904.0,117749.0,166063.0,130889.0,152923.0,3413.0,20792.0,14876.0,4038.0,5703.0,16717.0
