date,Fed Funds
2011-06-01,0.0909091
2011-07-01,0.068
2011-08-01,0.0978261
2011-09-01,0.0838095
2011-10-01,0.072
2011-11-01,0.082
2011-12-01,0.0714286
2012-01-01,0.0845
2012-02-01,0.105
2012-03-01,0.127273
2012-04-01,0.145238
2012-05-01,0.156364
2012-06-01,0.161905
2012-07-01,0.158571
2012-08-01,0.132174
2012-09-01,0.149474
2012-10-01,0.159091
2012-11-01,0.161
2012-12-01,0.163
2013-01-01,0.144286
2013-02-01,0.142105
2013-03-01,0.14619
2013-04-01,0.145
2013-05-01,0.108636
2013-06-01,0.0955
2013-07-01,0.0922727
2013-08-01,0.0827273
2013-09-01,0.081
2013-10-01,0.0854545
2013-11-01,0.0847368
2013-12-01,0.0861905
2014-01-01,0.0714286
2014-02-01,0.0673684
2014-03-01,0.0790476
2014-04-01,0.0904545
2014-05-01,0.0871429
2014-06-01,0.0957143
2014-07-01,0.0913636
2014-08-01,0.0890476
2014-09-01,0.0885714
2014-10-01,0.0886364
2014-11-01,0.095
2014-12-01,0.121364
2015-01-01,0.1165
2015-02-01,0.113684
2015-03-01,0.113636
2015-04-01,0.124545
2015-05-01,0.1245
2015-06-01,0.128636
2015-07-01,0.130435
2015-08-01,0.141905
2015-09-01,0.135238
2015-10-01,0.124286
2015-11-01,0.118947
2015-12-01,0.231818
2016-01-01,0.362632
2016-02-01,0.374
2016-03-01,0.361304
2016-04-01,0.366667
2016-05-01,0.36619
2016-06-01,0.376818
2016-07-01,0.3955
2016-08-01,0.395652
2016-09-01,0.394762
2016-10-01,0.4025
2016-11-01,0.405
2016-12-01,0.535714
2017-01-01,0.655
2017-02-01,0.655263
2017-03-01,0.786522
2017-04-01,0.906
2017-05-01,0.906364
2017-06-01,1.04182
2017-07-01,1.1555
2017-08-01,1.15609
2017-09-01,1.155
2017-10-01,1.15571
2017-11-01,1.15571
2017-12-01,1.2985
2018-01-01,1.41619
2018-02-01,1.41632
2018-03-01,1.50545
2018-04-01,1.69238
2018-05-01,1.7
2018-06-01,1.82095
2018-07-01,1.91
2018-08-01,1.91478
2018-09-01,1.94895
2018-10-01,2.18818
2018-11-01,2.199
2018-12-01,2.267
2019-01-01,2.4
2019-02-01,2.4
2019-03-01,2.40381
2019-04-01,2.42318
2019-05-01,2.39273
2019-06-01,2.3755
2019-07-01,2.40273
2019-08-01,2.125
2019-09-01,2.0525
2019-10-01,1.83
2019-11-01,1.55263
2019-12-01,1.55095
2020-01-01,1.5519
2020-02-01,1.58368
2020-03-01,0.625455
2020-04-01,0.0486364
2020-05-01,0.05
2020-06-01,0.0768182
2020-07-01,0.0934783
2020-08-01,0.0947619
2020-09-01,0.09
2020-10-01,0.09
2020-11-01,0.0868421
2020-12-01,0.09
2021-01-01,0.0852632
2021-02-01,0.0757895
2021-03-01,0.0695652
2021-04-01,0.0686364
2021-05-01,0.0595
2021-06-01,0.0772727
2021-07-01,0.0985714
2021-08-01,0.0931818
2021-09-01,0.0790476
2021-10-01,0.0795
2021-11-01,0.0795
2021-12-01,0.0795652
2022-01-01,0.08
2022-02-01,0.08
2022-03-01,0.193636
2022-04-01,0.33
2022-05-01,0.758571
2022-06-01,1.18714
2022-07-01,1.6545
2022-08-01,2.33
2022-09-01,2.58
2022-10-01,3.08
2022-11-21,3.83
