date,EPOP,AAH,EPOP_sa,AAH_trend,AAH_sa,POP,EMP_sa,TOT_HRS,GDP,LPROD,LPROD_BLS,HRS_BLS,LPROD_idx,LPROD_BLS_idx,TOT_HRS_idx,GDP_idx,POP_idx,EPOP_sa_idx,AAH_trend_idx
1996-01-01,47.24993333333333,37.03766666666667,47.843466666666664,37.66023333333333,37.01583333333333,268.4873333333333,0.12845399999999998,251.55499999999998,15032587.504174957,59758.65120619729,63.663,86.19,92.02439797081959,89.38921651221567,90.94168231236608,83.6885356524902,95.44372464934182,96.22173372940134,99.02457280688837
1996-04-01,48.183,37.600766666666665,48.08316666666667,37.66186666666667,37.3819,269.2513333333333,0.12946500000000002,253.54600000000002,15283322.66081249,60278.30319079176,64.284,86.993,92.8246278968874,90.26116259477675,91.6614648230851,85.0844136468651,95.71531662623991,96.70381312669149,99.02886752631174
1996-07-01,48.7013,37.1607,48.31456666666667,37.67416666666667,37.71713333333333,270.12833333333333,0.13051133333333334,255.67966666666666,15420419.221845917,60311.480466492256,64.522,87.716,92.87571872241685,90.59533838809324,92.43282391418043,85.84764954572105,96.0270786206635,97.16919974551892,99.06120939298964
1996-10-01,48.495666666666665,38.12786666666667,48.41096666666667,37.70183333333333,37.815333333333335,270.9916666666667,0.13118966666666668,257.19666666666666,15580540.156473592,60578.31292450755,64.587,88.705,93.2866231824791,90.6866048862679,92.98124685177999,86.73906538099071,96.33398229438343,97.36307731706155,99.13395668118106
1997-01-01,47.99203333333333,37.656933333333335,48.54026666666667,37.757133333333336,37.64313333333333,271.709,0.13188833333333333,258.94633333333337,15681103.693218341,60557.34982365074,64.446,89.471,93.25434138399451,90.48862679022747,93.61378299756338,87.29891677901956,96.58898488351288,97.62312264901655,99.27936361022881
1997-04-01,48.868433333333336,38.134166666666665,48.771833333333326,37.821466666666666,37.91116666666667,272.4873333333333,0.13289700000000002,261.37100000000004,15942228.227945764,60994.63302334904,65.399,89.905,93.92772879121927,91.82673406346532,94.49034385190292,88.7526339071059,96.86567217236848,98.08884446419866,99.4485229671077
1997-07-01,49.262566666666665,37.23526666666667,48.91586666666666,37.85106666666667,37.773066666666665,273.3906666666667,0.13373133333333334,263.21733333333333,16141277.94353888,61323.005362636504,65.925,90.449,94.43340062656459,92.56529064869419,95.1578267460721,89.86077175865049,97.18679532131867,98.37852115390672,99.52635380073906
1997-10-01,49.087133333333334,38.06093333333334,49.0068,37.82226666666667,37.7664,274.2456666666667,0.13439933333333332,264.33033333333333,16279101.903412035,61586.20426995528,66.245,90.874,94.83870965720207,93.01460263970796,95.56019637662472,90.62805718947926,97.49073660436564,98.56140428501611,99.45062650315182
1998-01-01,48.597366666666666,37.82736666666667,49.090833333333336,37.799566666666664,37.8167,274.95,0.13497533333333334,265.3043333333333,16442503.89864241,61976.00955874226,66.858,91.431,95.43898419992375,93.87531592249368,95.9123149931191,91.53773915206403,97.74111786404522,98.73041028704205,99.39093866790074
1998-04-01,49.297799999999995,37.8225,49.21176666666667,37.809866666666665,37.58623333333333,275.7033333333333,0.13567833333333335,266.759,16594710.164400062,62208.62338065467,67.194,91.913,95.79719420783238,94.34709351305813,96.43820330331127,92.38509290901732,98.00891798088192,98.97362876199249,99.4180216944684
