date,W790RC,W276RC,W987RC,A008RC,NFI
1989-01-01,4.203744593107955,9.443224616979116,13.64696921008707,12.637162547246517,3.1939379302674
1989-04-01,3.977451610816855,9.417772553689886,13.395224164506741,12.632564348308398,3.2147917946185123
1989-07-01,3.6777449733248,9.422802577183376,13.10052999237099,12.83740374848671,3.4146011713033317
1989-10-01,3.568897541549096,9.47794566328133,13.046843204830424,12.656046722973144,3.178101059691814
1990-01-01,3.538303754950235,9.41204055850962,12.950344313459855,12.615660153649912,3.2036195951402937
1990-04-01,3.5374833809505595,9.407388690120248,12.944872071070806,12.31745891126686,2.9100702211466123
1990-07-01,3.2816324739207023,9.451970668562335,12.733619767266333,12.375688182904536,2.9237175143422003
1990-10-01,2.4333804683738642,9.597978794394356,12.03135926276822,12.282294649903667,2.6843158555093125
1991-01-01,2.045706025572071,9.677262211653078,11.72296823722515,12.092435384672996,2.4151731730199173
1991-04-01,1.811220817442926,9.636645969829253,11.447883108841035,11.862304063646285,2.2256580938170307
1991-07-01,1.8995036527119111,9.595408396830326,11.494912049542236,11.604210613159625,2.0088022163292987
1991-10-01,2.2395738553828375,9.565299287737009,11.804873143119845,11.454951201524773,1.889651913787764
1992-01-01,1.629519690239132,9.45507395606734,11.084609361911847,11.224211084467923,1.769137128400582
1992-04-01,2.2434912235234084,9.353240104760443,11.596731328283852,11.38531885652434,2.0320787517638954
1992-07-01,2.2818515585060917,9.289254582365626,11.571106140871718,11.399069935451017,2.1098153530853905
1992-10-01,2.50838110328953,9.219445626521242,11.727826729810772,11.499919994647351,2.2804743681261073
1993-01-01,2.757279597067164,9.258560012030685,12.01583960909785,11.53863928734836,2.280079275317674
1993-04-01,2.6983352325523846,9.257771291533086,11.95610652408547,11.637216899725493,2.379445608192407
1993-07-01,2.4016077655389387,9.268249304209268,11.669857069748208,11.599878409171156,2.331629104961888
1993-10-01,2.844317823106594,9.203808297372957,12.04812612047955,11.828813679666963,2.6250053822940065
1994-01-01,3.248936288621197,9.182587906210141,12.431524194831338,11.815010065135283,2.6324221589251415
1994-04-01,3.763606966866388,9.145981933593683,12.90958890046007,11.806501262396454,2.660519328802772
1994-07-01,3.4336164887141383,9.190166517188816,12.623783005902956,11.89590885374928,2.7057423365604634
1994-10-01,4.010616357141401,9.204272189082435,13.214888546223836,12.165713785973125,2.96144159689069
1995-01-01,4.144815494326261,9.308403333081195,13.453218827407456,12.557613779529078,3.2492104464478833
1995-04-01,3.757764315168572,9.403261866480095,13.161026181648666,12.620754235887443,3.2174923694073487
1995-07-01,3.4212511185227363,9.425500691450418,12.846738794435858,12.566891726999105,3.1413910355486867
1995-10-01,3.5622507103813326,9.445260560642236,13.007511271023569,12.634906837955862,3.189646277313625
1996-01-01,3.520634512334549,9.43976641958765,12.9604009319222,12.756574723313358,3.316808303725706
1996-04-01,3.898322386602995,9.367907240776612,13.266229627379605,12.778394689798379,3.410487449021766
1996-07-01,4.340109363593611,9.387943637805408,13.728040703405856,13.023144331215455,3.6352006934100465
1996-10-01,4.201060780014361,9.387124655150851,13.588185435165212,13.118971458167545,3.731846803016694
1997-01-01,4.438889324024487,9.428309550017309,13.867198874041797,13.240998223650264,3.8126886736329553
1997-04-01,4.909268590445278,9.408175423253793,14.31744401369907,13.259657288417124,3.8514818651633296
1997-07-01,4.96589852984414,9.400873133388504,14.36678320681376,13.60254041898351,4.201667285595008
1997-10-01,4.866125091219882,9.436604791723207,14.302729882943089,13.474053512089506,4.037448720366301
1998-01-01,5.270727504037679,9.473128005702376,14.743855509740056,13.673723958098366,4.20059595239599
1998-04-01,4.668506713547467,9.510798522893579,14.179305236441046,13.903510028597394,4.392711505703815
1998-07-01,4.777067933824188,9.501883380913503,14.27895131473769,13.832239696606669,4.330356315693167
1998-10-01,4.988879373780327,9.475907605247304,14.464786979027632,13.9385114532605,4.462603848013194
1999-01-01,5.330056837874462,9.510861076691711,14.840928539659542,14.04961408598378,4.538753009292069
1999-04-01,4.931331557880836,9.578468247078325,14.509799804959158,14.212997613951403,4.634529366873079
1999-07-01,5.044439622217271,9.628605460766215,14.673045082983489,14.314519833841008,4.685914373074794
