date,A191RL,PR
1989-01-01,4.1,4.438624962730168
1989-04-01,3.1,4.450533946908077
1989-07-01,3.0,3.0406263488867573
1989-10-01,0.8,2.893176398309839
1990-01-01,4.4,4.622248147012913
1990-04-01,1.5,4.5819856853246534
1990-07-01,0.3,3.4487392491721396
1990-10-01,-3.6,2.9113252026275207
1991-01-01,-1.9,3.9435430176576785
1991-04-01,3.2,3.016517847382419
1991-07-01,2.0,3.263318180879062
1991-10-01,1.4,2.431062094669324
1992-01-01,4.9,1.5434135416040036
1992-04-01,4.4,2.5415400679860847
1992-07-01,4.0,2.0598776264132237
1992-10-01,4.2,2.937514530768607
1993-01-01,0.7,2.2451624187860846
1993-04-01,2.3,2.50865983894061
1993-07-01,1.9,2.4675855865452196
1993-10-01,5.5,2.3734936363967556
1994-01-01,3.9,2.040165283685728
1994-04-01,5.5,2.0864814415072868
1994-07-01,2.4,2.325910527143995
1994-10-01,4.7,2.2515418704045205
1995-01-01,1.4,2.2435686997114748
1995-04-01,1.2,1.9585527367391287
1995-07-01,3.4,2.0985029063439495
1995-10-01,2.7,2.039512493116127
1996-01-01,3.0,2.0264262047680752
1996-04-01,6.8,1.8214847578094622
1996-07-01,3.6,1.3993339240718359
1996-10-01,4.2,2.2655290124419283
1997-01-01,2.6,2.476281294980789
1997-04-01,6.8,0.8817401856702052
1997-07-01,5.1,1.8347791295031994
1997-10-01,3.5,1.3454701376615006
1998-01-01,4.1,0.5688662324821498
1998-04-01,3.8,0.9385417053863234
1998-07-01,5.1,1.8243993826462628
1998-10-01,6.6,1.2004795962123511
1999-01-01,3.8,1.3622789996235598
1999-04-01,3.4,1.557052187074873
1999-07-01,5.4,1.5078322848552084
1999-10-01,6.7,2.4139568488168175
2000-01-01,1.5,2.68568628838325
2000-04-01,7.5,2.687038983961404
2000-07-01,0.4,2.3781678415561784
2000-10-01,2.4,2.2366419077227495
2001-01-01,-1.3,2.628446949736528
2001-04-01,2.5,2.51093246620683
2001-07-01,-1.6,1.563020507976408
2001-10-01,1.1,1.2777676578488948
2002-01-01,3.4,1.2970334045239649
2002-04-01,2.5,1.4123864888286564
2002-07-01,1.6,1.9957963812024428
2002-10-01,0.5,2.3483075379811984
2003-01-01,2.1,2.0379803226084587
2003-04-01,3.6,1.4559109551701508
2003-07-01,6.8,2.4843603561205905
2003-10-01,4.7,2.6006403355105885
2004-01-01,2.3,2.9377993662859225
2004-04-01,3.2,3.3057450182636643
2004-07-01,3.8,2.70977709695999
2004-10-01,4.2,3.2108548459702826
2005-01-01,4.5,3.388800002629215
2005-04-01,2.0,2.95733282798112
2005-07-01,3.2,3.785169198679064
2005-10-01,2.3,3.3414566914084753
2006-01-01,5.5,3.013367350137745
2006-04-01,1.0,3.615249178635228
2006-07-01,0.6,2.8394167057664625
2006-10-01,3.4,1.5746893839682117
2007-01-01,1.2,3.9121749421903838
2007-04-01,2.6,2.7498947135317997
2007-07-01,2.4,2.1768411590683123
2007-10-01,2.5,1.7104512059522703
2008-01-01,-1.6,1.3686015712077824
2008-04-01,2.3,2.099826242620697
2008-07-01,-2.1,2.9989833578917806
2008-10-01,-8.5,0.9186056420339792
2009-01-01,-4.6,-0.16731843020294956
2009-04-01,-0.7,-0.6695388571729028
2009-07-01,1.5,0.3948242031113116
2009-10-01,4.3,1.4210581728981637
2010-01-01,2.0,1.1310781790488962
2010-04-01,3.9,2.069673948378307
2010-07-01,3.1,1.2801737095964687
2010-10-01,2.1,2.4088545262759626
2011-01-01,-1.0,2.1011726728887394
2011-04-01,2.7,2.7790515421369255
2011-07-01,-0.2,2.5379677803516465
2011-10-01,4.6,0.46773705262137977
2012-01-01,3.3,2.544199368343839
2012-04-01,1.8,1.6875455413660772
2012-07-01,0.7,2.103331693743005
2012-10-01,0.4,2.0947913502180175
2013-01-01,3.5,1.6807609540472033
2013-04-01,0.6,1.1066667228624376
2013-07-01,3.2,1.9634840121842494
2013-10-01,2.9,2.4564369882090236
2014-01-01,-1.4,1.6609665088321166
2014-04-01,5.2,2.4387797342022166
2014-07-01,4.7,1.8821714793148798
2014-10-01,1.8,0.68719905622381
2015-01-01,3.3,-0.153438027603511
2015-04-01,2.3,2.275504702224609
2015-07-01,1.3,1.2132837136376151
2015-10-01,0.6,-0.05002892849092999
2016-01-01,2.4,-0.3502473899713121
2016-04-01,1.2,2.906438756461017
2016-07-01,2.4,1.1680559897186549
2016-10-01,2.0,2.1664028799565545
2017-01-01,1.7,2.1535524393807917
2017-04-01,2.0,1.3055120464097865
2017-07-01,3.4,2.040877715579884
2017-10-01,4.1,2.8818643034197606
2018-01-01,2.8,2.5462677295122997
2018-04-01,2.8,3.5934741923432405
2018-07-01,2.9,1.4098482583824095
2018-10-01,0.7,1.8766482100126665
2019-01-01,2.2,1.5761041016358908
2019-04-01,2.7,2.3293345060220316
2019-07-01,3.6,1.3674416581032998
2019-10-01,1.8,1.4850052810086793
2020-01-01,-4.6,1.5309122888556859
2020-04-01,-29.9,-1.004034162450445
2020-07-01,35.3,4.7637289734864225
2020-10-01,3.9,2.664654705869888
2021-01-01,6.3,5.407519224957563
2021-04-01,7.0,6.803231771838064
2021-07-01,2.7,6.328991413831244
2021-10-01,7.0,7.271656846322568
2022-01-01,-1.6,8.185796199727278
2022-04-01,-0.6,9.069638206974416
2022-07-01,3.2,4.548030985380105
2022-10-01,2.6,3.9954981549437796
2023-01-01,2.0,4.131748358344935
2023-04-01,2.1,2.015298435708481
