date,Gross domestic product,Private industries,"Agriculture, forestry, fishing, and hunting",Farms,"Forestry, fishing, and related activities",Mining,Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Manufacturing,Durable goods,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Nondurable goods,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,Information,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Finance, insurance, real estate, rental, and leasing",Finance and insurance,"Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Professional and business services,"Professional, scientific, and technical services",Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,Administrative and support services,Waste management and remediation services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,"Other services, except government",Government,Federal,General government,National defense,Nondefense,Government enterprises,State and local,Private goods-producing industries [1],Private services-producing industries [2],Information-communications-technology-producing industries3,TTU,FIRE,Oth_Serv,Goods,GoodsTTU
1997-07-01,8577.6,7432.0,108.6,88.1,20.5,95.1,55.1,26.5,13.5,171.5,339.6,1382.9,823.8,26.8,39.8,48.1,110.0,102.2,195.3,46.9,112.0,62.5,27.9,52.3,559.1,135.2,27.4,25.2,55.4,37.4,47.5,173.4,57.6,527.5,579.9,118.5,90.9,79.8,290.7,257.3,54.7,20.0,6.6,77.1,15.1,7.0,55.9,21.0,394.1,97.2,40.3,226.3,30.3,1612.4,577.2,233.1,121.3,215.6,7.2,1035.2,929.2,769.8,159.4,106.0,840.6,499.7,104.0,75.5,320.2,125.5,215.4,193.5,21.9,590.6,77.1,513.5,250.9,165.2,57.9,39.5,301.8,80.1,37.2,43.0,221.6,70.7,150.9,230.3,1145.6,390.7,333.5,211.8,121.7,57.2,754.8,1926.1,5505.9,505.0,1536.2,2006.5,1963.1999999999998,1926.1,3462.3
1998-07-01,9062.8,7871.5,99.8,79.0,20.7,81.7,39.1,29.0,13.6,163.7,379.8,1430.6,850.7,27.5,40.8,49.0,111.7,113.8,191.7,40.6,123.9,66.8,29.7,55.3,579.9,140.0,28.1,23.4,55.9,39.7,50.1,181.0,61.8,563.7,626.9,123.7,98.2,86.2,318.8,280.0,55.2,22.2,6.5,85.6,16.2,9.8,59.8,24.8,434.6,108.2,48.9,241.8,35.6,1710.1,637.9,267.0,121.1,236.7,13.1,1072.2,959.2,812.3,146.9,113.0,914.0,543.1,113.7,89.0,340.4,139.1,231.8,209.1,22.7,615.8,79.9,535.8,258.6,173.1,61.1,43.0,322.1,82.8,40.6,42.2,239.2,75.7,163.6,248.7,1191.3,396.4,336.8,210.4,126.4,59.6,794.9,1991.8,5879.7,544.1,1634.3,2144.7,2100.7,1991.8,3626.1000000000004
1999-07-01,9630.7,8378.3,92.6,70.9,21.7,84.5,44.1,29.3,11.1,179.9,417.6,1488.9,874.9,29.4,43.2,46.2,116.0,111.1,186.6,44.6,134.7,73.8,31.6,57.7,614.1,161.8,28.5,22.4,59.4,42.2,45.2,188.7,66.0,584.0,652.6,135.3,99.7,89.1,328.6,290.0,57.7,22.6,6.6,92.3,17.7,10.4,58.1,24.6,485.0,139.1,60.3,256.2,29.4,1837.1,675.1,303.8,120.0,234.3,16.9,1162.0,1034.9,866.6,168.3,127.1,997.2,595.9,120.7,103.0,372.3,148.5,252.7,227.7,25.0,653.9,87.7,566.3,271.2,182.3,64.9,47.9,354.1,90.4,44.5,45.9,263.7,84.2,179.5,260.8,1252.3,406.0,345.0,212.0,133.0,61.0,846.4,2083.7,6294.6,579.3,1706.5,2322.1,2266.0000000000005,2083.7,3790.2
2000-07-01,10252.3,8929.3,98.3,76.0,22.3,110.6,68.2,28.5,13.8,180.1,461.3,1550.2,924.8,28.3,42.6,47.0,121.3,113.1,225.4,45.7,137.5,71.1,33.5,59.2,625.4,163.2,28.0,22.2,62.2,43.7,52.7,187.9,65.5,622.6,685.5,138.6,101.4,94.6,350.8,307.8,58.1,23.3,8.0,98.0,18.5,9.4,65.9,26.7,471.3,115.9,54.2,277.0,24.3,1974.7,743.1,320.3,133.0,274.5,15.2,1231.7,1095.8,921.8,174.0,135.9,1105.1,651.8,129.2,114.1,408.6,171.1,282.1,256.0,26.1,695.4,95.2,600.2,288.4,190.1,69.1,52.6,386.5,99.0,49.3,49.7,287.5,93.3,194.2,279.7,1323.0,423.5,360.3,217.6,142.7,63.2,899.5,2220.4,6708.9,632.9,1796,2446.0,2466.8999999999996,2220.4,4016.4
2001-07-01,10581.8,9188.9,99.8,78.1,21.7,123.9,76.1,28.1,19.7,181.3,486.5,1473.9,833.4,27.2,41.3,40.3,110.9,105.4,173.5,44.3,125.0,76.9,31.2,57.5,640.5,174.2,24.9,19.5,53.5,42.7,68.3,193.8,63.5,613.8,709.5,132.7,109.1,99.6,368.1,308.1,49.2,23.3,8.3,97.2,19.0,16.1,69.1,25.8,502.4,116.1,65.3,281.4,39.5,2128.1,803.1,343.2,182.6,262.0,15.2,1325.0,1176.6,985.8,190.8,148.4,1155.5,686.8,140.7,118.2,427.9,173.6,295.1,266.6,28.5,749.9,101.7,648.2,311.0,206.9,74.5,55.8,390.7,96.7,51.8,44.9,294.0,90.1,203.9,265.6,1392.9,430.4,370.3,223.0,147.3,60.2,962.5,2184.1,7004.8,610.3,1812.7,2630.5,2561.6000000000004,2184.1,3996.7999999999997
2002-07-01,10936.4,9462.0,95.6,74.0,21.6,112.4,69.9,27.3,15.2,177.6,493.6,1468.5,832.8,27.3,41.8,41.7,106.1,98.9,172.9,43.7,135.2,73.0,31.2,61.0,635.7,175.6,24.0,18.1,54.1,42.1,50.7,207.9,63.0,613.1,732.6,147.0,111.2,102.6,371.8,305.7,52.0,21.7,7.0,97.1,19.5,10.0,71.7,26.6,550.6,136.9,71.7,280.8,61.2,2217.0,816.4,385.6,162.6,251.2,17.0,1400.5,1254.1,1031.9,222.2,146.4,1189.9,714.7,149.2,110.2,455.3,175.0,300.2,269.8,30.4,807.0,106.5,700.5,334.1,225.9,80.8,59.7,413.5,103.8,56.9,46.8,309.7,92.7,217.1,284.9,1474.4,462.5,397.8,239.7,158.1,64.6,1011.9,2170.1,7291.9,620.9,1829,2767.6,2695.2999999999997,2170.1,3999.1000000000004
2003-07-01,11458.2,9905.9,114.0,91.1,22.8,139.0,92.9,29.2,16.9,184.0,525.2,1524.2,863.2,28.7,42.0,39.3,108.5,97.4,193.5,45.6,143.2,72.6,30.4,62.2,661.0,178.9,18.7,15.5,51.0,42.2,81.3,210.7,62.7,641.5,769.6,149.8,115.1,110.1,394.6,321.4,54.6,23.4,8.2,101.4,21.4,10.3,73.3,28.7,564.9,145.6,68.5,287.6,63.1,2295.9,846.3,401.4,144.1,280.7,20.2,1449.6,1307.1,1066.7,240.4,142.5,1247.4,741.3,165.3,115.8,460.3,185.6,320.5,288.3,32.2,862.8,116.8,746.0,350.5,244.9,85.6,65.1,432.1,111.0,62.0,49.1,321.1,94.2,226.9,283.8,1552.3,498.9,434.7,264.3,170.4,64.2,1053.5,2302.4,7603.5,653.1,1916.5,2860.8,2826.2,2302.4,4218.9
2004-07-01,12213.7,10582.5,142.9,119.4,23.6,166.5,113.0,33.6,19.9,199.2,584.6,1608.1,905.1,32.6,45.3,55.0,114.7,104.1,201.5,42.1,139.1,75.9,31.0,63.9,703.0,175.8,22.2,14.6,52.7,42.8,104.2,226.8,63.9,697.1,795.6,152.7,117.3,114.5,411.0,352.1,60.8,25.2,8.6,109.1,23.0,10.7,80.9,33.6,620.4,160.6,74.5,311.1,74.2,2389.1,872.4,374.3,154.9,322.2,21.0,1516.7,1377.9,1133.0,244.9,138.8,1341.0,792.4,180.8,122.9,488.7,203.1,345.5,313.6,31.9,927.3,129.1,798.3,375.2,265.2,90.2,67.7,461.2,117.9,65.1,52.8,343.3,102.4,240.9,297.3,1631.3,525.5,459.4,281.0,178.4,66.1,1105.8,2502.2,8080.3,706.2,2044,3009.5,3026.8,2502.2,4546.2
2005-01-01,12761.3,11077.8,130.5,106.9,23.6,197.0,133.5,39.8,23.7,192.3,628.5,1673.0,945.5,34.8,47.9,57.9,120.7,112.5,209.7,42.0,136.9,84.3,32.8,65.9,727.5,174.7,21.2,14.1,51.6,43.9,134.6,223.4,64.0,742.8,824.8,155.9,120.6,119.4,428.9,358.2,58.5,26.8,8.4,110.9,22.8,10.8,83.8,36.2,641.9,170.9,67.0,333.2,70.7,2543.0,937.8,397.1,177.7,339.6,23.4,1605.1,1464.8,1184.8,280.0,140.3,1415.0,835.7,192.7,131.3,511.6,209.4,369.9,336.5,33.4,953.2,131.1,822.1,389.0,270.8,91.3,70.9,471.7,118.9,64.6,54.3,352.8,107.1,245.8,306.0,1683.5,543.7,479.9,295.4,184.5,90.1,1139.8,2629.0,8448.8,,2118.1,3184.9,3145.799999999999,2629.0,4747.1
2005-04-01,12910.0,11209.9,130.7,107.1,23.5,210.3,143.7,42.1,24.5,189.7,643.7,1667.8,946.6,34.5,48.4,55.1,121.8,112.3,208.1,41.8,135.8,89.5,33.5,65.8,721.2,177.0,20.6,13.8,51.3,44.1,132.0,219.8,62.6,745.2,834.4,155.2,122.1,122.1,435.0,368.7,61.5,27.5,8.2,114.8,23.7,9.7,86.1,37.3,649.6,174.1,62.4,343.1,70.1,2587.6,960.5,405.9,186.8,344.1,23.6,1627.1,1487.5,1203.7,283.8,139.7,1433.3,843.6,193.8,133.6,516.3,211.4,378.3,344.7,33.5,962.7,132.4,830.3,393.8,272.4,92.3,71.8,477.6,121.1,65.9,55.2,356.4,108.2,248.2,308.6,1700.2,547.9,485.3,299.0,186.3,91.6,1152.2,2652.5,8557.4,,2138,3237.2,3182.2,2652.5,4790.5
2005-07-01,13142.9,11423.9,128.3,104.4,23.8,232.7,160.6,44.1,28.0,200.0,664.2,1703.1,960.4,34.5,49.1,54.5,122.7,115.4,213.6,43.4,136.3,90.3,34.1,66.5,742.6,180.0,20.4,13.9,50.9,44.9,148.7,221.8,62.1,759.7,846.2,160.7,123.1,120.1,442.3,382.5,63.3,28.3,8.8,119.5,23.0,9.6,91.3,38.6,638.8,172.8,61.5,332.7,71.9,2635.6,988.7,412.2,200.7,352.0,23.7,1647.0,1503.0,1222.0,281.1,144.0,1457.8,857.8,196.1,137.0,524.6,216.9,383.1,349.2,34.0,977.5,134.2,843.3,400.5,276.5,93.3,73.0,485.1,123.8,68.2,55.5,361.4,109.8,251.5,312.5,1719.0,553.1,490.7,303.0,187.7,92.6,1165.9,2728.2,8695.8,,2188.4,3274.3999999999996,3233.0,2728.2,4916.6
2005-10-01,13332.3,11593.9,124.0,99.4,24.6,262.8,186.3,45.5,31.0,210.6,670.8,1729.9,974.6,35.0,49.9,57.5,124.2,117.4,213.7,45.7,134.9,94.9,34.5,66.9,755.3,183.0,20.6,13.5,53.0,44.9,149.4,227.7,63.2,772.1,858.0,160.6,124.5,123.0,449.9,393.9,63.6,29.4,9.9,122.5,24.7,9.3,94.2,40.3,639.0,172.8,61.5,329.7,75.0,2658.5,1007.8,417.2,209.8,357.9,23.0,1650.6,1501.3,1241.1,260.2,149.3,1479.6,872.5,198.1,137.7,536.6,218.8,388.3,354.6,33.6,988.6,135.2,853.3,404.7,280.2,94.3,74.1,490.5,125.1,69.6,55.5,365.4,110.6,254.8,315.7,1738.4,560.4,497.4,307.4,190.0,93.5,1178.1,2787.5,8806.4,,2234.6,3297.5,3274.2999999999993,2787.5,5022.1
2006-01-01,13603.9,11845.0,119.6,92.7,26.9,268.2,181.2,49.3,37.8,220.7,698.8,1780.3,1004.8,34.4,51.6,60.4,126.3,120.2,228.1,49.6,136.1,94.0,35.2,68.9,775.5,187.6,20.6,13.2,56.2,45.9,144.0,244.1,64.0,793.7,867.2,161.2,125.9,123.8,456.3,401.5,65.8,30.8,12.0,122.8,25.4,11.1,93.3,40.3,633.8,160.5,64.1,328.4,80.8,2694.0,1031.5,423.5,222.5,363.5,22.1,1662.6,1498.4,1263.6,234.7,164.2,1523.5,901.8,200.6,145.4,555.7,226.2,395.5,363.1,32.4,1017.4,140.2,877.2,417.5,288.0,96.4,75.2,505.3,128.8,72.7,56.2,376.5,114.0,262.5,321.0,1758.9,568.1,501.8,309.8,191.9,94.0,1190.9,2866.8,8978.2,,2283.1,3327.8,3367.3,2866.8,5149.900000000001
2006-04-01,13749.8,11971.1,123.3,94.7,28.6,272.8,179.5,51.6,41.7,226.8,698.5,1797.6,1004.1,32.0,50.6,62.7,126.2,121.5,222.0,52.0,137.0,94.2,34.9,70.9,793.6,193.7,20.3,13.0,58.1,46.7,145.5,252.4,63.9,807.5,868.3,159.0,126.0,123.7,459.7,409.4,66.4,32.4,12.3,125.9,26.3,10.3,95.1,40.7,652.1,165.3,66.3,336.6,83.9,2712.5,1025.2,420.3,218.4,365.3,21.2,1687.4,1517.9,1285.4,232.6,169.4,1535.4,909.8,204.1,146.5,559.3,229.7,395.9,364.5,31.4,1032.1,142.4,889.8,422.3,293.5,97.3,76.6,509.7,130.5,73.9,56.6,379.3,115.1,264.1,324.9,1778.7,572.2,506.4,312.5,193.9,94.4,1206.5,2892.2,9078.8,,2312,3364.6,3402.1999999999994,2892.2,5204.2
2006-07-01,13867.5,12064.2,127.4,97.0,30.3,277.2,180.7,52.3,44.2,231.9,691.6,1793.6,994.2,30.5,49.8,64.0,126.2,121.4,220.9,52.1,128.6,95.6,34.2,70.9,799.4,195.8,20.0,12.7,58.7,47.0,141.8,259.5,64.1,818.0,873.0,160.8,126.1,123.7,462.3,412.5,70.3,32.8,12.8,126.2,24.7,10.5,94.4,40.8,664.7,164.9,68.4,349.0,82.5,2751.2,1029.7,417.4,216.0,375.6,20.7,1721.5,1551.3,1303.9,247.4,170.2,1546.8,918.8,205.2,149.8,563.8,229.8,398.2,367.2,31.0,1039.0,143.7,895.4,423.8,296.4,98.0,77.3,511.6,130.0,73.3,56.7,381.6,116.2,265.4,325.8,1803.3,578.4,513.2,317.2,195.9,94.6,1224.8,2889.8,9174.4,,2335.4,3415.8999999999996,3423.1000000000004,2889.8,5225.200000000001
2006-10-01,14037.2,12210.2,130.3,100.7,29.6,275.1,174.2,54.1,46.7,228.1,699.5,1803.8,1014.6,29.8,50.1,63.7,128.5,124.4,225.4,52.1,134.5,101.3,33.9,71.1,789.3,198.3,19.5,12.6,59.0,47.7,128.7,259.4,64.0,826.8,871.3,160.9,125.6,124.4,460.4,418.1,69.6,32.5,13.8,127.1,27.1,11.0,95.6,41.3,657.3,158.2,71.4,347.1,80.6,2818.0,1050.4,414.5,229.5,385.7,20.7,1767.5,1599.3,1315.9,283.4,168.2,1580.9,937.9,208.4,154.1,575.4,236.2,406.8,374.8,31.9,1053.2,145.4,907.8,428.9,301.2,99.2,78.5,519.5,132.6,74.2,58.4,386.9,118.6,268.3,328.5,1827.0,583.4,518.2,320.8,197.5,94.5,1243.6,2908.7,9301.5,,2344.3,3475.3,3481.9000000000005,2908.7,5253.0
2007-01-01,14208.6,12354.1,143.6,115.0,28.6,282.1,180.6,54.1,47.3,228.3,715.1,1798.4,1010.7,29.8,48.0,63.0,132.2,124.9,223.2,49.3,130.5,105.4,33.5,71.0,787.7,190.6,19.7,12.3,53.9,47.8,136.5,262.4,64.5,846.3,869.3,161.4,124.1,124.3,459.4,407.8,71.2,31.5,14.0,122.1,25.9,12.3,90.0,40.8,673.7,182.5,70.5,356.6,64.1,2855.5,1073.9,402.8,240.9,409.3,20.9,1781.6,1621.2,1324.5,296.8,160.4,1614.2,950.5,212.4,160.4,577.7,248.4,415.3,381.2,34.0,1062.4,147.7,914.7,431.7,303.4,100.5,79.1,527.0,135.4,74.8,60.5,391.6,121.6,270.0,330.5,1854.5,589.8,525.0,323.9,201.1,94.1,1264.7,2939.2,9414.9,,2351.7,3529.2,3534.0,2939.2,5290.9
2007-04-01,14382.4,12508.5,138.9,110.2,28.7,314.5,205.7,59.5,49.3,233.0,722.0,1853.3,1029.3,29.4,49.9,63.7,134.7,129.7,227.0,50.0,126.7,113.4,32.9,71.9,824.0,195.3,19.4,11.9,53.4,47.5,162.0,269.7,64.9,856.8,869.7,163.8,123.6,124.3,458.0,415.3,77.5,31.6,14.2,123.8,26.2,13.0,88.1,40.8,695.3,189.5,75.7,368.2,61.9,2836.8,1044.9,401.6,206.8,414.9,21.7,1791.9,1632.0,1332.4,299.6,159.9,1638.2,963.7,210.9,164.3,588.5,249.1,425.5,390.3,35.2,1075.2,149.3,925.9,437.0,307.1,101.8,80.0,529.5,136.3,74.7,61.6,393.3,123.1,270.2,329.8,1873.9,597.8,531.6,328.1,203.5,93.7,1276.1,3028.7,9479.8,,2374.8,3532.1000000000004,3572.8999999999987,3028.7,5403.5
2007-07-01,14535.0,12636.8,140.8,112.6,28.2,318.8,206.0,61.4,51.4,235.8,719.6,1861.1,1046.9,29.0,53.1,64.7,136.3,132.6,231.1,50.1,124.9,120.5,32.3,72.3,814.1,196.9,19.1,11.6,57.5,47.6,147.5,270.6,63.3,859.3,867.3,164.8,124.0,123.1,455.3,411.5,73.9,32.7,13.8,124.1,25.0,12.2,89.1,40.7,720.5,195.4,79.4,381.7,64.0,2855.0,1027.4,405.9,190.0,408.4,23.2,1827.5,1661.9,1343.0,318.9,165.6,1685.2,996.6,218.4,170.0,608.3,251.9,436.6,400.5,36.2,1095.6,152.6,943.0,445.5,313.3,102.8,81.4,535.3,138.3,76.0,62.3,397.0,125.4,271.7,331.1,1898.2,607.3,539.8,333.8,206.0,93.7,1291.0,3040.2,9596.5,,2373.9,3575.5,3647.1000000000004,3040.2,5414.099999999999
2007-10-01,14681.5,12759.8,152.9,124.9,28.0,340.4,231.1,56.8,52.5,230.6,704.6,1866.2,1035.5,28.1,50.1,66.7,135.9,131.0,231.9,51.7,117.7,117.6,31.3,73.5,830.7,193.4,19.0,11.6,58.1,47.9,172.0,268.2,60.4,868.9,870.6,161.1,124.6,126.6,458.4,421.0,70.1,33.6,14.9,124.6,28.0,14.5,92.4,42.7,738.2,199.3,80.3,388.1,70.6,2845.8,975.9,406.6,155.2,390.3,23.8,1869.9,1699.4,1363.9,335.5,170.5,1729.2,1028.9,228.1,173.6,627.2,255.2,445.1,408.6,36.5,1118.6,156.6,962.0,455.2,319.3,104.8,82.7,542.2,139.8,76.8,62.9,402.4,127.8,274.6,330.5,1921.7,612.8,546.7,338.7,208.0,94.4,1308.9,3064.2,9695.6,,2391.1,3584.0,3720.5,3064.2,5455.299999999999
2008-01-01,14651.0,12702.9,157.6,130.1,27.5,358.0,245.4,58.0,54.6,223.1,668.2,1801.9,1011.7,26.7,46.0,69.8,132.6,130.5,229.7,53.0,106.6,115.2,29.2,72.4,790.2,184.6,18.4,11.7,50.2,46.3,168.4,254.4,56.1,871.9,844.6,152.0,125.5,125.3,441.9,417.1,69.3,34.9,15.5,117.5,26.9,17.5,91.7,43.7,733.7,193.3,77.5,388.6,74.3,2867.9,994.2,427.6,177.3,361.4,28.0,1873.7,1707.0,1383.9,323.0,166.8,1744.4,1052.7,235.4,175.8,641.5,252.5,439.2,402.7,36.5,1146.4,160.1,986.3,464.5,329.5,108.2,84.0,539.0,140.4,77.8,62.5,398.7,126.3,272.4,329.0,1948.2,619.7,555.1,343.1,212.0,95.7,1328.5,2985.7,9717.2,,2356.7,3601.6000000000004,3758.9000000000005,2985.7,5342.4
2008-04-01,14805.6,12837.0,154.5,126.5,28.0,427.4,307.0,61.2,59.2,240.2,652.2,1818.2,1010.7,26.0,45.1,73.2,133.5,130.7,232.5,55.4,97.6,114.4,28.3,74.1,807.5,192.0,18.0,11.9,49.4,45.6,164.3,271.7,54.5,887.4,850.6,147.6,126.6,128.1,448.3,422.6,66.9,37.3,15.8,119.7,28.3,15.6,94.1,45.0,754.3,192.4,80.5,399.9,81.6,2816.2,929.8,429.9,130.3,344.4,25.2,1886.4,1710.2,1404.8,305.5,176.2,1773.6,1079.1,244.9,180.9,653.3,255.4,439.1,402.5,36.6,1169.6,164.5,1005.1,474.7,335.7,109.6,85.1,541.6,141.8,80.1,61.7,399.8,125.2,274.6,328.7,1968.6,627.6,564.2,349.4,214.8,96.4,1341.0,3052.3,9784.8,,2400.8,3570.5,3813.5,3052.3,5453.1
2008-07-01,14835.2,12841.3,141.4,113.3,28.2,430.8,305.6,63.6,61.7,251.7,640.1,1828.7,1004.2,25.4,44.5,72.6,133.2,132.6,234.7,57.4,85.2,114.5,27.5,76.6,824.6,201.3,17.8,11.5,51.3,44.7,168.9,273.4,55.6,895.3,855.2,142.7,128.4,129.6,454.4,427.8,67.9,39.2,16.1,121.6,27.1,15.8,94.7,45.3,756.9,189.7,80.7,399.4,87.1,2745.9,855.3,407.9,85.1,341.6,20.7,1890.5,1707.5,1421.3,286.2,183.0,1796.5,1098.6,244.7,183.7,670.1,258.9,439.1,402.6,36.6,1196.1,170.7,1025.4,486.4,341.9,110.9,86.2,544.9,143.5,82.4,61.2,401.3,123.4,277.9,330.0,1993.9,636.6,574.0,356.2,217.7,97.8,1357.3,3041.1,9800.2,,2430,3502.8,3867.4000000000005,3041.1,5471.1
2008-10-01,14559.5,12543.8,135.4,108.0,27.4,352.5,228.1,62.3,62.0,251.7,635.1,1754.5,972.3,24.4,43.3,59.6,133.1,132.7,231.6,56.2,71.8,114.0,26.4,79.0,782.2,218.5,17.2,11.3,54.5,44.1,116.6,262.0,58.0,882.7,844.3,135.3,131.7,130.3,446.9,439.8,70.8,37.5,18.3,122.9,30.1,16.2,96.9,46.9,726.9,180.8,80.3,377.7,88.1,2621.1,713.7,372.4,-23.9,349.3,15.9,1907.3,1719.6,1436.6,283.0,187.7,1793.9,1098.2,237.4,185.0,675.7,258.9,436.8,398.8,38.0,1227.1,175.9,1051.2,497.9,352.6,113.4,87.3,545.4,147.0,85.5,61.5,398.4,118.9,279.5,333.5,2015.8,645.0,583.0,361.7,221.3,99.2,1370.8,2877.5,9666.3,,2418.5,3348.0,3899.7999999999993,2877.5,5296.0
2009-01-01,14394.5,12374.7,124.6,97.5,27.1,289.4,173.7,63.9,51.9,263.6,596.8,1689.5,897.2,20.9,39.9,44.5,121.7,123.9,223.1,52.2,50.2,117.1,23.6,80.1,792.3,229.4,15.1,9.8,57.3,40.7,97.2,285.6,57.3,836.9,825.3,126.2,129.4,131.6,438.1,410.6,67.8,34.0,16.6,112.0,28.7,17.0,88.8,45.7,719.2,179.1,81.6,370.7,87.8,2800.3,888.0,404.2,118.3,349.0,16.6,1912.3,1733.5,1442.9,290.6,178.8,1709.7,1055.0,224.0,185.9,645.1,236.9,417.7,380.1,37.6,1247.9,185.2,1062.7,500.3,360.4,114.4,87.6,532.7,144.2,84.4,59.9,388.5,109.9,278.6,328.2,2019.8,650.0,589.1,364.5,224.6,99.6,1369.8,2700.3,9674.4,,2336.4,3519.5,3818.5,2700.3,5036.700000000001
2009-04-01,14352.9,12312.7,124.6,98.1,26.5,262.5,164.7,57.9,39.9,252.9,569.2,1674.1,867.1,20.9,38.5,38.6,115.8,117.2,219.4,50.7,44.3,117.9,22.9,81.0,807.1,244.5,14.9,9.8,59.4,39.6,97.8,281.3,59.7,820.6,822.9,124.9,130.1,133.5,434.4,398.1,70.3,32.3,15.5,107.5,29.6,13.5,84.4,45.0,714.2,174.5,81.2,373.9,84.6,2872.8,975.4,406.7,188.8,365.3,14.6,1897.4,1733.1,1444.8,288.2,164.3,1680.7,1027.9,213.9,187.2,626.8,243.3,409.5,371.8,37.7,1263.0,187.3,1075.7,505.5,366.1,116.2,87.8,530.4,143.3,84.3,59.0,387.1,107.0,280.1,326.6,2040.2,660.9,600.3,369.0,231.3,60.6,1379.3,2630.4,9682.3,,2294.5,3587.0,3800.7999999999993,2630.4,4924.9
2009-07-01,14420.3,12368.5,129.0,102.3,26.8,265.5,167.5,61.4,36.6,251.2,558.0,1699.0,865.9,21.3,38.8,39.4,115.1,114.8,222.5,49.9,45.0,115.0,22.5,81.6,833.0,239.4,15.0,9.8,60.2,39.2,116.7,290.9,61.8,825.9,820.3,117.9,130.9,131.6,439.8,399.0,72.5,32.8,15.1,109.2,27.8,13.5,83.4,44.8,715.3,174.2,82.1,374.5,84.5,2896.1,995.7,393.9,212.9,373.9,15.0,1900.4,1744.3,1450.7,293.6,156.1,1678.7,1022.1,208.5,189.9,623.8,248.9,407.6,369.0,38.6,1271.5,189.2,1082.4,510.2,367.4,117.1,87.7,534.0,145.4,85.3,60.1,388.6,105.9,282.7,325.1,2051.8,666.9,606.3,375.1,231.3,60.5,1384.9,2651.5,9717.0,,2296.4,3611.3999999999996,3809.2000000000007,2651.5,4947.9
2009-10-01,14628.0,12559.6,141.7,114.5,27.1,285.9,185.6,63.1,37.2,265.3,538.7,1745.9,893.7,21.7,38.2,42.0,116.9,118.5,229.8,50.0,51.8,119.7,22.3,82.7,852.2,238.0,15.5,10.1,60.3,39.1,131.2,295.2,62.9,853.2,842.0,132.2,132.0,135.7,442.2,410.8,76.1,32.5,15.3,109.4,31.6,14.5,86.0,45.2,739.0,186.1,84.2,380.3,88.4,2901.5,1007.3,390.8,223.7,375.3,17.5,1894.1,1741.1,1449.8,291.2,153.1,1685.9,1020.1,202.3,192.7,625.1,251.0,414.8,374.9,39.9,1287.5,191.6,1095.9,513.5,376.4,118.1,87.9,536.0,145.6,85.5,60.2,390.4,106.9,283.5,326.3,2068.4,675.5,616.2,382.2,234.0,59.3,1392.9,2712.2,9847.4,,2371.3,3640.5,3835.5999999999995,2712.2,5083.5
2010-01-01,14721.4,12634.5,135.8,108.1,27.7,307.3,201.5,64.4,41.3,275.0,519.4,1754.1,911.0,22.2,37.9,45.2,115.1,118.5,233.2,49.9,67.6,116.5,21.7,83.3,843.0,233.2,15.3,10.1,58.0,38.8,123.7,301.8,62.2,862.5,838.4,136.4,129.9,129.9,442.1,414.5,79.1,33.0,14.1,109.2,30.3,18.6,85.9,44.4,734.2,176.2,89.3,376.9,91.9,2923.4,1015.2,387.8,241.0,370.1,16.3,1908.2,1751.7,1448.0,303.7,156.5,1718.6,1035.3,201.7,195.7,637.9,257.7,425.7,379.4,46.2,1286.5,195.0,1091.5,521.2,362.8,118.6,88.9,542.1,148.2,85.8,62.3,393.9,106.9,287.0,322.8,2086.8,687.2,627.6,388.1,239.5,59.6,1399.6,2716.5,9918.0,,2390.4,3657.6000000000004,3870.0,2716.5,5106.9
