date,RXI_N.B.MX,RXI_N.B.BZ,RXI_N.B.CH,RXI_N.B.SD
1989-01-01,,,3.7314,6.2725
1989-02-01,,,3.7314,6.32379
1989-03-01,,,3.7314,6.39326
1989-04-01,,,3.7314,6.36892
1989-05-01,,,3.7314,6.57564
1989-06-01,,,3.73142,6.68716
1989-07-01,,,3.7314,6.46528
1989-08-01,,,3.7314,6.54807
1989-09-01,,,3.7314,6.6103
1989-10-01,,,3.7314,6.458
1989-11-01,,,3.7314,6.43064
1989-12-01,,,4.18253,6.29195
1990-01-01,,,4.7339,6.17764
1990-02-01,,,4.7339,6.12497
1990-03-01,,,4.7339,6.1683
1990-04-01,,,4.73385,6.11602
1990-05-01,,,4.7339,6.05598
1990-06-01,,,4.73388,6.08964
1990-07-01,,,4.7339,5.94705
1990-08-01,,,4.7339,5.77543
1990-09-01,,,4.73422,5.76632
1990-10-01,,,4.7339,5.64111
1990-11-01,,,4.97136,5.56327
1990-12-01,,,5.2352,5.6338
1991-01-01,,,5.2352,5.63452
1991-02-01,,,5.2352,5.55158
1991-03-01,,,5.2352,5.9081
1991-04-01,,,5.27672,6.1145
1991-05-01,,,5.32572,6.15782
1991-06-01,,,5.36672,6.42352
1991-07-01,,,5.36931,6.46091
1991-08-01,,,5.37249,6.33107
1991-09-01,,,5.38693,6.16515
1991-10-01,,,5.39169,6.15516
1991-11-01,,,5.39942,5.92458
1991-12-01,,,5.42315,5.71576
1992-01-01,,,5.46182,5.74607
1992-02-01,,,5.47763,5.87637
1992-03-01,,,5.48713,6.02632
1992-04-01,,,5.50975,5.96673
1992-05-01,,,5.51817,5.84615
1992-06-01,,,5.4893,5.67918
1992-07-01,,,5.45637,5.40839
1992-08-01,,,5.4417,5.27452
1992-09-01,,,5.50476,5.3685
1992-10-01,,,5.5486,5.60059
1992-11-01,,,5.61341,6.25282
1992-12-01,,,5.81063,6.8903
1993-01-01,,,5.77961,7.25363
1993-02-01,,,5.78743,7.55655
1993-03-01,,,5.74546,7.73615
1993-04-01,,,5.72018,7.44995
1993-05-01,,,5.73919,7.32713
1993-06-01,,,5.75037,7.45407
1993-07-01,,,5.7756,7.98024
1993-08-01,,,5.79062,8.04657
1993-09-01,,,5.80154,8.01698
1993-10-01,,,5.8013,8.0195
1993-11-01,3.14979,,5.80858,8.26605
1993-12-01,3.10831,,5.82101,8.35011
1994-01-01,3.10779,,8.7219,8.11845
1994-02-01,3.12176,,8.72487,7.98687
1994-03-01,3.30263,,8.72413,7.91557
1994-04-01,3.34952,,8.72508,7.88505
1994-05-01,3.31668,,8.68591,7.71814
1994-06-01,3.36711,,8.68359,7.79678
1994-07-01,3.40308,,8.66051,7.74705
1994-08-01,3.38143,,8.60723,7.74198
1994-09-01,3.40224,,8.55814,7.5227
1994-10-01,3.4212,,8.54917,7.2631
1994-11-01,3.44254,,8.53702,7.36369
1994-12-01,3.97482,,8.50334,7.51607
1995-01-01,5.6405,0.846091,8.46081,7.47745
1995-02-01,5.67789,0.84115,8.45527,7.39139
1995-03-01,6.77696,0.890522,8.44829,7.27874
1995-04-01,6.2285,0.9074,8.44211,7.34548
1995-05-01,5.97409,0.8975,8.337,7.30715
1995-06-01,6.23295,0.913727,8.3206,7.26309
1995-07-01,6.122,0.928825,8.32075,7.17485
1995-08-01,6.20472,0.941261,8.32527,7.23826
1995-09-01,6.31672,0.951915,8.33744,7.12273
1995-10-01,6.74524,0.959276,8.33535,6.83007
1995-11-01,7.69357,0.963,8.33344,6.60879
1995-12-01,7.687,0.967576,8.33501,6.63929
1996-01-01,7.4806,0.974524,8.3384,6.74052
1996-02-01,7.51825,0.98096,8.33375,6.87745
1996-03-01,7.56819,0.986175,8.34954,6.73178
1996-04-01,7.46936,0.989782,8.35145,6.71408
1996-05-01,7.43682,0.995032,8.34786,6.79843
1996-06-01,7.56482,1.00133,8.34236,6.68072
1996-07-01,7.61786,1.0069,8.34093,6.63943
1996-08-01,7.5143,1.01469,8.33792,6.62105
1996-09-01,7.54407,1.01942,8.33411,6.64272
1996-10-01,7.7345,1.02535,8.3299,6.60064
1996-11-01,7.91187,1.03037,8.32939,6.62692
1996-12-01,7.87686,1.03717,8.32901,6.8283
1997-01-01,7.82886,1.04255,8.32597,7.06918
1997-02-01,7.80234,1.04879,8.32274,7.40694
1997-03-01,7.95621,1.057,8.32575,7.65016
1997-04-01,7.90587,1.061,8.32566,7.69418
1997-05-01,7.90374,1.068,8.32285,7.68564
1997-06-01,7.94976,1.07461,8.32237,7.75061
1997-07-01,7.86791,1.08048,8.31618,7.81884
1997-08-01,7.78179,1.08786,8.31868,7.98857
1997-09-01,7.78093,1.09355,8.31707,7.6887
1997-10-01,7.87084,1.0999,8.31349,7.57646
1997-11-01,8.27156,1.10724,8.31089,7.55945
1997-12-01,8.12707,1.11363,8.3099,7.79773
1998-01-01,8.22715,1.11987,8.30945,8.01928
1998-02-01,8.50205,1.1273,8.30717,8.07231
1998-03-01,8.56807,1.13343,8.3076,7.96767
