date,FinDeriv,StatDisc,FAB,TOT
1989-01-01,0.0,0.009779990140173205,2.107669526330945,2.1174495164711185
1989-04-01,0.0,0.8053683382857045,1.2075090740019132,2.012877412287618
1989-07-01,0.0,0.34840611620150774,1.532000143976725,1.8804062601782325
1989-10-01,0.0,0.9100024933720325,0.8245701369197059,1.7345726302917384
1990-01-01,0.0,0.7763548663553619,0.8415889043218785,1.6179437706772402
1990-04-01,0.0,0.6485540000818788,0.8509859349654062,1.4995399350472849
1990-07-01,0.0,0.683012596930799,0.7942988963138865,1.4773114932446856
1990-10-01,0.0,0.4673480069804936,0.9680030735754612,1.4353510805559548
1991-01-01,0.0,0.21021749482782445,0.6759369814775968,0.8861544763054212
1991-04-01,0.0,-0.29966400418354455,0.8142667486227044,0.5146027444391599
1991-07-01,0.0,-0.47567353648611005,0.7679581665105527,0.2922846300244427
1991-10-01,0.0,-0.6640551421173781,0.6997002174142076,0.035645075296829455
1992-01-01,0.0,-0.757932216079516,1.0309437126734728,0.27301149659395685
1992-04-01,0.0,-0.8435790338790031,1.3342939619330827,0.49071492805407957
1992-07-01,0.0,-0.8260692186461847,1.386157702240765,0.5600884835945805
1992-10-01,0.0,-0.6551907008783225,1.4061483327677826,0.75095763188946
1993-01-01,0.0,-0.28049803111958926,1.161995340190051,0.8814973090704618
1993-04-01,0.0,0.15575113831978815,0.8437878500600462,0.9995389883798342
1993-07-01,0.0,0.11871379919321114,0.9893058773647222,1.1080196765579333
1993-10-01,0.0,0.09015164239097612,1.129312215540415,1.2194638579313912
1994-01-01,0.0,-0.43277833148670003,1.7695497194073009,1.336771387920601
1994-04-01,0.0,-0.27444721082621043,1.7077849920193802,1.4333377811931698
1994-07-01,0.0,-0.36450315949570833,1.9241380015891256,1.5596348420934174
1994-10-01,0.0,-0.020267493355052145,1.666414496663308,1.646147003308256
1995-01-01,0.0,0.3006930470233196,1.416576789325696,1.7172698363490155
1995-04-01,0.0,0.4270546472977103,1.309220937562698,1.7362755848604083
1995-07-01,0.0,0.1179598145285935,1.5377597006426422,1.6557195151712358
1995-10-01,0.0,0.3982329690530282,1.0657714176465851,1.4640043866996133
1996-01-01,0.0,0.700517559453759,0.6948239479400564,1.3953415073938154
1996-04-01,0.0,0.29724232027527003,1.0440143212114272,1.341256641486697
1996-07-01,0.0,0.6027738369541904,0.8284789054982853,1.4312527424524757
1996-10-01,0.0,-0.1174245629812255,1.6281323053629453,1.51070774238172
1997-01-01,0.0,-0.1992190279283314,1.7947888559315193,1.595569828003188
1997-04-01,0.0,-0.3779746619985737,1.9330482783717235,1.5550736163731502
1997-07-01,0.0,-0.3574008149537397,1.8493394127988072,1.4919385978450672
1997-10-01,0.0,-0.8897767224772063,2.497984521168203,1.6082077986909966
1998-01-01,0.0,-0.6146182024884734,2.293818967617363,1.6792007651288898
1998-04-01,0.0,-0.009766214005620479,1.9200532816095615,1.910287067603941
1998-07-01,0.0,0.6111655209894161,1.5532561489040189,2.164421669893435
1998-10-01,0.0,1.5936318423376998,0.7205085522462847,2.3141403945839847
1999-01-01,0.0,1.5454729558435993,0.9215249729006993,2.466997928744299
1999-04-01,0.0,1.1909248273972546,1.424532946470842,2.6154577738680964
1999-07-01,0.0,1.1867186778967207,1.5667478025888477,2.7534664804855686
1999-10-01,0.0,0.5498289978686223,2.4100800703503142,2.9599090682189364
2000-01-01,0.0,0.7695523145506594,2.5016748850425494,3.2712271995932087
2000-04-01,0.0,0.30119870566330853,3.1691049326094,3.4703036382727084
2000-07-01,0.0,-0.6588477699280831,4.384762213048541,3.725914443120458
2000-10-01,0.0,-0.69240870607788,4.584186810255215,3.8917781041773356
2001-01-01,0.0,-1.3365798710649268,5.32968183796518,3.9931019669002525
2001-04-01,0.0,-1.1558543258798,5.087517690348146,3.9316633644683465
2001-07-01,0.0,-0.32439078242917074,4.117712553854399,3.7933217714252288
2001-10-01,0.0,-0.1887441120063712,3.771270765393442,3.5825266533870708
2002-01-01,0.0,0.03393146937450735,3.4847962164417856,3.5187276858162932
2002-04-01,0.0,0.4772003754778433,3.1883010362380206,3.6655014117158635
2002-07-01,0.0,-0.251319186747317,4.108925313454794,3.8576061267074775
