date,SA0,SAF1,SA0E,SAH1,SACL1E,SASLE
2009-12-01,100.0,13.738,8.553,32.289,21.276,56.432
2011-12-01,100.0,14.308,9.679,31.539,19.852,56.161
2013-12-01,100.0,13.891,9.046,32.029,19.71,57.353
2015-12-01,100.0,14.015,6.816,33.15,19.613,59.556
2017-12-01,100.0,13.384,7.513,32.843,19.849,59.254
2019-12-01,100.0,13.771,6.706,33.158,20.137,59.387
2021-12-01,100.0,13.370,7.348,32.946,21.699,57.583
2022-12-01,100.0,13.531,6.921,34.413,21.361,58.187
2023-12-01,100.0,13.555,6.655,36.191,18.891,60.899
2024-12-01,100.0,13.691,6.216,35.483,19.388,60.705
2025-12-01,100.0,13.698,6.383,35.625,19.176,60.744
