date,DPCERC,DGDSRC,DDURRC,DMOTRC,DFDHRC,DREQRC,DODGRC,DNDGRC,DFXARC,DCLORC,DGOERC,DONGRC,DSERRC,DHCERC,DHUTRC,DHLCRC,DTRSRC,DRCARC,DFSARC,DIFSRC,DOTSRC,DNPIRC,DNPERC,DNPSRC,DPCCRC,LA001176,DNRGRC,LA001260,DHSGRC,DPCMRC,DPCXRC
1988-01-01,3213729.0,1302472.0,470251.0,208962.0,111488.0,94540.0,55261.0,832221.0,329083.0,172389.0,99689.0,231060.0,1911257.0,1851531.0,599703.0,388647.0,108345.0,92816.0,212376.0,194684.0,254960.0,59726.0,261481.0,201755.0,2689803.0,2207240.0,194843.0,1333540.0,482563.0,2907628.0,2384428.0
1988-02-01,3221419.0,1301340.0,468671.0,206010.0,111490.0,95750.0,55420.0,832669.0,331341.0,170756.0,97310.0,233261.0,1920080.0,1859331.0,598325.0,392157.0,109357.0,93789.0,213583.0,195824.0,256297.0,60749.0,263895.0,203146.0,2701498.0,2216538.0,188580.0,1343850.0,484960.0,2912626.0,2393434.0
1988-03-01,3260540.0,1322667.0,472395.0,202722.0,113882.0,98522.0,57269.0,850272.0,338530.0,175097.0,98259.0,238387.0,1937873.0,1877322.0,601504.0,397235.0,110435.0,94828.0,218725.0,196426.0,258167.0,60551.0,266605.0,206054.0,2731484.0,2244443.0,190526.0,1358566.0,487040.0,2952823.0,2424497.0
1988-04-01,3262972.0,1316911.0,467753.0,198495.0,114043.0,98270.0,56945.0,849158.0,337834.0,173345.0,99681.0,238297.0,1946061.0,1884640.0,601519.0,400412.0,111191.0,96263.0,219684.0,197191.0,258380.0,61421.0,268711.0,207289.0,2735430.0,2246268.0,189708.0,1366872.0,489163.0,2953318.0,2426511.0
1988-05-01,3293642.0,1329043.0,474662.0,203820.0,114333.0,99577.0,56931.0,854381.0,340981.0,175931.0,98559.0,238910.0,1964598.0,1901783.0,606528.0,404999.0,112726.0,97724.0,222266.0,198009.0,259532.0,62815.0,272655.0,209839.0,2762176.0,2270116.0,190485.0,1380613.0,492060.0,2980654.0,2449925.0
1988-06-01,3318535.0,1334334.0,477253.0,204640.0,115246.0,99963.0,57404.0,857081.0,340837.0,175801.0,100613.0,239829.0,1984201.0,1921296.0,613124.0,407846.0,113935.0,98871.0,225369.0,202207.0,259943.0,62906.0,273505.0,210599.0,2781518.0,2286744.0,196180.0,1393861.0,494774.0,3004138.0,2467858.0
1988-07-01,3342733.0,1337030.0,472352.0,198742.0,115432.0,100227.0,57951.0,864678.0,344793.0,178085.0,100041.0,241759.0,2005703.0,1941708.0,618052.0,413538.0,114706.0,99751.0,227542.0,205514.0,262605.0,63995.0,278212.0,214217.0,2800627.0,2302853.0,197313.0,1410656.0,497774.0,3021368.0,2479999.0
1988-08-01,3367972.0,1341772.0,470143.0,198053.0,114408.0,100134.0,57548.0,871629.0,348840.0,178373.0,101207.0,243209.0,2026200.0,1962031.0,623298.0,417727.0,116236.0,100892.0,231077.0,207375.0,265425.0,64169.0,280614.0,216446.0,2819478.0,2317918.0,199653.0,1426194.0,501560.0,3045147.0,2497390.0
1988-09-01,3374992.0,1344697.0,468671.0,193702.0,115883.0,100229.0,58857.0,876026.0,347627.0,181428.0,101370.0,245602.0,2030295.0,1964955.0,619078.0,418939.0,116767.0,102181.0,232363.0,208600.0,267027.0,65339.0,282037.0,216698.0,2835668.0,2330306.0,191697.0,1434606.0,505362.0,3049241.0,2510651.0
1988-10-01,3413661.0,1361730.0,477859.0,198149.0,117339.0,103044.0,59327.0,883871.0,349824.0,185630.0,101003.0,247415.0,2051931.0,1985677.0,631079.0,422243.0,117845.0,103572.0,233527.0,208951.0,268460.0,66254.0,284118.0,217864.0,2863318.0,2355286.0,200519.0,1444383.0,508032.0,3086745.0,2537136.0
1988-11-01,3430226.0,1369811.0,481776.0,201817.0,118390.0,101862.0,59706.0,888035.0,352322.0,185368.0,101020.0,249325.0,2060415.0,1994614.0,629314.0,426350.0,119383.0,104683.0,236263.0,208840.0,269781.0,65801.0,286017.0,220215.0,2882560.0,2371201.0,195344.0,1454733.0,511358.0,3102992.0,2556055.0
1988-12-01,3459729.0,1385908.0,498851.0,211450.0,119921.0,106400.0,61080.0,887056.0,351664.0,186366.0,99451.0,249575.0,2073822.0,2008025.0,631729.0,430527.0,118870.0,105435.0,237389.0,211539.0,272536.0,65797.0,288382.0,222586.0,2913993.0,2400678.0,194072.0,1465885.0,513316.0,3130224.0,2585208.0
