date,Welfare,WandS,TaxSI
1989-01-01,3.8086128234200283,3.518470985995795,6.976902030380103
1989-04-01,3.80478521944394,3.5186244891509553,7.004260513338525
1989-07-01,3.8380225198947744,3.548614395413675,7.013348420707422
1989-10-01,3.877779219294776,3.568027932428825,7.041700968828103
1990-01-01,3.959423335239813,3.584183170931067,7.005799998980514
1990-04-01,3.9911335608469956,3.648055854982251,7.042917493740979
1990-07-01,4.000591330013855,3.6249814392049187,7.025738720490125
1990-10-01,4.061724438871851,3.6076428217084846,6.92916311549707
1991-01-01,4.201195219784313,3.64208106489424,6.761013829966538
1991-04-01,4.305440423618879,3.6535636578566453,6.78190437233023
1991-07-01,4.329308783070866,3.6529983196402718,6.779401990054213
1991-10-01,4.470685472742465,3.654471722807721,6.796192270161541
1992-01-01,4.612688814066396,3.662856619716833,6.747149456735654
1992-04-01,4.6866916991091045,3.6626953511254454,6.833620743459205
1992-07-01,4.717486626713286,3.6602493877141415,6.8426709938600325
1992-10-01,4.698368427385166,3.645106581033103,6.885376956086658
1993-01-01,4.7845437268182796,3.6380539389349247,6.808865475205206
1993-04-01,4.770229376334037,3.6262377718883174,6.909390567561154
1993-07-01,4.82292823120634,3.62983501567225,6.980296719082776
1993-10-01,4.810415254775802,3.6161066440511513,7.040958553463849
1994-01-01,4.865311498317768,3.63139123114306,7.078732929176645
1994-04-01,4.85249157928392,3.6370265055254927,7.206081900045323
1994-07-01,4.823502521492383,3.6310902604063684,7.152025142246795
1994-10-01,4.905002026231386,3.63105452227766,7.19995823332105
1995-01-01,5.009002376979315,3.6338650050686114,7.298796170530615
1995-04-01,5.010350165768724,3.6319511005595904,7.390396728189616
1995-07-01,5.003433003309706,3.6252226425023624,7.398598488614895
1995-10-01,4.931223500918487,3.6235313603384167,7.473272854441458
1996-01-01,5.0537847328989605,3.6211287374593573,7.609353755784959
1996-04-01,5.115866075078967,3.6183166168927063,7.796528810316772
1996-07-01,5.053603780323341,3.619393827537736,7.80138260188264
1996-10-01,5.01512545090313,3.612760108392677,7.875153315936005
1997-01-01,5.088409581408325,3.621702484351822,8.07398157597815
1997-04-01,5.065349398118576,3.633247104172221,8.148595857536598
1997-07-01,5.067469534548651,3.644769433454299,8.281394297177556
1997-10-01,5.0652141312901575,3.6709095344375653,8.436066432135654
1998-01-01,5.10095599128763,3.696683317547974,8.608727715776595
1998-04-01,5.099963917956444,3.7205136254825293,8.759900931259029
1998-07-01,5.0758446582128744,3.7408994164260085,8.868059574592237
1998-10-01,5.0950000849728765,3.755937829404157,9.000143189798711
1999-01-01,5.157598869425707,3.76619526582908,9.063579084020699
1999-04-01,5.124062795172711,3.782097130856845,9.108171619892275
1999-07-01,5.138237359157426,3.8096806259318163,9.200389105522726
1999-10-01,5.134661020803358,3.8415502274183106,9.357074775708835
2000-01-01,5.142917970520818,3.870091226399364,9.633195829700036
2000-04-01,5.234639650854093,3.9102408282073915,9.686183465827517
2000-07-01,5.250354308457499,3.9018208858042964,9.753422210018504
2000-10-01,5.261620898098679,3.9083060807525407,9.756700472611456
2001-01-01,5.420434900053771,3.9232061975792067,9.953682966112506
2001-04-01,5.534653100251403,3.954993697797217,9.921724531808396
2001-07-01,5.546625743892258,4.014650906133204,8.940694812349074
2001-10-01,5.751301491874025,4.071541243213134,9.495491247857393
2002-01-01,5.871020034743042,4.111979795170352,8.743153864071417
2002-04-01,5.937944073862635,4.133806408355167,8.5826505323039
2002-07-01,5.954722991084422,4.1581958311789755,8.500277350704511
2002-10-01,5.989338646521297,4.169295013807675,8.426465142953766
2003-01-01,6.020907629505604,4.191044045358784,8.299860146602338
2003-04-01,6.089231868309419,4.230642501492609,8.326003275005384
2003-07-01,6.142367599065502,4.220925361662177,7.9770964177215
2003-10-01,6.125759645550336,4.224418814250956,8.300684521739939
2004-01-01,6.237015880082584,4.234065250343043,8.234527898377289
2004-04-01,6.274978987488746,4.248510870693121,8.290389691007373
2004-07-01,6.2691321011832,4.253926080255297,8.464833801297704
2004-10-01,6.280169631358478,4.257022836724348,8.517097999492453
2005-01-01,6.390656477315014,4.267219327961961,8.860561357830814
2005-04-01,6.432359707274922,4.268630733718903,8.928291452327842
2005-07-01,6.412337945478553,4.252914896731875,8.992809869016268
2005-10-01,6.39457941612164,4.252997915742614,9.070895611116914
2006-01-01,6.57684977136068,4.259157815318342,9.376628639444878
2006-04-01,6.578047035770584,4.262165163073738,9.42909957837148
2006-07-01,6.6182237397618495,4.287178910163821,9.386429224799356
2006-10-01,6.634232391749712,4.340265912349832,9.594105194051668
2007-01-01,6.827468329977341,4.354539491779604,9.842920031551047
2007-04-01,6.758236643827757,4.345654534885799,9.866354332827848
2007-07-01,6.782032737280066,4.362349658228636,9.810624588115958
2007-10-01,6.811088877207552,4.367590701643746,9.774682238058501
2008-01-01,6.894142273942329,4.385492877007663,9.821706972128485
2008-04-01,8.13669113219707,4.374419293784944,9.775725580421547
2008-07-01,7.2438566568683,4.376719858226589,9.463259660033449
2008-10-01,7.2814369140653055,4.480237601439613,9.383152787305617
2009-01-01,7.73995129419695,4.495652646385758,8.359550568926641
2009-04-01,8.219897801143789,4.517256567400486,8.056115105724858
2009-07-01,8.132922816434219,4.48718403168153,7.989126553788901
2009-10-01,8.1090064257623,4.457754529605256,7.942641707616133
2010-01-01,8.477995680077003,4.443823216330684,8.115265806315378
2010-04-01,8.47730990159293,4.4712853219789634,8.212319934316232
2010-07-01,8.532989425550042,4.434876402639973,8.352996103973384
2010-10-01,8.50434039045689,4.398912897618194,8.415246277115497
