index,date,Total,Gov,Goods,Serv,FILL,Date
0,2022-09-01,227.0,11.0,52.0,164.0,0,
1,2022-10-01,400.0,29.0,57.0,314.0,0,
2,2022-11-01,297.0,65.0,38.0,194.0,0,
3,2022-12-01,126.0,-1.0,23.0,104.0,0,
4,2023-01-01,444.0,119.0,46.0,279.0,0,Jan \\ 2023
5,2023-02-01,306.0,56.0,28.0,222.0,0,
6,2023-03-01,85.0,37.0,-25.0,73.0,0,
7,2023-04-01,216.0,49.0,26.0,141.0,0,
8,2023-05-01,227.0,61.0,-1.0,167.0,0,
9,2023-06-01,257.0,87.0,43.0,127.0,0,
10,2023-07-01,148.0,38.0,-5.0,115.0,0,Jul
11,2023-08-01,157.0,49.0,16.0,92.0,0,
12,2023-09-01,158.0,69.0,23.0,66.0,0,
13,2023-10-01,186.0,69.0,-8.0,125.0,0,
14,2023-11-01,141.0,44.0,29.0,68.0,0,
15,2023-12-01,269.0,56.0,22.0,191.0,0,
16,2024-01-01,119.0,46.0,10.0,63.0,0,Jan \\ 2024
17,2024-02-01,222.0,71.0,11.0,140.0,0,
18,2024-03-01,246.0,77.0,23.0,146.0,0,
19,2024-04-01,118.0,-11.0,5.0,124.0,0,
20,2024-05-01,193.0,33.0,11.0,149.0,0,
21,2024-06-01,87.0,21.0,4.0,62.0,0,
22,2024-07-01,88.0,48.0,12.0,28.0,0,Jul
23,2024-08-01,71.0,38.0,-18.0,51.0,0,
24,2024-09-01,240.0,32.0,32.0,176.0,0,
25,2024-10-01,44.0,45.0,-50.0,49.0,0,
26,2024-11-01,261.0,17.0,28.0,216.0,0,
27,2024-12-01,323.0,36.0,4.0,283.0,0,
28,2025-01-01,111.0,32.0,-11.0,90.0,0,Jan \\ 2025
29,2025-02-01,102.0,-5.0,24.0,83.0,0,
30,2025-03-01,120.0,6.0,5.0,109.0,0,
31,2025-04-01,158.0,25.0,2.0,131.0,0,
32,2025-05-01,19.0,-50.0,-13.0,82.0,0,
33,2025-06-01,-13.0,14.0,-21.0,-6.0,0,
34,2025-07-01,79.0,2.0,-8.0,85.0,0,Jul
35,2025-08-01,22.0,-16.0,-25.0,63.0,0,
