date,Real Rate 1-month,Real Rate 1-year,Real Rate 10-year
1982-01-01,0.0246,0.0434,0.0762
1982-02-01,0.0498,0.0671,0.0766
1982-03-01,0.0759,0.0767,0.0713
1982-04-01,0.088,0.0817,0.0741
1982-05-01,0.0857,0.0827,0.0732
1982-06-01,0.1083,0.0929,0.0735
1982-07-01,0.0716,0.0745,0.0756
1982-08-01,0.0363,0.0567,0.0688
1982-09-01,-0.0107,0.033,0.0651
1982-10-01,0.0275,0.0463,0.0628
1982-11-01,0.0583,0.0576,0.0563
1982-12-01,0.0518,0.0535,0.0588
1983-01-01,0.0447,0.047,0.0554
1983-02-01,0.0456,0.0487,0.0586
1983-03-01,0.0599,0.053,0.0557
1983-04-01,0.0539,0.0509,0.057
1983-05-01,0.0584,0.053,0.054
1983-06-01,0.0636,0.0596,0.0581
1983-07-01,0.0409,0.0473,0.0582
1983-08-01,0.0571,0.0574,0.0627
1983-09-01,0.0498,0.0547,0.0636
1983-10-01,0.0429,0.0493,0.0603
1983-11-01,0.0378,0.0462,0.0614
1983-12-01,0.0359,0.0445,0.0615
1984-01-01,0.0518,0.0535,0.0622
1984-02-01,0.0451,0.052,0.061
1984-03-01,0.055,0.056,0.0646
1984-04-01,0.0498,0.0536,0.0663
1984-05-01,0.049,0.0537,0.0685
1984-06-01,0.0454,0.0538,0.0735
1984-07-01,0.0597,0.0629,0.0745
1984-08-01,0.0569,0.0607,0.0687
1984-09-01,0.0661,0.0643,0.0698
1984-10-01,0.0728,0.0686,0.0661
1984-11-01,0.0487,0.0638,0.0607
1984-12-01,0.0459,0.0575,0.0608
1985-01-01,0.0394,0.0514,0.0616
1985-02-01,0.0397,0.0479,0.0602
1985-03-01,0.0346,0.0454,0.0638
1985-04-01,0.0588,0.0572,0.0619
1985-05-01,0.0365,0.0499,0.0594
1985-06-01,0.0186,0.0352,0.0516
1985-07-01,0.0407,0.0446,0.0533
1985-08-01,0.0365,0.0426,0.0559
1985-09-01,0.0369,0.0412,0.0542
1985-10-01,0.0374,0.0408,0.0541
1985-11-01,0.0422,0.0421,0.0524
1985-12-01,0.049,0.0446,0.0508
1986-01-01,0.025,0.0429,0.0455
1986-02-01,0.0387,0.0448,0.0462
1986-03-01,0.0638,0.0532,0.0421
1986-04-01,0.0657,0.0512,0.0395
1986-05-01,0.0637,0.0497,0.0405
1986-06-01,0.0523,0.0449,0.0458
1986-07-01,0.037,0.035,0.0399
1986-08-01,0.0352,0.0336,0.0392
1986-09-01,0.0318,0.03,0.0355
1986-10-01,0.0235,0.0277,0.0387
1986-11-01,0.0254,0.0269,0.0374
1986-12-01,0.0218,0.0242,0.0354
1987-01-01,0.0193,0.0248,0.036
1987-02-01,0.0176,0.0229,0.0358
1987-03-01,0.0419,0.0329,0.0355
1987-04-01,0.0185,0.025,0.0376
