date,Total,U6,U1
1989-01-01,5.2,,1.13333
1989-04-01,5.23333,,1.06667
1989-07-01,5.23333,,1.1
1989-10-01,5.36667,,1.1
1990-01-01,5.3,,1.1
1990-04-01,5.33333,,1.1
1990-07-01,5.7,,1.26667
1990-10-01,6.13333,,1.4
1991-01-01,6.6,,1.6
1991-04-01,6.83333,,1.83333
1991-07-01,6.86667,,1.96667
1991-10-01,7.1,,2.16667
1992-01-01,7.36667,,2.46667
1992-04-01,7.6,,2.66667
1992-07-01,7.63333,,2.76667
1992-10-01,7.36667,,2.7
1993-01-01,7.13333,,2.5
1993-04-01,7.06667,,2.36667
1993-07-01,6.8,,2.36667
1993-10-01,6.63333,,2.3
1994-01-01,6.56667,11.5333,2.33333
1994-04-01,6.2,11.0667,2.16667
1994-07-01,6,10.6,2.13333
1994-10-01,5.63333,10.2,2.03333
1995-01-01,5.46667,9.96667,1.76667
1995-04-01,5.66667,10.1,1.86667
1995-07-01,5.66667,10.1333,1.73333
1995-10-01,5.56667,10.0333,1.76667
1996-01-01,5.53333,9.9,1.76667
1996-04-01,5.5,9.83333,1.8
1996-07-01,5.26667,9.53333,1.7
1996-10-01,5.33333,9.5,1.63333
1997-01-01,5.23333,9.26667,1.6
1997-04-01,5,9.03333,1.56667
1997-07-01,4.86667,8.7,1.53333
1997-10-01,4.66667,8.46667,1.36667
1998-01-01,4.63333,8.36667,1.3
1998-04-01,4.4,8.03333,1.13333
1998-07-01,4.53333,8.03333,1.16667
1998-10-01,4.43333,7.73333,1.1
1999-01-01,4.3,7.6,1.1
1999-04-01,4.26667,7.53333,1.13333
1999-07-01,4.23333,7.4,1.03333
1999-10-01,4.06667,7.16667,1
2000-01-01,4.03333,7.06667,0.933333
2000-04-01,3.93333,7,0.9
2000-07-01,4,7.03333,0.933333
2000-10-01,3.9,6.93333,0.9
2001-01-01,4.23333,7.3,1.03333
2001-04-01,4.4,7.6,1.03333
2001-07-01,4.83333,8.26667,1.3
2001-10-01,5.5,9.43333,1.56667
2002-01-01,5.7,9.43333,1.83333
2002-04-01,5.83333,9.6,2.03333
2002-07-01,5.73333,9.6,2
2002-10-01,5.86667,9.73333,2.16667
2003-01-01,5.86667,10,2.2
2003-04-01,6.13333,10.2,2.33333
2003-07-01,6.13333,10.2667,2.43333
2003-10-01,5.83333,10.0333,2.33333
2004-01-01,5.7,9.83333,2.26667
2004-04-01,5.6,9.63333,2.06667
2004-07-01,5.43333,9.43333,1.96667
2004-10-01,5.43333,9.46667,2.03333
2005-01-01,5.3,9.16667,1.93333
2005-04-01,5.1,8.96667,1.73333
2005-07-01,4.96667,8.9,1.66667
2005-10-01,4.96667,8.66667,1.66667
2006-01-01,4.73333,8.33333,1.6
2006-04-01,4.63333,8.23333,1.5
2006-07-01,4.63333,8.3,1.5
2006-10-01,4.43333,8.06667,1.4
2007-01-01,4.5,8.13333,1.43333
2007-04-01,4.5,8.23333,1.5
2007-07-01,4.66667,8.4,1.5
2007-10-01,4.8,8.56667,1.53333
2008-01-01,5,9.06667,1.6
2008-04-01,5.33333,9.63333,1.8
2008-07-01,6,10.8,2.16667
2008-10-01,6.86667,12.7,2.66667
2009-01-01,8.26667,15,3.46667
2009-04-01,9.3,16.3,4.56667
2009-07-01,9.63333,16.6,5.23333
2009-10-01,9.93333,17.1333,5.7
2010-01-01,9.83333,16.9,5.83333
2010-04-01,9.63333,16.7667,5.83333
2010-07-01,9.46667,16.6,5.56667
2010-10-01,9.5,16.7,5.6
2011-01-01,9.03333,16.0333,5.36667
2011-04-01,9.06667,16.0333,5.26667
2011-07-01,9,16.1333,5.36667
2011-10-01,8.63333,15.5333,5
2012-01-01,8.26667,14.9,4.7
2012-04-01,8.2,14.7333,4.63333
2012-07-01,8.03333,14.7,4.46667
2012-10-01,7.8,14.4,4.3
2013-01-01,7.73333,14.2333,4.16667
2013-04-01,7.53333,14.0333,4.06667
2013-07-01,7.23333,13.6333,3.83333
2013-10-01,6.93333,13.2667,3.66667
2014-01-01,6.66667,12.6333,3.46667
2014-04-01,6.2,12.2,3.1
2014-07-01,6.06667,11.9333,2.9
2014-10-01,5.7,11.3667,2.66667
2015-01-01,5.53333,11,2.5
2015-04-01,5.43333,10.7333,2.33333
2015-07-01,5.1,10.1667,2.16667
2015-10-01,5.03333,9.9,2.1
2016-01-01,4.9,9.7,2.06667
2016-04-01,4.93333,9.76667,2
2016-07-01,4.9,9.63333,1.96667
2016-10-01,4.76667,9.4,1.93333
2017-01-01,4.56667,9,1.8
2017-04-01,4.36667,8.53333,1.66667
2017-07-01,4.33333,8.46667,1.7
2017-10-01,4.16667,8.06667,1.56667
2018-01-01,4.03333,8.03333,1.4
2018-04-01,3.93333,7.83333,1.36667
2018-07-01,3.76667,7.46667,1.43333
2018-10-01,3.83333,7.56667,1.36667
2019-01-01,3.86667,7.53333,1.3
2019-04-01,3.63333,7.23333,1.26667
2019-07-01,3.6,7,1.3
2019-10-01,3.6,6.83333,1.26667
2020-01-01,3.83333,7.6,1.23333
2020-04-01,13,20.6667,1.5
2020-07-01,8.8,14.5,4.9
2020-10-01,6.76667,11.9,3.63333
2021-01-01,6.23333,11.0333,3.46667
2021-04-01,5.93333,10.0667,3.23333
2021-07-01,5.06667,8.8,2.63333
2021-10-01,4.16667,7.73333,1.9
2022-01-01,3.86667,7.1,1.4
2022-04-01,3.63333,6.93333,1.23333
2022-07-01,3.53333,6.8,1.16667
2022-10-01,3.56667,6.66667,1.16667
2023-01-01,3.53333,6.73333,1.13333
2023-04-01,3.53333,6.73333,1.16667
2023-07-01,3.63333,6.93333,1.36667
2023-10-01,3.8,7.13333,1.36667
2024-01-01,3.83333,7.26667,1.3
2024-04-01,3.96667,7.4,1.4
2024-07-01,4.16667,7.76667,1.6
2024-10-01,4.13333,7.66667,1.66667
2025-01-01,4.13333,7.8,1.5
2025-04-01,4.2,7.76667,1.56667
2025-07-01,4.33333,8.03333,1.76667
2025-10-01,4.45,8.5,1.8
2026-02-01,4.4,7.9,1.8
