date,A054RC,B056RC,A127RC
1989-01-01,3.204524099985469,3.952723743862343,2.740937946643206
1989-04-01,2.8538690646804112,4.125605145152445,2.6718178225009668
1989-07-01,2.730992821310258,4.191621853912757,2.644195497882536
1989-10-01,2.703451727527511,4.307030104927722,2.1290944408751127
1990-01-01,2.604325366570289,4.299067463566035,2.3285081870747586
1990-04-01,2.6663934534010667,4.232738254386388,2.6099172032312214
1990-07-01,2.729489188396895,4.246424632866156,1.917462937629125
1990-10-01,2.686008912759698,4.128209292650665,2.205630098759492
1991-01-01,2.600195279194716,4.256281437483392,2.9890441100730656
1991-04-01,2.4914193418130424,4.315888500844105,2.915383326675
1991-07-01,2.486013040320208,4.330216425768326,2.7675808726093742
1991-10-01,2.4833328010139843,4.284260213387215,2.7299997814688988
1992-01-01,2.6724117618735894,4.157818011201297,2.967472803510163
1992-04-01,2.668696449311783,4.1439782812450545,2.8570985035292376
1992-07-01,2.557834844052474,4.148072892398689,2.6047295836755873
1992-10-01,2.6945935903207987,4.117553382864401,2.736273609666619
1993-01-01,2.784994341702975,4.1849586175008895,2.5336083585986757
1993-04-01,2.9736031510677683,4.188207420212791,2.7149501109877376
1993-07-01,2.8022052700594395,4.275486470706472,2.996525551078228
1993-10-01,3.322229055049815,4.3281295563852025,3.1114568596548415
1994-01-01,2.878943704751372,4.509528407968375,3.4007950649106062
1994-04-01,2.9670006057870286,4.5786182668561475,3.4329920184711717
1994-07-01,3.211309305324017,4.648955815765147,3.5688856546811714
1994-10-01,3.335659130511557,4.683523703598726,3.64831914585376
1995-01-01,3.382800533477299,4.700599936146699,3.515805081374743
1995-04-01,3.287483442808272,4.7668363644373635,3.8610932281107346
1995-07-01,3.3554299486686623,4.835861379971527,4.116809208530892
1995-10-01,3.2450928239974037,4.957410362697766,4.147220298495478
1996-01-01,3.312065443434519,5.028858481266377,4.342551864296321
1996-04-01,3.438239508456025,5.135696151216735,4.070683131598125
1996-07-01,3.4036505360786222,5.253731352791668,3.924878121962605
1996-10-01,3.3855628801273414,5.304240090470756,3.9748690955563784
1997-01-01,3.3538316868404507,5.343794569086532,4.198614489803416
1997-04-01,3.366138801536752,5.3895562350058945,4.281081826962881
1997-07-01,3.471377977066571,5.40111859827488,4.417653896195716
1997-10-01,3.268904178426198,5.427136015473731,4.159644001552739
1998-01-01,3.199020754954728,5.5227836480478105,2.981253937681134
1998-04-01,3.101943026837403,5.47501721436202,2.891106054638243
1998-07-01,3.1409204861205438,5.366593039479357,2.8831905021624937
1998-10-01,3.0385706895694726,5.223614773091683,2.6713789695857915
1999-01-01,3.05858748633082,4.980072067657866,3.4011256232923226
1999-04-01,2.9991809475383815,4.917776121635663,3.3553513775308623
1999-07-01,3.019895807557767,4.936357430627377,2.972728593481637
1999-10-01,3.014926754665244,5.025380605073209,2.732571910847683
2000-01-01,3.0830946662500285,5.075796914903242,2.0859895896294685
2000-04-01,3.0283739507469196,5.162080212631417,1.8093441204303295
2000-07-01,2.7508308584860663,5.136166707802657,1.7585666056685187
2000-10-01,2.768365277847198,5.0503717794549585,1.4720129012910113
2001-01-01,2.275918062750207,4.877758568798864,1.8728472863650067
2001-04-01,2.202049790263466,4.778709605331783,2.3965447019482395
2001-07-01,1.9783395817723377,4.782829029611369,2.3111468693188306
2001-10-01,1.7823057286755744,4.8321870482255,2.6597756929150806
2002-01-01,1.7689308030242903,4.948958560655658,3.515258414617195
2002-04-01,1.8219164196198174,5.030519992862762,3.6191133344833535
2002-07-01,1.9020143912968552,5.033027760622144,3.815889483190836
2002-10-01,2.080121689426184,5.027113994665678,4.418285196407747
2003-01-01,2.3074306046667936,5.023083307636487,4.078516482603389
2003-04-01,2.2344124493632997,4.953852176606115,4.467391824813766
2003-07-01,2.4307436299774965,5.112613845131532,4.470077786029785
2003-10-01,2.6421782671666874,5.430966369635484,4.379898939745473
2004-01-01,2.7081463059108315,5.737942076812823,4.936748375971815
2004-04-01,2.8742348932594406,5.930248617688193,4.653880976987134
2004-07-01,3.036922443613765,5.8838608719034875,4.881177255615385
2004-10-01,3.0692011650865405,6.877646468397012,3.560209564133722
2005-01-01,3.7934275201204697,5.806549703989142,4.958612189079061
2005-04-01,3.6202786612522604,5.8891372840599105,4.982958543978794
2005-07-01,3.6224774427402426,5.855044938409401,5.032278048911258
2005-10-01,3.9201158409243964,6.155999405423014,4.993996248338055
2006-01-01,3.9432099756668455,6.682095849776201,4.624338039103171
2006-04-01,4.00577616044956,6.9181706282093,4.289639854766379
2006-07-01,4.145385415879188,7.032519701624181,4.3338567013814036
2006-10-01,3.803308499787572,7.266154389879556,3.8004785617540566
2007-01-01,3.8071269346370706,7.460538774046175,2.6363657611675575
2007-04-01,3.710368511539007,7.70965320093863,2.8805166467266057
2007-07-01,3.387666510618377,7.810452344192921,2.5312214298240225
2007-10-01,3.2070332910252954,7.750256691411325,2.3198430418298814
2008-01-01,2.667633034303664,8.08418570874042,1.6777358493268606
2008-04-01,2.5521445736259665,7.753265430641178,1.9048878539016907
2008-07-01,2.4086317387624625,7.304272529138971,2.5021825861220455
2008-10-01,1.5682979391118783,7.119819588014476,0.7115663566151216
2009-01-01,1.6203120083061517,6.621819476870722,3.582640368877558
2009-04-01,1.830632711710516,5.81762969094302,4.383074405049757
2009-07-01,1.9075840081739606,5.398133559344527,6.154516947743599
2009-10-01,2.1882906512219518,5.249356718864284,6.594566373312204
2010-01-01,2.2875755750396003,5.299698815340339,7.071030497735538
2010-04-01,2.298575033709898,5.3728458446196345,6.709803532474745
