date,12-month
1989-01-01,4.05
1989-02-01,4.15
1989-03-01,4.16
1989-04-01,4.16
1989-05-01,4.24
1989-06-01,4.13
1989-07-01,4.04
1989-08-01,3.95
1989-09-01,3.8
1989-10-01,3.94
1989-11-01,3.92
1989-12-01,3.94
1990-01-01,3.85
1990-02-01,3.82
1990-03-01,3.95
1990-04-01,3.9
1990-05-01,3.8
1990-06-01,3.94
1990-07-01,3.96
1990-08-01,4.14
1990-09-01,4.13
1990-10-01,4.01
1990-11-01,3.89
1990-12-01,3.84
1991-01-01,3.82
1991-02-01,3.72
1991-03-01,3.43
1991-04-01,3.35
1991-05-01,3.45
1991-06-01,3.23
1991-07-01,3.1
1991-08-01,2.91
1991-09-01,2.9
1991-10-01,2.83
1991-11-01,2.97
1991-12-01,3.0
1992-01-01,2.88
1992-02-01,2.9
1992-03-01,2.99
1992-04-01,2.94
1992-05-01,2.8
1992-06-01,2.8
1992-07-01,2.82
1992-08-01,2.75
1992-09-01,2.61
1992-10-01,2.64
1992-11-01,2.61
1992-12-01,2.5
1993-01-01,2.5
1993-02-01,2.51
1993-03-01,2.45
1993-04-01,2.52
1993-05-01,2.57
1993-06-01,2.53
1993-07-01,2.5
1993-08-01,2.49
1993-09-01,2.53
1993-10-01,2.49
1993-11-01,2.43
1993-12-01,2.4
1994-01-01,2.36
1994-02-01,2.35
1994-03-01,2.41
1994-04-01,2.31
1994-05-01,2.27
1994-06-01,2.34
1994-07-01,2.35
1994-08-01,2.34
1994-09-01,2.32
1994-10-01,2.26
1994-11-01,2.28
1994-12-01,2.25
1995-01-01,2.35
1995-02-01,2.29
1995-03-01,2.25
1995-04-01,2.31
1995-05-01,2.27
1995-06-01,2.19
1995-07-01,2.16
1995-08-01,2.21
1995-09-01,2.23
1995-10-01,2.32
1995-11-01,2.27
1995-12-01,2.31
1996-01-01,2.25
1996-02-01,2.25
1996-03-01,2.26
1996-04-01,2.22
1996-05-01,2.25
1996-06-01,2.29
1996-07-01,2.32
1996-08-01,2.31
1996-09-01,2.36
1996-10-01,2.34
1996-11-01,2.39
1996-12-01,2.38
1997-01-01,2.35
1997-02-01,2.36
1997-03-01,2.31
1997-04-01,2.31
1997-05-01,2.22
1997-06-01,2.22
1997-07-01,2.13
1997-08-01,2.06
1997-09-01,2.05
1997-10-01,1.9
1997-11-01,1.8
1997-12-01,1.73
1998-01-01,1.66
1998-02-01,1.61
1998-03-01,1.65
1998-04-01,1.63
1998-05-01,1.71
1998-06-01,1.64
1998-07-01,1.69
1998-08-01,1.75
1998-09-01,1.7
1998-10-01,1.77
1998-11-01,1.78
1998-12-01,1.81
1999-01-01,1.85
1999-02-01,1.8
1999-03-01,1.72
1999-04-01,1.77
1999-05-01,1.73
1999-06-01,1.76
1999-07-01,1.79
1999-08-01,1.75
1999-09-01,1.8
1999-10-01,1.81
1999-11-01,1.84
1999-12-01,1.88
2000-01-01,2.0
2000-02-01,2.12
2000-03-01,2.24
2000-04-01,2.18
2000-05-01,2.22
2000-06-01,2.27
2000-07-01,2.3
2000-08-01,2.32
2000-09-01,2.39
2000-10-01,2.42
2000-11-01,2.45
2000-12-01,2.5
2001-01-01,2.52
2001-02-01,2.54
2001-03-01,2.5
2001-04-01,2.59
2001-05-01,2.59
2001-06-01,2.67
2001-07-01,2.63
2001-08-01,2.65
2001-09-01,2.53
2001-10-01,2.5
2001-11-01,2.47
2001-12-01,2.37
2002-01-01,2.24
2002-02-01,2.23
2002-03-01,2.22
2002-04-01,2.17
2002-05-01,2.11
2002-06-01,2.01
2002-07-01,2.03
2002-08-01,2.0
2002-09-01,2.07
2002-10-01,2.08
2002-11-01,2.06
2002-12-01,2.1
2003-01-01,2.08
2003-02-01,2.01
2003-03-01,1.99
2003-04-01,1.84
2003-05-01,1.82
2003-06-01,1.74
2003-07-01,1.77
2003-08-01,1.8
2003-09-01,1.75
2003-10-01,1.73
2003-11-01,1.74
2003-12-01,1.74
2004-01-01,1.81
2004-02-01,1.88
2004-03-01,1.88
2004-04-01,2.12
2004-05-01,2.21
2004-06-01,2.33
2004-07-01,2.26
2004-08-01,2.2
2004-09-01,2.19
2004-10-01,2.21
2004-11-01,2.25
2004-12-01,2.27
2005-01-01,2.37
2005-02-01,2.38
2005-03-01,2.39
2005-04-01,2.29
2005-05-01,2.25
2005-06-01,2.18
2005-07-01,2.25
2005-08-01,2.28
2005-09-01,2.4
2005-10-01,2.45
2005-11-01,2.46
2005-12-01,2.44
2006-01-01,2.39
2006-02-01,2.34
2006-03-01,2.38
2006-04-01,2.48
2006-05-01,2.61
2006-06-01,2.78
2006-07-01,2.8
2006-08-01,2.86
2006-09-01,2.78
2006-10-01,2.7
2006-11-01,2.57
2006-12-01,2.67
2007-01-01,2.71
2007-02-01,2.82
2007-03-01,2.77
2007-04-01,2.66
2007-05-01,2.51
2007-06-01,2.41
2007-07-01,2.35
2007-08-01,2.3
2007-09-01,2.38
2007-10-01,2.46
2007-11-01,2.66
2007-12-01,2.63
2008-01-01,2.56
2008-02-01,2.44
2008-03-01,2.48
2008-04-01,2.5
2008-05-01,2.55
2008-06-01,2.6
2008-07-01,2.69
2008-08-01,2.63
2008-09-01,2.57
2008-10-01,2.44
2008-11-01,2.35
2008-12-01,2.21
2009-01-01,2.22
2009-02-01,2.22
2009-03-01,2.14
2009-04-01,2.08
2009-05-01,1.99
2009-06-01,1.86
2009-07-01,1.62
2009-08-01,1.6
2009-09-01,1.48
2009-10-01,1.5
