date,PPIACO,PPIFD
1988-01-01,,
1988-02-01,,
1988-03-01,,
1988-04-01,,
1988-05-01,,
1988-06-01,,
1988-07-01,,
1988-08-01,,
1988-09-01,,
1988-10-01,,
1988-11-01,,
1988-12-01,,
1989-01-01,5.64,
1989-02-01,5.73,
1989-03-01,6.29,
1989-04-01,6.14,
1989-05-01,6.29,
1989-06-01,5.32,
1989-07-01,4.54,
1989-08-01,3.7,
1989-09-01,3.98,
1989-10-01,4.25,
1989-11-01,4.06,
1989-12-01,3.67,
1990-01-01,3.98,
1990-02-01,3.25,
1990-03-01,2.42,
1990-04-01,1.6,
1990-05-01,1.24,
1990-06-01,1.24,
1990-07-01,1.51,
1990-08-01,4.02,
1990-09-01,5.34,
1990-10-01,7.09,
1990-11-01,6.57,
1990-12-01,5.04,
1991-01-01,3.57,
1991-02-01,2.45,
1991-03-01,1.75,
1991-04-01,1.67,
1991-05-01,1.66,
1991-06-01,1.84,
1991-07-01,1.4,
1991-08-01,-0.26,
1991-09-01,-1.94,
1991-10-01,-3.64,
1991-11-01,-3.08,
1991-12-01,-2.36,
1992-01-01,-2.86,
1992-02-01,-1.02,
1992-03-01,-0.09,
1992-04-01,0.26,
1992-05-01,0.6,
1992-06-01,1.37,
1992-07-01,1.55,
1992-08-01,1.29,
1992-09-01,1.64,
1992-10-01,1.46,
1992-11-01,1.2,
1992-12-01,1.47,
1993-01-01,2.08,
1993-02-01,2.07,
1993-03-01,2.24,
1993-04-01,2.58,
1993-05-01,2.13,
1993-06-01,1.27,
1993-07-01,1.1,
1993-08-01,0.85,
1993-09-01,0.59,
1993-10-01,0.85,
1993-11-01,1.02,
1993-12-01,0.85,
1994-01-01,0.93,
1994-02-01,0.76,
1994-03-01,0.84,
1994-04-01,0.34,
1994-05-01,0.17,
1994-06-01,0.84,
1994-07-01,1.26,
1994-08-01,2.11,
1994-09-01,1.94,
1994-10-01,1.51,
1994-11-01,2.1,
1994-12-01,2.78,
1995-01-01,3.19,
1995-02-01,3.52,
1995-03-01,3.51,
1995-04-01,4.09,
1995-05-01,4.17,
1995-06-01,3.98,
1995-07-01,3.81,
1995-08-01,3.22,
1995-09-01,3.47,
1995-10-01,3.64,
1995-11-01,3.21,
1995-12-01,3.12,
1996-01-01,2.77,
1996-02-01,2.19,
1996-03-01,2.02,
1996-04-01,2.25,
1996-05-01,2.56,
1996-06-01,2.15,
1996-07-01,2.15,
1996-08-01,2.56,
1996-09-01,2.4,
1996-10-01,2.15,
1996-11-01,2.23,
1996-12-01,2.7,
1997-01-01,2.69,
1997-02-01,1.82,
1997-03-01,0.71,
1997-04-01,-0.31,
1997-05-01,-0.55,
1997-06-01,-0.62,
1997-07-01,-0.86,
1997-08-01,-0.86,
1997-09-01,-0.55,
1997-10-01,-0.16,
1997-11-01,-0.23,
1997-12-01,-1.78,
1998-01-01,-3.32,
1998-02-01,-2.72,
1998-03-01,-2.04,
1998-04-01,-1.65,
1998-05-01,-1.81,
1998-06-01,-1.89,
1998-07-01,-1.58,
1998-08-01,-2.36,
1998-09-01,-2.9,
1998-10-01,-2.97,
1998-11-01,-3.36,
1998-12-01,-3.15,
1999-01-01,-1.99,
1999-02-01,-2.16,
1999-03-01,-1.68,
1999-04-01,-1.04,
1999-05-01,-0.32,
1999-06-01,0.32,
1999-07-01,0.64,
1999-08-01,2.17,
1999-09-01,3.39,
1999-10-01,2.98,
1999-11-01,3.8,
1999-12-01,4.07,
2000-01-01,4.39,
