date,PPIACO,PPIFD
2000-02-01,6.13,
2000-03-01,6.69,
2000-04-01,5.74,
2000-05-01,5.53,
2000-06-01,6.87,
2000-07-01,6.36,
2000-08-01,4.73,
2000-09-01,5.23,
2000-10-01,6.03,
2000-11-01,5.22,
2000-12-01,6.57,
2001-01-01,9.12,
2001-02-01,5.86,
2001-03-01,3.9,
2001-04-01,4.36,
2001-05-01,3.95,
2001-06-01,1.27,
2001-07-01,-0.22,
2001-08-01,0.38,
2001-09-01,-1.04,
2001-10-01,-3.77,
2001-11-01,-3.85,
2001-12-01,-5.95,
2002-01-01,-8.21,
2002-02-01,-6.55,
2002-03-01,-4.49,
2002-04-01,-4.11,
2002-05-01,-4.39,
2002-06-01,-3.39,
2002-07-01,-1.65,
2002-08-01,-1.42,
2002-09-01,-0.75,
2002-10-01,2.23,
2002-11-01,2.54,
2002-12-01,3.75,
2003-01-01,5.29,
2003-02-01,7.17,
2003-03-01,8.78,
2003-04-01,4.59,
2003-05-01,4.51,
2003-06-01,5.42,
2003-07-01,4.95,
2003-08-01,4.94,
2003-09-01,4.69,
2003-10-01,4.58,
2003-11-01,4.36,
2003-12-01,4.97,
2004-01-01,4.51,
2004-02-01,3.27,
2004-03-01,1.35,
2004-04-01,5.85,
2004-05-01,7.39,
2004-06-01,6.67,
2004-07-01,7.04,
2004-08-01,7.25,
2004-09-01,6.64,
2004-10-01,7.68,
2004-11-01,9.0,
2004-12-01,7.67,
2005-01-01,6.72,
2005-02-01,6.69,
2005-03-01,7.41,
2005-04-01,7.04,
2005-05-01,5.11,
2005-06-01,4.82,
2005-07-01,6.04,
2005-08-01,6.49,
2005-09-01,9.82,
2005-10-01,10.8,
2005-11-01,8.12,
2005-12-01,8.52,
2006-01-01,8.88,
2006-02-01,6.73,
2006-03-01,5.53,
2006-04-01,6.0,
2006-05-01,7.45,
2006-06-01,7.65,
2006-07-01,6.72,
2006-08-01,6.54,
2006-09-01,1.97,
2006-10-01,-2.41,
2006-11-01,0.55,
2006-12-01,1.6,
2007-01-01,-0.18,
2007-02-01,3.09,
2007-03-01,4.38,
2007-04-01,4.32,
2007-05-01,4.52,
2007-06-01,4.64,
2007-07-01,4.98,
2007-08-01,2.68,
2007-09-01,4.9,
2007-10-01,7.71,
2007-11-01,8.75,
2007-12-01,7.85,
2008-01-01,10.37,
2008-02-01,9.53,
2008-03-01,10.99,
2008-04-01,11.38,
2008-05-01,13.44,
2008-06-01,15.36,
2008-07-01,17.36,
2008-08-01,15.43,
2008-09-01,13.49,
2008-10-01,6.7,
2008-11-01,-1.23,
2008-12-01,-4.31,
2009-01-01,-5.41,
2009-02-01,-7.33,
2009-03-01,-10.54,
2009-04-01,-11.42,
2009-05-01,-13.12,
2009-06-01,-13.17,
2009-07-01,-16.06,
2009-08-01,-12.06,
2009-09-01,-11.58,
2009-10-01,-6.01,
2009-11-01,0.34,
2009-12-01,4.21,
2010-01-01,6.25,
2010-02-01,6.91,
2010-03-01,9.04,
2010-04-01,9.05,
2010-05-01,8.2,
2010-06-01,5.4,
2010-07-01,6.72,
2010-08-01,5.66,
2010-09-01,6.2,
2010-10-01,6.51,
2010-11-01,5.81,2.6
2010-12-01,6.51,2.8
2011-01-01,5.94,2.38
2011-02-01,8.18,3.27
2011-03-01,8.67,3.95
2011-04-01,10.14,4.23
2011-05-01,10.44,4.22
2011-06-01,11.12,4.33
2011-07-01,11.14,4.52
2011-08-01,9.9,4.42
2011-09-01,10.17,4.51
2011-10-01,7.77,3.71
2011-11-01,7.3,3.7
2011-12-01,5.32,3.21
2012-01-01,4.15,3.09
2012-02-01,2.96,2.78
2012-03-01,2.51,2.38
2012-04-01,0.3,1.98
2012-05-01,-1.08,1.6
2012-06-01,-2.01,1.32
2012-07-01,-2.2,1.03
2012-08-01,-0.25,1.22
2012-09-01,0.34,1.5
2012-10-01,1.19,1.88
2012-11-01,0.2,1.69
2012-12-01,0.85,1.89
2013-01-01,0.9,1.59
2013-02-01,1.34,1.59
2013-03-01,-0.1,1.3
2013-04-01,-0.1,0.93
2013-05-01,1.09,0.93
2013-06-01,2.25,1.68
2013-07-01,2.15,1.96
2013-08-01,0.74,1.67
2013-09-01,-0.24,1.11
2013-10-01,-0.49,1.29
2013-11-01,-0.3,1.11
2013-12-01,0.25,1.2
2014-01-01,0.64,1.29
2014-02-01,0.69,1.19
2014-03-01,1.47,1.56
2014-04-01,2.36,1.83
2014-05-01,1.91,2.11
2014-06-01,1.96,1.83
2014-07-01,1.76,1.92
2014-08-01,1.37,1.92
2014-09-01,1.23,1.55
2014-10-01,0.44,1.55
2014-11-01,-0.15,1.28
2014-12-01,-2.48,0.91
2015-01-01,-5.79,0.0
2015-02-01,-7.1,-0.54
2015-03-01,-7.49,-0.9
2015-04-01,-8.35,-1.08
2015-05-01,-7.02,-0.81
2015-06-01,-6.48,-0.54
2015-07-01,-6.78,-0.72
2015-08-01,-7.29,-0.99
2015-09-01,-8.38,-1.08
2015-10-01,-7.82,-1.44
2015-11-01,-7.57,-1.26
2015-12-01,-6.85,-1.09
2016-01-01,-4.9,0.0
2016-02-01,-5.13,0.09
2016-03-01,-4.91,-0.09
2016-04-01,-4.03,0.18
2016-05-01,-4.19,0.0
2016-06-01,-3.7,0.18
2016-07-01,-3.2,0.0
2016-08-01,-2.76,0.0
2016-09-01,-1.16,0.64
2016-10-01,-0.43,1.09
2016-11-01,0.32,1.28
2016-12-01,2.56,1.74
2017-01-01,4.44,1.73
2017-02-01,5.68,2.01
2017-03-01,5.16,2.19
2017-04-01,5.35,2.45
2017-05-01,4.05,2.27
2017-06-01,3.2,1.9
2017-07-01,3.09,1.99
2017-08-01,3.86,2.44
2017-09-01,4.23,2.62
2017-10-01,4.39,2.79
2017-11-01,5.15,2.98
2017-12-01,4.3,2.52
2018-01-01,3.78,2.6
2018-02-01,4.02,2.77
2018-03-01,4.07,2.94
2018-04-01,3.78,2.66
2018-05-01,5.39,3.11
2018-06-01,5.48,3.28
2018-07-01,5.58,3.36
2018-08-01,4.95,3.0
2018-09-01,4.52,2.73
2018-10-01,4.98,3.07
2018-11-01,3.27,2.63
2018-12-01,2.39,2.64
2019-01-01,0.61,1.92
2019-02-01,-0.05,1.91
2019-03-01,0.75,1.99
2019-04-01,0.9,2.42
2019-05-01,-0.74,2.07
2019-06-01,-1.91,1.63
2019-07-01,-1.76,1.63
2019-08-01,-2.06,1.89
2019-09-01,-2.55,1.46
2019-10-01,-2.93,1.02
2019-11-01,-1.63,1.02
2019-12-01,-1.0,1.37
2020-01-01,0.1,1.97
2020-02-01,-1.26,1.11
2020-03-01,-3.83,0.34
2020-04-01,-8.21,-1.52
2020-05-01,-6.49,-1.1
2020-06-01,-4.54,-0.68
2020-07-01,-3.84,-0.25
2020-08-01,-2.46,-0.25
2020-09-01,-1.46,0.34
2020-10-01,-1.06,0.59
2020-11-01,-0.35,0.85
2020-12-01,0.75,0.84
2021-01-01,2.76,1.6
2021-02-01,7.07,2.96
2021-03-01,11.34,4.15
2021-04-01,17.47,6.51
2021-05-01,19.25,6.99
2021-06-01,19.72,7.56
2021-07-01,20.13,7.96
2021-08-01,20.13,8.65
2021-09-01,20.55,8.78
2021-10-01,22.37,8.87
2021-11-01,22.69,9.88
2021-12-01,20.37,10.0
2022-01-01,20.34,10.07
2022-02-01,19.97,10.4
2022-03-01,20.94,11.66
2022-04-01,21.76,11.17
2022-05-01,21.5,11.09
2022-06-01,22.43,11.23
2022-07-01,17.44,9.75
2022-08-01,15.48,8.71
2022-09-01,13.67,8.48
2022-10-01,10.23,8.18
2022-11-01,8.17,7.4
2022-12-01,6.86,6.42
2023-01-01,5.59,5.74
2023-02-01,2.38,4.74
2023-03-01,-1.14,2.66
2023-04-01,-3.17,2.26
2023-05-01,-7.17,1.07
2023-06-01,-9.42,0.26
2023-07-01,-6.77,1.13
2023-08-01,-4.4,1.91
2023-09-01,-3.35,1.82
2023-10-01,-3.72,1.08
2023-11-01,-3.91,0.77
2023-12-01,-3.11,1.06
2024-01-01,-3.43,1.05
2024-02-01,-1.45,1.63
2024-03-01,-0.77,1.98
2024-04-01,0.03,2.31
2024-05-01,0.65,2.55
2024-06-01,0.81,2.93
2024-07-01,1.37,2.39
2024-08-01,-0.86,2.07
2024-09-01,-2.41,2.14
2024-10-01,-0.83,2.83
2024-11-01,0.14,2.91
2024-12-01,1.42,3.48
2025-01-01,2.41,3.81
2025-02-01,1.79,3.43
2025-03-01,1.34,3.15
2025-04-01,0.55,2.38
2025-05-01,1.32,2.71
2025-06-01,1.79,2.42
2025-07-01,1.96,3.19
2025-08-01,2.61,2.67
2025-09-01,3.7,2.99
2025-10-01,3.0,2.8
2025-11-01,3.3,2.95
