date,Mortgage,HE Revolving,Auto Loan,Credit Card,Other,Total,Student Loan,Mortgage Total,Consumer Credit
1999-01-01,47.3464,1.18366,5.17851,7.10196,6.36217,67.1727,,48.53,18.6426
1999-04-01,48.6647,1.17619,5.14581,7.05712,6.02795,68.0718,,49.8409,18.2309
1999-07-01,50.2368,1.30674,5.51733,7.25965,5.66252,69.983,,51.5435,18.4395
1999-10-01,48.0125,1.4247,5.55634,7.12352,5.69881,67.8159,,49.4372,18.3787
2000-01-01,50.2804,1.38896,5.69475,7.22261,5.69475,70.2815,,51.6694,18.6121
2000-04-01,50.6861,1.50282,6.01129,7.37749,6.14791,71.7256,,52.1889,19.5367
2000-07-01,51.1788,1.33976,6.16289,7.10073,5.76097,71.5432,,52.5186,19.0246
2000-10-01,51.6101,1.588,6.21968,7.67534,5.82268,72.9158,,53.1981,19.7177
2001-01-01,53.1702,1.56383,6.64627,7.81914,5.86436,75.0638,,54.734,20.3298
2001-04-01,49.8475,1.68754,6.62037,7.91848,5.71169,71.7855,,51.535,20.2505
2001-07-01,52.8953,1.77586,6.59606,7.99138,5.45443,74.7131,,54.6712,20.0419
2001-10-01,53.5077,2.06295,7.09138,8.25178,5.54417,76.4579,,55.5706,20.8873
2002-01-01,55.9216,2.13633,7.28866,7.91699,5.40366,78.6672,,58.0579,20.6093
2002-04-01,54.8205,2.22747,7.1774,8.16739,5.56867,77.9614,,57.048,20.9135
2002-07-01,58.2843,2.45925,7.50072,8.36146,5.65628,82.262,,60.7436,21.5185
2002-10-01,56.6878,2.67625,7.66381,8.39369,5.5958,81.0174,,59.3641,21.6533
2003-01-01,59.6474,2.92081,7.73653,8.3038,5.76438,87.278,2.90512,62.5682,24.7098
2003-04-01,60.5634,3.0997,7.41544,8.2619,5.79406,88.0304,2.89584,63.6631,24.3672
2003-07-01,60.3588,3.13265,7.96554,8.07035,5.55841,87.9832,2.89741,63.4914,24.4917
2003-10-01,65.4138,3.49028,8.13627,8.06693,5.18456,93.2146,2.92282,68.9041,24.3106
2004-01-01,66.6761,3.74482,8.22034,7.93491,5.09775,94.6401,2.96617,70.4209,24.2192
2004-04-01,66.9849,4.1199,8.34084,7.82445,4.74967,94.971,2.95129,71.1048,23.8662
2004-07-01,68.9272,4.72834,8.33564,7.83617,4.55075,98.0409,3.6628,73.6556,24.3854
2004-10-01,69.1885,5.09123,7.91969,7.80003,4.6006,98.3609,3.76077,74.2798,24.0811
2005-01-01,71.4013,5.50421,7.94931,7.78484,4.32114,100.947,3.98672,76.9055,24.042
2005-04-01,72.297,5.70084,8.35691,7.74148,4.34473,102.483,4.04241,77.9978,24.4855
2005-07-01,73.4964,5.75754,8.83319,7.79024,4.31443,104.211,4.01964,79.254,24.9575
2005-10-01,74.3187,5.91243,8.28787,7.70186,4.34799,104.668,4.09894,80.2312,24.4367
2006-01-01,76.0027,5.94857,8.05408,7.38972,4.27541,106.112,4.44099,81.9513,24.1602
2006-04-01,78.332,5.95566,8.03509,7.45971,4.27192,108.485,4.4304,84.2877,24.1971
2006-07-01,80.5117,6.03463,8.2163,7.54579,4.42039,111.199,4.47043,86.5464,24.6529
2006-10-01,81.5457,5.98174,8.13081,7.59601,4.01787,112.042,4.76954,87.5275,24.5142
2007-01-01,82.0242,5.89227,7.73299,7.44081,3.9337,111.956,4.93197,87.9165,24.0395
