date,Open,High,Low,Close,Volume,CH,Height
2025-03-03,5968.33,5986.09,5810.91,5849.72,3643065709.0,Dec,175.1800000000003
2025-03-04,5811.98,5865.08,5732.59,5778.15,4292552884.0,Dec,132.48999999999978
2025-03-06,5785.87,5812.08,5711.64,5738.52,3374067793.0,Dec,100.4399999999996
2025-03-10,5705.37,5705.37,5564.02,5614.56,4360082077.0,Dec,141.34999999999945
2025-03-11,5603.65,5636.3,5528.41,5572.07,4149151870.0,Dec,107.89000000000033
2025-03-12,5624.84,5642.19,5546.09,5599.3,3479733142.0,Dec,96.09999999999945
2025-03-13,5594.45,5597.78,5504.65,5521.52,3339958710.0,Dec,93.13000000000011
2025-03-18,5654.53,5654.53,5597.76,5614.66,2920470375.0,Dec,56.76999999999953
2025-03-26,5771.66,5783.62,5694.41,5712.2,2886232743.0,Dec,89.21000000000004
2025-03-27,5695.64,5732.28,5670.94,5693.31,2832194159.0,Dec,61.340000000000146
2025-03-28,5679.2,5685.89,5572.42,5580.94,2841143271.0,Dec,113.47000000000025
2025-04-03,5492.74,5499.53,5390.83,5396.52,5005321892.0,Dec,108.69999999999982
2025-04-04,5292.14,5292.14,5069.9,5074.08,6086848913.0,Dec,222.2400000000007
2025-04-08,5193.57,5267.47,4910.42,4982.77,5129379581.0,Dec,357.0500000000002
2025-04-10,5353.15,5353.15,5115.27,5268.05,4827946954.0,Dec,237.8799999999992
2025-04-14,5441.96,5459.46,5358.02,5405.97,3287277699.0,Dec,101.4399999999996
2025-04-15,5411.99,5450.41,5386.44,5396.63,2856819167.0,Dec,63.970000000000255
2025-04-16,5335.75,5367.24,5220.79,5275.7,3352865807.0,Dec,146.44999999999982
2025-04-17,5305.45,5328.31,5255.58,5282.7,3153699686.0,Dec,72.73000000000047
2025-04-21,5232.94,5232.94,5101.63,5158.2,2968348904.0,Dec,131.3099999999995
2025-04-23,5395.92,5469.69,5356.17,5375.86,3557338239.0,Dec,113.51999999999953
2025-04-28,5529.22,5553.66,5468.64,5528.75,2781484249.0,Dec,85.01999999999953
2025-05-01,5625.14,5658.91,5597.35,5604.14,3254820687.0,Dec,61.55999999999949
2025-05-05,5655.32,5683.38,5634.48,5650.38,2704187234.0,Dec,48.900000000000546
2025-05-09,5679.65,5691.69,5644.15,5659.91,2455756301.0,Dec,47.539999999999964
2025-05-14,5896.74,5906.55,5872.11,5892.58,3460287578.0,Dec,34.44000000000051
2025-05-20,5944.66,5953.06,5909.26,5940.46,2548764044.0,Dec,43.80000000000018
2025-05-21,5910.18,5938.37,5830.91,5844.61,3120335266.0,Dec,107.46000000000004
2025-05-28,5925.54,5939.92,5881.88,5888.55,2671435626.0,Dec,58.039999999999964
2025-05-29,5939.96,5943.13,5873.8,5912.17,2856548849.0,Dec,69.32999999999993
