date,RXI_N.B.EU,RXI_N.B.UK,RXI_N.B.CA,RXI_N.B.JA
1989-01-01,,0.5638423676130886,1.1913400000000003,1.2736249999999998
1989-02-01,,0.5703549094280512,1.1890999999999998,1.277373684210526
1989-03-01,,0.5836557062744759,1.1953739130434784,1.305504347826087
1989-04-01,,0.5879842261748649,1.1887599999999998,1.320365
1989-05-01,,0.6136884719323185,1.192513636363636,1.3786363636363637
1989-06-01,,0.6440431535267711,1.1985545454545452,1.4398090909090913
1989-07-01,,0.6147711484003187,1.18914,1.40424
1989-08-01,,0.6272874426637468,1.1757782608695653,1.4148521739130435
1989-09-01,,0.6365385282302917,1.1828049999999999,1.4507000000000003
1989-10-01,,0.6300520942176793,1.174909523809524,1.4220666666666668
1989-11-01,,0.6359288013930977,1.1697333333333335,1.4353428571428573
1989-12-01,,0.6264494354252383,1.16134,1.4368500000000002
1990-01-01,,0.6056801666552966,1.1720380952380953,1.4498190476190476
1990-02-01,,0.5895926632245952,1.196478947368421,1.4569315789473685
1990-03-01,,0.6156750145629427,1.1799863636363634,1.5330818181818187
1990-04-01,,0.6108035312373391,1.1640952380952383,1.5845857142857143
1990-05-01,,0.5962370605356764,1.1746999999999999,1.540440909090909
1990-06-01,,0.5847831751633441,1.1730476190476191,1.536957142857143
1990-07-01,,0.5526227578286993,1.1570285714285713,1.4903952380952379
1990-08-01,,0.526107718673888,1.1448086956521737,1.474608695652174
1990-09-01,,0.5321389306874764,1.1583368421052633,1.3844052631578945
1990-10-01,,0.5140730319246104,1.1600227272727275,1.295909090909091
1990-11-01,,0.5091156282057269,1.1634799999999998,1.292155
1990-12-01,,0.5203993546541645,1.160265,1.3388900000000004
1991-01-01,,0.5169729492410651,1.1560333333333332,1.3369857142857142
1991-02-01,,0.5092495338576546,1.1548947368421052,1.305357894736842
1991-03-01,,0.549568465755768,1.1571571428571426,1.3738666666666666
1991-04-01,,0.5718320191429603,1.1535136363636367,1.3711272727272728
1991-05-01,,0.5801669215113451,1.1498545454545455,1.382218181818182
1991-06-01,,0.606321441933582,1.143895,1.397475
1991-07-01,,0.6057925167120637,1.1493318181818184,1.3782999999999999
1991-08-01,,0.5938922111145009,1.1451499999999997,1.3681636363636362
1991-09-01,,0.5792806976845231,1.136955,1.3429950000000002
1991-10-01,,0.5803840479498462,1.1279409090909092,1.3077227272727276
1991-11-01,,0.5619629232512706,1.1301736842105263,1.296321052631579
1991-12-01,,0.547491987060227,1.146652380952381,1.2803952380952384
1992-01-01,,0.5530204928705129,1.157057142857143,1.254614285714286
1992-02-01,,0.5626359963248907,1.182457894736842,1.2769894736842105
1992-03-01,,0.5801291643396244,1.1928363636363637,1.3286272727272728
1992-04-01,,0.5693127225416252,1.1874318181818182,1.3353954545454547
1992-05-01,,0.552697234889796,1.199075,1.3077099999999997
1992-06-01,,0.5391667044569713,1.1960454545454544,1.2683545454545457
1992-07-01,,0.5214874549486198,1.192404347826087,1.2588173913043477
1992-08-01,,0.5146712677707962,1.1907476190476192,1.2623095238095239
1992-09-01,,0.5437329386763545,1.2224761904761907,1.2259666666666666
1992-10-01,,0.6057169989784045,1.245304761904762,1.2116523809523811
1992-11-01,,0.6550158741002363,1.2674315789473685,1.2388000000000001
1992-12-01,,0.644915721082281,1.2724681818181818,1.240409090909091
1993-01-01,,0.6525964439228253,1.2779105263157893,1.2499315789473684
1993-02-01,,0.6947367211403318,1.2602263157894735,1.2075947368421054
1993-03-01,,0.6843164613775254,1.247073913043478,1.1701739130434787
1993-04-01,,0.6474958743973457,1.2620545454545455,1.1241136363636366
1993-05-01,,0.6461754185086366,1.269805,1.10343
1993-06-01,,0.6631787228697197,1.2789227272727273,1.074118181818182
1993-07-01,,0.6686993553177182,1.281966666666667,1.0769142857142857
1993-08-01,,0.6705805914326148,1.308013636363636,1.0376500000000002
1993-09-01,,0.6559295806804892,1.3214761904761905,1.0557476190476192
1993-10-01,,0.66576675888585,1.32629,1.0702000000000003
1993-11-01,,0.6753162080258754,1.317435,1.078765
1993-12-01,,0.670585907423319,1.3307608695652176,1.0991304347826087
1994-01-01,,0.670097373922205,1.31725,1.1144149999999997
1994-02-01,,0.6760933283962343,1.3424263157894736,1.0630105263157898
1994-03-01,,0.6702977592428817,1.3644391304347827,1.0509739130434783
1994-04-01,,0.674698964305138,1.3829714285714285,1.034842857142857
1994-05-01,,0.6648214433408149,1.3808380952380954,1.037533333333333
1994-06-01,,0.6552843600889665,1.3836318181818184,1.025263636363636
1994-07-01,,0.6465767774953434,1.3825749999999999,0.9844500000000002
1994-08-01,,0.6484285975824534,1.378317391304348,0.9994043478260871
1994-09-01,,0.6385816875598083,1.3540142857142858,0.9877428571428571
1994-10-01,,0.6226367113179647,1.3502699999999999,0.98353
1994-11-01,,0.6293808279655628,1.364665,0.98044
1994-12-01,,0.6415889501411162,1.3892523809523811,1.0018238095238092
1995-01-01,,0.6351334395605884,1.4132249999999997,0.9976600000000001
1995-02-01,,0.6361676245647679,1.4004894736842104,0.9823684210526317
1995-03-01,,0.6250012542770097,1.4076956521739132,0.905195652173913
1995-04-01,,0.62218427863828,1.3761999999999999,0.836895
1995-05-01,,0.6300698914695411,1.360872727272727,0.8511272727272725
1995-06-01,,0.6270483684055536,1.3775090909090908,0.8463545454545457
1995-07-01,,0.6268992277355804,1.3611699999999998,0.8739700000000001
1995-08-01,,0.6384297866937451,1.355217391304348,0.9473826086956522
1995-09-01,,0.6414879713516024,1.3509349999999996,1.0054549999999998
1995-10-01,,0.6337483138156771,1.3458190476190477,1.0083904761904763
