date,Gross domestic product,Fiscal surplus,Receipts,Interest payments,Expenditures,Debt securities,Liabilities,pi
1988-01-01,5073372.0,-180046.0,1552445.0,328028.0,1732491.0,3045720.0,4538955.0,58.087
1988-04-01,5190035.0,-173790.0,1570410.0,329475.0,1744200.0,3083399.0,4591788.0,58.667
1988-07-01,5282835.0,-160785.0,1606428.0,335147.0,1767213.0,3160087.0,4674813.0,59.385
1988-10-01,5399509.0,-170402.0,1641927.0,342259.0,1812329.0,3253588.0,4774628.0,59.932
1989-01-01,5511252.0,-148826.0,1699948.0,353961.0,1848774.0,3295321.0,4864352.0,60.508
1989-04-01,5612463.0,-174416.0,1713487.0,361618.0,1887903.0,3320748.0,4916365.0,61.163
1989-07-01,5695365.0,-184697.0,1735546.0,364646.0,1920243.0,3388834.0,5012554.0,61.617
1989-10-01,5747238.0,-206858.0,1746396.0,368164.0,1953254.0,3482102.0,5144702.0,62.037
1990-01-01,5872701.0,-223540.0,1777548.0,372969.0,2001088.0,3553709.0,5262918.0,62.713
1990-04-01,5960028.0,-240361.0,1801600.0,378083.0,2041961.0,3609227.0,5339691.0,63.415
1990-07-01,6015117.0,-238008.0,1833112.0,387698.0,2071120.0,3695960.0,5494948.0,63.963
1990-10-01,6004732.0,-256188.0,1858548.0,394541.0,2114736.0,3808532.0,5612057.0,64.452
1991-01-01,6035178.0,-240801.0,1850672.0,401352.0,2091473.0,3866839.0,5672310.0,65.078
1991-04-01,6126862.0,-305082.0,1870594.0,407506.0,2175676.0,3937423.0,5781959.0,65.547
1991-07-01,6205936.0,-331570.0,1899727.0,410168.0,2231297.0,4075825.0,5933139.0,66.05
1991-10-01,6264541.0,-356521.0,1929881.0,415738.0,2286402.0,4215937.0,6075921.0,66.434
1992-01-01,6363103.0,-390849.0,1948859.0,415512.0,2339708.0,4294953.0,6242583.0,66.7
1992-04-01,6470765.0,-397851.0,1980555.0,418034.0,2378406.0,4377857.0,6393715.0,67.098
1992-07-01,6566640.0,-420207.0,1998150.0,418523.0,2418357.0,4482513.0,6541113.0,67.419
1992-10-01,6680802.0,-412967.0,2034137.0,416795.0,2447104.0,4576348.0,6657531.0,67.894
1993-01-01,6729458.0,-419507.0,2038865.0,422046.0,2458372.0,4645880.0,6753083.0,68.298
1993-04-01,6808939.0,-384610.0,2089866.0,423147.0,2474476.0,4742175.0,6875279.0,68.701
1993-07-01,6882098.0,-393716.0,2115507.0,423813.0,2509223.0,4818136.0,6955062.0,69.046
1993-10-01,7013739.0,-346129.0,2191807.0,421965.0,2537936.0,4928209.0,7074217.0,69.452
1994-01-01,7115653.0,-335358.0,2197073.0,420578.0,2532431.0,4968478.0,7186145.0,69.807
1994-04-01,7246932.0,-304641.0,2253436.0,428726.0,2558077.0,4972877.0,7231489.0,70.14
1994-07-01,7331074.0,-313877.0,2284757.0,437619.0,2598634.0,5011810.0,7282245.0,70.514
1994-10-01,7455289.0,-324325.0,2322668.0,449398.0,2646993.0,5075762.0,7358041.0,70.907
1995-01-01,7522290.0,-321366.0,2362412.0,463265.0,2683778.0,5117940.0,7405749.0,71.311
1995-04-01,7580998.0,-325902.0,2385925.0,472866.0,2711827.0,5144842.0,7422996.0,71.661
1995-07-01,7683127.0,-318340.0,2411471.0,477271.0,2729811.0,5153606.0,7421090.0,71.982
1995-10-01,7772585.0,-284591.0,2433738.0,478622.0,2718329.0,5180113.0,7466530.0,72.322
1996-01-01,7868468.0,-281356.0,2488755.0,479068.0,2770111.0,5260349.0,7541897.0,72.655
1996-04-01,8032840.0,-238095.0,2564731.0,476378.0,2802826.0,5249914.0,7534982.0,72.952
1996-07-01,8131409.0,-222502.0,2583644.0,480154.0,2806146.0,5283049.0,7585101.0,73.306
1996-10-01,8259771.0,-190726.0,2643070.0,481854.0,2833796.0,5364421.0,7630081.0,73.616
1997-01-01,8362654.0,-169240.0,2680891.0,482644.0,2850131.0,5405377.0,7717599.0,73.946
1997-04-01,8518826.0,-149937.0,2724692.0,485340.0,2874629.0,5358434.0,7579667.0,74.314
1997-07-01,8662823.0,-105923.0,2784999.0,486849.0,2890922.0,5392830.0,7549111.0,74.535
1997-10-01,8765907.0,-110634.0,2825743.0,486412.0,2936377.0,5473449.0,7640517.0,74.802
1998-01-01,8866480.0,-55185.0,2870631.0,483715.0,2925816.0,5507946.0,7609855.0,74.878
1998-04-01,8969699.0,-44487.0,2909186.0,481296.0,2953673.0,5461304.0,7593115.0,75.072
