date,FRM,Spread
1989-01-01,10.73,1.6575
1989-02-01,10.645,1.45
1989-03-01,11.032,1.625
1989-04-01,11.05,1.895
1989-05-01,10.7725,1.98
1989-06-01,10.196,1.94
1989-07-01,9.8825,1.8825
1989-08-01,9.985,1.8725
1989-09-01,10.126,1.936
1989-10-01,9.9475,1.9925
1989-11-01,9.7675,1.8775
1989-12-01,9.744,1.908
1990-01-01,9.895,1.685
1990-02-01,10.1975,1.7575
1990-03-01,10.268,1.678
1990-04-01,10.37,1.55333
1990-05-01,10.4775,1.7475
1990-06-01,10.164,1.704
1990-07-01,10.035,1.57
1990-08-01,10.1,1.336
1990-09-01,10.175,1.3025
1990-10-01,10.1775,1.4925
1990-11-01,10.014,1.634
1990-12-01,9.6725,1.59
1991-01-01,9.6375,1.56
1991-02-01,9.365,1.5225
1991-03-01,9.5,1.375
1991-04-01,9.4925,1.46
1991-05-01,9.472,1.392
1991-06-01,9.615,1.33
1991-07-01,9.575,1.305
1991-08-01,9.244,1.328
1991-09-01,9.0075,1.3875
1991-10-01,8.855,1.3325
1991-11-01,8.712,1.304
1991-12-01,8.4975,1.43
1992-01-01,8.432,1.362
1992-02-01,8.7625,1.43
1992-03-01,8.935,1.3425
1992-04-01,8.8525,1.43667
1992-05-01,8.672,1.286
1992-06-01,8.51,1.2625
1992-07-01,8.128,1.2675
1992-08-01,7.975,1.41
1992-09-01,7.9225,1.5075
1992-10-01,8.088,1.486
1992-11-01,8.305,1.415
1992-12-01,8.206,1.45
1993-01-01,7.9925,1.415
1993-02-01,7.6825,1.47
1993-03-01,7.495,1.4825
1993-04-01,7.472,1.45
1993-05-01,7.465,1.3975
1993-06-01,7.4175,1.445
1993-07-01,7.206,1.404
1993-08-01,7.1125,1.445
1993-09-01,6.915,1.565
1993-10-01,6.834,1.506
1993-11-01,7.155,1.3975
1993-12-01,7.172,1.35667
1994-01-01,7.06,1.3375
1994-02-01,7.1525,1.1225
1994-03-01,7.675,1.19
1994-04-01,8.316,1.41
1994-05-01,8.5975,1.4025
1994-06-01,8.3975,1.305
1994-07-01,8.614,1.33
1994-08-01,8.5125,1.2475
1994-09-01,8.64,1.168
1994-10-01,8.925,1.19
1994-11-01,9.17,1.21333
1994-12-01,9.198,1.378
1995-01-01,9.1475,1.3875
1995-02-01,8.8275,1.36
1995-03-01,8.462,1.262
1995-04-01,8.32,1.24
1995-05-01,7.955,1.3625
1995-06-01,7.566,1.37
1995-07-01,7.6075,1.305
1995-08-01,7.86,1.35
1995-09-01,7.636,1.438
1995-10-01,7.475,1.445
1995-11-01,7.3775,1.4425
1995-12-01,7.2,1.504
1996-01-01,7.03,1.3725
1996-02-01,7.075,1.3125
1996-03-01,7.624,1.32
1996-04-01,7.925,1.385
1996-05-01,8.07,1.31
1996-06-01,8.32,1.4275
1996-07-01,8.245,1.36
1996-08-01,8.002,1.352
1996-09-01,8.23,1.4275
1996-10-01,7.915,1.3975
1996-11-01,7.618,1.404
1996-12-01,7.5975,1.2875
1997-01-01,7.824,1.248
1997-02-01,7.65,1.2425
1997-03-01,7.8975,1.2
1997-04-01,8.1425,1.2225
1997-05-01,7.944,1.252
1997-06-01,7.69,1.2475
1997-07-01,7.4975,1.24
1997-08-01,7.48,1.166
1997-09-01,7.43,1.2225
1997-10-01,7.294,1.258
1997-11-01,7.205,1.345
1997-12-01,7.095,1.3125
1998-01-01,6.994,1.426
1998-02-01,7.0425,1.47667
1998-03-01,7.1275,1.4875
1998-04-01,7.14,1.58
1998-05-01,7.144,1.492
1998-06-01,6.9975,1.5125
1998-07-01,6.952,1.475
1998-08-01,6.9225,1.62
1998-09-01,6.7225,1.93
1998-10-01,6.71,2.138
1998-11-01,6.865,2.02
1998-12-01,6.738,2.115
1999-01-01,6.785,2.08
1999-02-01,6.8075,1.7175
1999-03-01,7.04,1.82
1999-04-01,6.916,1.696
1999-05-01,7.145,1.565
1999-06-01,7.55,1.625
1999-07-01,7.632,1.812
1999-08-01,7.9425,2.01
1999-09-01,7.8225,1.9725
1999-10-01,7.852,1.78
1999-11-01,7.7375,1.7275
1999-12-01,7.912,1.65
2000-01-01,8.21,1.545
2000-02-01,8.325,1.8225
2000-03-01,8.24,1.998
2000-04-01,8.1525,2.17
2000-05-01,8.515,2.05
2000-06-01,8.288,2.19
2000-07-01,8.1475,2.1075
2000-08-01,8.0275,2.225
2000-09-01,7.912,2.132
2000-10-01,7.795,2.0675
2000-11-01,7.745,1.9975
2000-12-01,7.382,2.14
2001-01-01,7.0325,1.8675
2001-02-01,7.05,1.9475
2001-03-01,6.952,2.07
2001-04-01,7.0775,1.91667
2001-05-01,7.145,1.7325
2001-06-01,7.16,1.84
2001-07-01,7.1275,1.8875
2001-08-01,6.95,1.988
2001-09-01,6.8175,2.15
2001-10-01,6.6175,2.0275
2001-11-01,6.658,1.97
2001-12-01,7.065,1.8875
2002-01-01,6.9975,1.9625
2002-02-01,6.8925,1.9875
2002-03-01,7.014,1.7075
2002-04-01,6.985,1.8125
2002-05-01,6.806,1.658
2002-06-01,6.65,1.755
2002-07-01,6.485,1.8425
2002-08-01,6.29,2.028
2002-09-01,6.0925,2.23
2002-10-01,6.1125,2.1675
2002-11-01,6.068,2.006
2002-12-01,6.0475,2.0575
2003-01-01,5.916,1.876
2003-02-01,5.8425,1.9625
2003-03-01,5.745,1.9
