date,A191RX
1988-03-01,9367502.0
1988-04-01,9408532.666666666
1988-05-01,9449563.333333334
1988-06-01,9490594.0
1988-07-01,9509131.333333334
1988-08-01,9527668.666666666
1988-09-01,9546206.0
1988-10-01,9588605.666666666
1988-11-01,9631005.333333334
1988-12-01,9673405.0
1989-01-01,9706178.333333334
1989-02-01,9738951.666666666
1989-03-01,9771725.0
1989-04-01,9796581.0
1989-05-01,9821437.0
1989-06-01,9846293.0
1989-07-01,9870604.666666666
1989-08-01,9894916.333333334
1989-09-01,9919228.0
1989-10-01,9925741.0
1989-11-01,9932254.0
1989-12-01,9938767.0
1990-01-01,9974973.333333334
1990-02-01,10011179.666666666
1990-03-01,10047386.0
1990-04-01,10059542.333333334
1990-05-01,10071698.666666666
1990-06-01,10083855.0
1990-07-01,10086093.0
1990-08-01,10088331.0
1990-09-01,10090569.0
1990-10-01,10059947.333333334
1990-11-01,10029325.666666666
1990-12-01,9998704.0
1991-01-01,9983108.0
1991-02-01,9967512.0
1991-03-01,9951916.0
1991-04-01,9977780.666666666
1991-05-01,10003645.333333334
1991-06-01,10029510.0
1991-07-01,10046405.0
1991-08-01,10063300.0
1991-09-01,10080195.0
1991-10-01,10091906.333333334
1991-11-01,10103617.666666666
1991-12-01,10115329.0
1992-01-01,10155697.666666666
1992-02-01,10196066.333333334
1992-03-01,10236435.0
1992-04-01,10273433.0
1992-05-01,10310431.0
1992-06-01,10347429.0
1992-07-01,10381510.333333334
1992-08-01,10415591.666666666
1992-09-01,10449673.0
1992-10-01,10485998.0
1992-11-01,10522323.0
1992-12-01,10558648.0
1993-01-01,10564523.666666666
1993-02-01,10570399.333333334
1993-03-01,10576275.0
1993-04-01,10596799.0
1993-05-01,10617323.0
1993-06-01,10637847.0
1993-07-01,10654766.666666666
1993-08-01,10671686.333333334
1993-09-01,10688606.0
1993-10-01,10737066.333333334
1993-11-01,10785526.666666666
1993-12-01,10833987.0
1994-01-01,10869030.0
1994-02-01,10904073.0
1994-03-01,10939116.0
1994-04-01,10988531.0
1994-05-01,11037946.0
1994-06-01,11087361.0
1994-07-01,11108966.0
1994-08-01,11130571.0
1994-09-01,11152176.0
1994-10-01,11194761.333333334
1994-11-01,11237346.666666666
1994-12-01,11279932.0
1995-01-01,11293271.666666666
1995-02-01,11306611.333333334
1995-03-01,11319951.0
1995-04-01,11331207.666666666
1995-05-01,11342464.333333334
1995-06-01,11353721.0
1995-07-01,11385917.333333334
