date,AM
1989-01-03,413.6
1989-01-04,410.5
1989-01-05,408.0
1989-01-06,408.45
1989-01-09,404.45
1989-01-10,405.5
1989-01-11,403.5
1989-01-12,404.85
1989-01-13,403.5
1989-01-16,401.75
1989-01-17,402.1
1989-01-18,402.85
1989-01-19,402.3
1989-01-20,404.5
1989-01-23,407.75
1989-01-24,407.8
1989-01-25,404.75
1989-01-26,406.0
1989-01-27,402.05
1989-01-30,394.3
1989-01-31,394.85
1989-02-01,392.0
1989-02-02,392.7
1989-02-03,390.85
1989-02-06,390.25
1989-02-07,391.45
1989-02-08,390.4
1989-02-09,394.1
1989-02-10,393.8
1989-02-13,386.7
1989-02-14,385.65
1989-02-15,381.7
1989-02-16,384.25
1989-02-17,378.95
1989-02-20,382.15
1989-02-21,382.75
1989-02-22,386.0
1989-02-23,389.0
1989-02-24,389.25
1989-02-27,390.75
1989-02-28,386.75
1989-03-01,386.1
1989-03-02,384.1
1989-03-03,386.5
1989-03-06,388.4
1989-03-07,386.3
1989-03-08,393.1
1989-03-09,392.5
1989-03-10,397.0
1989-03-13,393.1
1989-03-14,394.3
1989-03-15,394.45
1989-03-16,391.0
1989-03-17,389.25
1989-03-20,395.3
1989-03-21,394.1
1989-03-22,393.4
1989-03-23,396.0
1989-03-28,391.25
1989-03-29,383.3
1989-03-30,384.0
1989-03-31,382.3
1989-04-03,385.3
1989-04-04,386.6
1989-04-05,384.4
1989-04-06,384.2
1989-04-07,384.4
1989-04-10,381.6
1989-04-11,384.75
1989-04-12,384.15
1989-04-13,387.8
1989-04-14,388.55
1989-04-17,385.15
1989-04-18,385.25
1989-04-19,382.9
1989-04-20,383.9
1989-04-21,385.25
1989-04-24,383.9
1989-04-25,385.85
1989-04-26,384.4
1989-04-27,384.75
1989-04-28,381.3
1989-05-02,376.9
1989-05-03,376.5
1989-05-04,378.2
1989-05-05,377.3
1989-05-08,377.15
1989-05-09,376.0
1989-05-10,378.1
1989-05-11,377.7
1989-05-12,379.65
1989-05-15,374.25
1989-05-16,374.4
1989-05-17,373.7
1989-05-18,371.0
1989-05-19,366.25
1989-05-22,359.25
1989-05-23,363.4
1989-05-24,362.5
1989-05-25,363.3
1989-05-26,367.2
1989-05-30,362.1
1989-05-31,363.5
1989-06-01,360.8
1989-06-02,362.7
1989-06-05,367.7
1989-06-06,365.0
1989-06-07,375.5
1989-06-08,374.6
1989-06-09,371.25
1989-06-12,358.5
1989-06-13,360.5
1989-06-14,361.6
1989-06-15,360.35
1989-06-16,365.75
1989-06-19,363.6
1989-06-20,366.5
1989-06-21,365.7
1989-06-22,370.4
1989-06-23,369.5
1989-06-26,375.3
1989-06-27,373.55
1989-06-28,373.75
1989-06-29,376.3
1989-06-30,371.15
1989-07-03,375.4
1989-07-04,377.5
1989-07-05,378.4
1989-07-06,384.3
1989-07-07,383.6
1989-07-10,382.45
1989-07-11,381.35
1989-07-12,379.5
1989-07-13,377.1
1989-07-14,375.0
1989-07-17,370.9
1989-07-18,369.7
1989-07-19,371.5
1989-07-20,368.8
1989-07-21,372.25
1989-07-24,372.0
1989-07-25,372.8
1989-07-26,371.5
1989-07-27,374.3
1989-07-28,371.95
1989-07-31,369.1
1989-08-01,369.95
1989-08-02,369.9
1989-08-03,369.8
1989-08-04,371.55
1989-08-07,367.25
1989-08-08,366.2
1989-08-09,365.15
1989-08-10,366.4
1989-08-11,364.4
1989-08-14,363.0
1989-08-15,364.7
1989-08-16,367.6
1989-08-17,366.0
1989-08-18,366.3
1989-08-21,365.5
1989-08-22,366.0
1989-08-23,366.8
1989-08-24,363.6
1989-08-25,361.15
1989-08-29,360.0
1989-08-30,361.2
1989-08-31,359.6
1989-09-01,358.25
1989-09-04,358.75
1989-09-05,358.1
1989-09-06,360.0
1989-09-07,359.2
1989-09-08,359.85
1989-09-11,358.1
1989-09-12,358.95
1989-09-13,358.8
1989-09-14,359.8
1989-09-15,359.65
1989-09-18,360.1
1989-09-19,360.65
1989-09-20,360.75
1989-09-21,362.95
1989-09-22,364.1
1989-09-25,368.75
1989-09-26,366.6
1989-09-27,369.3
1989-09-28,366.1
1989-09-29,369.0
1989-10-02,366.45
1989-10-03,365.0
1989-10-04,366.05
1989-10-05,366.9
1989-10-06,363.6
1989-10-09,362.95
1989-10-10,362.3
1989-10-11,360.4
1989-10-12,362.55
1989-10-13,362.9
1989-10-16,366.45
1989-10-17,365.65
1989-10-18,368.1
1989-10-19,368.5
1989-10-20,366.7
1989-10-23,365.8
1989-10-24,366.4
1989-10-25,368.35
1989-10-26,368.45
1989-10-27,371.55
1989-10-30,378.5
1989-10-31,376.05
1989-11-01,373.6
1989-11-02,373.85
1989-11-03,378.85
1989-11-06,378.15
1989-11-07,385.5
1989-11-08,386.95
1989-11-09,387.4
1989-11-10,386.45
1989-11-13,389.05
1989-11-14,390.75
1989-11-15,390.5
1989-11-16,389.1
1989-11-17,393.85
1989-11-20,396.05
1989-11-21,400.3
1989-11-22,406.6
1989-11-23,408.1
1989-11-24,415.8
1989-11-27,417.15
1989-11-28,410.4
1989-11-29,410.75
1989-11-30,406.8
1989-12-01,414.15
1989-12-04,409.9
1989-12-05,402.6
1989-12-06,402.05
1989-12-07,405.75
1989-12-08,408.85
1989-12-11,414.0
1989-12-12,416.1
1989-12-13,417.1
1989-12-14,409.45
1989-12-15,410.35
1989-12-18,411.65
1989-12-19,411.3
1989-12-20,413.15
1989-12-21,413.0
1989-12-22,413.2
1989-12-27,409.45
1989-12-28,400.4
1989-12-29,401.0
1990-01-02,401.65
1990-01-03,396.3
1990-01-04,394.95
1990-01-05,401.2
1990-01-08,403.75
1990-01-09,402.7
1990-01-10,405.85
1990-01-11,413.55
1990-01-12,413.9
1990-01-15,415.3
1990-01-16,415.25
1990-01-17,410.6
1990-01-18,413.6
1990-01-19,410.6
1990-01-22,408.7
1990-01-23,408.6
1990-01-24,413.75
1990-01-25,417.15
1990-01-26,419.1
1990-01-29,420.75
1990-01-30,417.8
1990-01-31,417.55
1990-02-01,413.25
1990-02-02,417.35
1990-02-05,418.75
1990-02-06,421.4
1990-02-07,419.9
1990-02-08,418.5
1990-02-09,418.5
1990-02-12,415.25
1990-02-13,419.75
1990-02-14,416.0
1990-02-15,417.05
1990-02-16,414.9
1990-02-19,416.95
1990-02-20,419.05
1990-02-21,420.6
1990-02-22,418.0
1990-02-23,415.0
1990-02-26,412.75
1990-02-27,408.8
1990-02-28,409.1
1990-03-01,406.25
1990-03-02,406.4
1990-03-05,403.0
1990-03-06,404.8
1990-03-07,402.6
1990-03-08,401.4
1990-03-09,399.7
1990-03-12,400.4
1990-03-13,397.35
1990-03-14,398.8
1990-03-15,397.6
1990-03-16,399.2
1990-03-19,401.25
1990-03-20,400.8
1990-03-21,389.9
1990-03-22,392.25
1990-03-23,393.6
1990-03-26,379.25
1990-03-27,369.75
1990-03-28,373.3
1990-03-29,370.75
1990-03-30,372.2
1990-04-02,368.0
1990-04-03,374.8
1990-04-04,374.25
1990-04-05,378.1
1990-04-06,380.35
1990-04-09,378.85
1990-04-10,375.3
1990-04-11,374.1
1990-04-12,375.25
1990-04-17,373.85
1990-04-18,374.7
1990-04-19,376.6
1990-04-20,376.8
1990-04-23,375.65
1990-04-24,377.95
1990-04-25,374.8
1990-04-26,371.35
1990-04-27,371.4
1990-04-30,371.55
1990-05-01,368.95
1990-05-02,370.5
1990-05-03,369.15
1990-05-04,371.4
1990-05-08,372.1
1990-05-09,369.7
1990-05-10,371.0
1990-05-11,368.25
1990-05-14,368.3
1990-05-15,367.4
1990-05-16,369.6
