date,Monthly,MA3
1994-02-01,3.6588184565304,
1994-03-01,3.51112739042959,
1994-04-01,3.68565848238794,3.61853477644931
1994-05-01,3.16667661760239,3.45448749680664
1994-06-01,3.44133021104302,3.43122177034445
1994-07-01,3.23332480813815,3.280443878927853
1994-08-01,3.10829440123881,3.2609831401399934
1994-09-01,3.76282971262666,3.3681496406678733
1994-10-01,3.00279555022696,3.2913065546974765
1994-11-01,2.65223522851261,3.13928683045541
1994-12-01,3.41864245175461,3.0245577434980597
1995-01-01,3.05660103812453,3.042492906130583
1995-02-01,3.22638381317764,3.233875767685593
1995-03-01,3.00567726106149,3.09622070412122
1995-04-01,3.01093662324124,3.080999232493457
1995-05-01,3.01708795920726,3.011233947836663
1995-06-01,3.38294754982316,3.1369907107572197
1995-07-01,3.03195957005899,3.14399835969647
1995-08-01,2.91736204461295,3.1107563881650333
1995-09-01,3.43167916618242,3.127000260284787
1995-10-01,3.11893219125736,3.1559911340175772
1995-11-01,3.25381495249745,3.2681421033124103
1995-12-01,2.84435060241325,3.072365915389353
1996-01-01,2.93968302852566,3.012616194478787
1996-02-01,2.94522318207534,2.90975227100475
1996-03-01,2.99136514664378,2.958757119081593
1996-04-01,2.95996669495509,2.965518341224737
1996-05-01,3.27111630103343,3.074149380877433
1996-06-01,2.87393213279604,3.0350050429281867
1996-07-01,2.95041001596737,3.031819483265613
1996-08-01,3.21695746293108,3.0137665372314966
1996-09-01,2.77548896294154,2.9809521472799965
1996-10-01,2.73559264573511,2.9093463572025766
1996-11-01,3.00469992999733,2.8385938462246596
1996-12-01,2.66165600002404,2.80064952525216
1997-01-01,3.13240988737989,2.9329219391337538
1997-02-01,2.87106297720473,2.888376288202887
1997-03-01,2.98825491750226,2.9972425940289598
1997-04-01,2.8442732050766,2.9011970332611967
1997-05-01,3.06728910816849,2.9666057435824498
1997-06-01,2.82705503746175,2.912872450235613
1997-07-01,2.85608581893996,2.916809988190067
1997-08-01,3.13034932002109,2.9378300588076
1997-09-01,2.91354761513996,2.96666091803367
1997-10-01,3.19946948779036,3.0811221409838034
1997-11-01,2.91695710393295,3.0099914022877563
1997-12-01,3.09062029806234,3.06901562992855
1998-01-01,2.85353389601761,2.9537037660043004
1998-02-01,2.91788906344487,2.9540144191749405
1998-03-01,2.8847441670125,2.8853890421583266
1998-04-01,3.47426659076886,3.0922999404087435
1998-05-01,2.78541757195023,3.0481427765771962
1998-06-01,2.87150834190761,3.0437308348755665
1998-07-01,3.13500401132344,2.93064330839376
1998-08-01,2.87987063489888,2.962127662709977
1998-09-01,2.73342236944567,2.9160990052226636
1998-10-01,3.071195341844,2.8948294487295168
1998-11-01,2.64986345223986,2.818160387843177
1998-12-01,2.9724015515732,2.89782011521902
1999-01-01,2.80999405637715,2.8107530200634034
1999-02-01,2.84681409256327,2.87640323350454
1999-03-01,2.84523010315379,2.83401275069807
1999-04-01,3.53450930858076,3.07551783476594
1999-05-01,2.79627428343407,3.0586712317228737
1999-06-01,2.76735129632286,3.0327116294458967
1999-07-01,3.01553928888981,2.859721622882247
1999-08-01,2.82786774997241,2.870252778395027
1999-09-01,3.25426859951788,3.0325585461266997
1999-10-01,2.8680820313834,2.9834061269578966
1999-11-01,2.91819100660614,3.0135138791691403
1999-12-01,3.35802705175911,3.048100029916217
2000-01-01,3.03469623428688,3.1036380975507103
2000-02-01,2.96861585592819,3.1204463806580605
2000-03-01,3.29883070652875,3.100714265581273
2000-04-01,3.18718473793141,3.1515437667961166
2000-05-01,3.14442457506286,3.2101466731743398
2000-06-01,3.26754684616123,3.1997187197185
2000-07-01,2.85643252988968,3.0894679837045893
2000-08-01,2.87093383603296,2.9983044040279565
2000-09-01,3.17311519534281,2.9668271870884837
2000-10-01,2.93175186434535,2.99193363190704
2000-11-01,3.11778825059525,3.074218436761137
2000-12-01,2.64308199774163,2.89754070422741
2001-01-01,3.02104242814899,2.92730422549529
2001-02-01,3.18801140543951,2.95071194377671
2001-03-01,2.75558346918792,2.988212434258807
2001-04-01,2.81753769388724,2.920377522838223
2001-05-01,2.58864971079177,2.7205902912889766
2001-06-01,2.82929765812634,2.745161687601783
2001-07-01,2.79836828083278,2.738771883250297
2001-08-01,3.19957647517287,2.942414138043997
2001-09-01,2.64577594807421,2.881240234693287
2001-10-01,2.61857697620846,2.821309799818513
2001-11-01,2.77120104229655,2.6785179888597397
2001-12-01,2.54837961252834,2.6460525436777833
2002-01-01,2.5821455348268,2.633908729883897
2002-02-01,2.81533583667216,2.6486203280091
2002-03-01,2.61394931245905,2.6704768946526705
2002-04-01,2.56924893530872,2.666178028146643
2002-05-01,2.90353876252994,2.69557900343257
2002-06-01,2.60170644005933,2.6914980459659965
2002-07-01,2.61499116692581,2.706745456505027
2002-08-01,2.71384065772745,2.643512754904197
2002-09-01,2.43842110427684,2.5890843096433667
2002-10-01,2.55156144210956,2.56794106803795
2002-11-01,2.63537795148792,2.5417868326247732
2002-12-01,2.24732621091516,2.4780885348375468
2003-01-01,2.65296228161482,2.5118888146726333
2003-02-01,2.33503393121313,2.411774141247703
2003-03-01,2.43436405335694,2.474120088728297
2003-04-01,2.38506893228369,2.38482230561792
2003-05-01,2.7007046043046,2.5067125299817437
2003-06-01,2.33782523770881,2.4745329247657
2003-07-01,2.39140122427779,2.4766436887637333
2003-08-01,2.45458977629716,2.394605412761253
2003-09-01,2.43587591725995,2.4272889726116333
2003-10-01,2.45916564910483,2.4498771142206466
2003-11-01,2.18720653337392,2.3607493665795665
2003-12-01,2.49203066628745,2.3794676162554
