date,ALL_S,label,label2,FILL
2024-06-01,-0.0028741138149102063,Jun\\`24,,0
2024-07-01,0.1389194937581939,Jul,Jul,0
2024-08-01,0.1801853517281904,Aug,,0
2024-09-01,0.22920373984103293,Sep,,0
2024-10-01,0.2264563237849071,Oct,Oct,0
2024-11-01,0.2804502414724075,Nov,,0
2024-12-01,0.36467171645351293,Dec,,0
2025-01-01,0.46693513600313263,Jan\\`25,Jan\\2025,0
2025-02-01,0.2159292479143371,Feb,,0
2025-03-01,-0.05003518098661841,Mar,,0
2025-04-01,0.2208907591946696,Apr,Apr,0
2025-05-01,0.08085639093282637,May,,0
2025-06-01,0.2869798490236386,Jun,,0
2025-07-01,0.19657853810264303,Jul,Jul,0
2025-08-01,0.3824519141221616,Aug,,0
2025-09-01,0.310486015759337,Sep,,0
2025-10-01,0.10219873723671391,Oct,Oct,0
2025-11-01,0.10209439805113352,Nov,,0
2025-12-01,0.3073552984176775,Dec,,0
2026-01-01,,Jan\\`26,Jan\\2026,0
