date,Employed,NILF,Unemployed,Children,Population
1989-01-01,115.377056,66.090892,7.467343,53.501872,242.43716299999997
1989-02-01,115.401944,66.653768,7.0054965,53.561328,242.6225365
1989-03-01,116.256696,66.359848,6.559318,53.604896,242.780758
1989-04-01,116.920128,66.00824,6.3674275,53.660516,242.9563115
1989-05-01,117.686776,65.482048,6.277932,53.700736,243.147492
1989-06-01,119.637472,62.775116,7.1757355,53.780156,243.3684795
1989-07-01,120.48088,62.28212,6.9728715,53.852552,243.5884235
1989-08-01,119.920784,63.492376,6.445432,53.949852,243.808444
1989-09-01,117.999456,65.539416,6.4546865,54.047828,244.04138650000002
1989-10-01,118.734712,65.12602,6.2842875,54.118268,244.2632875
1989-11-01,118.668896,65.031928,6.59655,54.195668,244.493042
1989-12-01,118.124104,65.920152,6.4075805,54.253396,244.70523250000002
1990-01-01,117.360352,66.882904,7.554344,55.390988,247.18858799999998
1990-02-01,117.512528,66.972972,7.4181495,55.457472,247.3611215
1990-03-01,118.3436,66.7018,6.9744865,55.535676,247.5555625
1990-04-01,118.739848,66.652724,6.7802445,55.617752,247.7905685
1990-05-01,119.733864,65.863364,6.71508,55.6962,248.008508
1990-06-01,121.308648,64.029664,7.1247605,55.780632,248.2437045
1990-07-01,121.637688,63.565892,7.3952595,55.864772,248.4636115
1990-08-01,120.653896,64.90488,7.1955805,55.954372,248.70872850000003
1990-09-01,119.218392,66.58542,7.129752,56.046976,248.98054
1990-10-01,119.68436,66.446716,6.975343,56.132348,249.23876700000002
1990-11-01,118.801512,66.933376,7.520495,56.217436,249.47281900000002
1990-12-01,118.395392,67.299496,7.697622,56.301896,249.694406
1991-01-01,116.172888,68.453184,8.912847,56.37052,249.909439
1991-02-01,116.200008,68.165496,9.280208,56.445748,250.09145999999998
1991-03-01,116.793464,67.86688,9.101788,56.50824,250.270372
1991-04-01,118.024232,67.461696,8.410233,56.592616,250.488777
1991-05-01,117.910648,67.49988,8.612212,56.68326,250.706
1991-06-01,119.856304,65.038156,9.26936,56.784452,250.94827199999997
1991-07-01,120.433976,64.903212,8.975155,56.858796,251.17113899999998
1991-08-01,119.283064,66.565928,8.632144,56.946764,251.42790000000002
1991-09-01,118.534592,67.697536,8.438786,57.032548,251.70346199999997
1991-10-01,118.64296,67.846472,8.38695,57.106092,251.98247400000002
1991-11-01,118.33636,68.031664,8.680165,57.175504,252.22369299999997
1991-12-01,117.712032,68.563064,8.929827,57.233036,252.43795899999998
1992-01-01,116.09024,68.908024,10.370894,57.295444,252.664602
1992-02-01,116.223168,68.671904,10.601829,57.359072,252.855973
1992-03-01,117.29524,68.384256,9.963374,57.413436,253.05630599999998
1992-04-01,118.2868,68.261896,9.267566,57.496136,253.312398
1992-05-01,118.91196,67.515536,9.557051,57.570388,253.554935
1992-06-01,120.58728,64.9053,10.676775,57.661452,253.830807
1992-07-01,121.638632,64.436704,10.274212,57.725668,254.075216
1992-08-01,120.633808,66.15372,9.768898,57.800544,254.35697000000002
1992-09-01,119.32524,68.013952,9.445802,57.86148,254.64647399999998
1992-10-01,119.49948,68.534616,8.974585,57.932252,254.940933
1992-11-01,119.458304,68.492328,9.244784,57.996388,255.191804
1992-12-01,119.343504,68.852648,9.168931,58.063072,255.42815499999998
