date,Age2554,Age1664,Age55plus
2008-06-01,34.1,31.4,11.7
2008-07-01,35.6,32.5,12.5
2008-08-01,36.1,32.5,12.4
2008-09-01,36.6,32.7,12.6
2008-10-01,36.2,31.6,12.5
2008-11-01,35.7,31.4,12.5
2008-12-01,33.6,30.4,13.0
2009-01-01,34.6,30.5,12.7
2009-02-01,33.9,30.4,12.2
2009-03-01,33.8,30.5,12.2
2009-04-01,33.8,30.8,12.3
2009-05-01,33.2,30.8,12.6
2009-06-01,32.6,30.4,12.5
2009-07-01,32.9,30.6,12.3
2009-08-01,31.8,28.7,11.8
2009-09-01,31.7,28.2,12.0
2009-10-01,33.0,28.1,11.1
2009-11-01,33.1,28.5,11.5
2009-12-01,32.5,28.6,12.0
2010-01-01,32.7,28.7,11.9
2010-02-01,31.6,29.1,12.4
2010-03-01,32.9,30.0,12.6
2010-04-01,32.0,28.9,12.2
2010-05-01,30.9,28.9,13.0
2010-06-01,31.2,28.5,12.3
2010-07-01,30.2,27.5,11.9
2010-08-01,31.8,28.4,11.9
2010-09-01,32.0,28.5,11.5
2010-10-01,31.6,28.2,11.5
2010-11-01,32.0,28.3,11.7
2010-12-01,31.2,27.9,11.6
2011-01-01,30.5,26.8,11.5
2011-02-01,28.5,26.3,12.0
2011-03-01,29.1,26.6,12.0
2011-04-01,29.4,26.6,12.0
2011-05-01,29.1,26.8,12.1
2011-06-01,29.4,26.7,12.0
2011-07-01,29.3,26.9,11.8
2011-08-01,29.2,26.8,11.9
2011-09-01,30.0,27.1,12.1
2011-10-01,31.7,28.2,12.4
2011-11-01,30.7,27.6,12.3
2011-12-01,30.7,27.4,11.9
2012-01-01,29.6,26.7,11.9
2012-02-01,27.6,25.2,11.8
2012-03-01,29.0,25.9,11.7
2012-04-01,29.3,26.8,12.4
2012-05-01,29.8,27.4,12.5
2012-06-01,30.1,27.3,12.2
2012-07-01,29.5,26.8,12.5
2012-08-01,29.5,27.0,12.7
2012-09-01,30.4,27.7,12.6
2012-10-01,31.3,28.4,13.1
2012-11-01,31.1,27.4,12.6
2012-12-01,31.6,27.3,12.2
2013-01-01,30.8,26.9,12.4
2013-02-01,31.1,27.5,12.4
2013-03-01,30.7,27.3,12.1
2013-04-01,30.4,27.3,12.5
2013-05-01,30.2,27.2,12.2
2013-06-01,28.9,26.3,11.7
2013-07-01,29.0,26.4,11.7
2013-08-01,29.1,26.4,12.1
2013-09-01,31.1,27.7,12.1
2013-10-01,30.3,26.8,11.5
2013-11-01,29.9,26.5,11.1
2013-12-01,28.4,25.2,11.2
2014-01-01,27.4,24.1,10.7
2014-02-01,27.3,24.7,11.6
2014-03-01,28.2,25.5,11.5
2014-04-01,28.4,25.3,11.6
2014-05-01,28.5,25.8,11.8
2014-06-01,28.4,25.4,11.6
2014-07-01,29.2,26.1,11.4
2014-08-01,30.6,26.3,11.2
2014-09-01,31.0,26.9,11.6
2014-10-01,30.6,27.1,11.8
2014-11-01,30.1,26.9,11.9
2014-12-01,29.6,27.7,12.5
2015-01-01,28.9,26.7,12.1
2015-02-01,30.3,27.3,11.7
2015-03-01,30.5,27.2,11.6
2015-04-01,30.8,26.9,11.3
2015-05-01,31.3,27.8,11.5
2015-06-01,31.5,27.7,11.7
2015-07-01,30.3,27.2,12.0
2015-08-01,30.9,26.9,11.4
2015-09-01,30.6,26.5,11.1
2015-10-01,30.2,26.4,11.5
2015-11-01,30.3,25.9,10.9
2015-12-01,30.5,26.6,11.4
2016-01-01,30.2,26.6,11.8
2016-02-01,29.6,25.9,11.8
2016-03-01,30.9,27.3,12.2
2016-04-01,31.2,27.9,12.3
2016-05-01,32.5,28.3,12.3
2016-06-01,31.8,28.0,12.1
2016-07-01,31.7,28.1,12.0
2016-08-01,31.3,27.1,11.7
2016-09-01,31.7,27.9,12.2
2016-10-01,32.1,28.0,12.1
2016-11-01,32.0,27.7,12.2
2016-12-01,32.8,28.7,12.3
2017-01-01,30.5,27.1,11.8
2017-02-01,31.6,28.1,12.6
2017-03-01,32.6,28.6,12.1
2017-04-01,31.9,28.2,12.0
2017-05-01,34.4,29.2,11.8
2017-06-01,34.4,29.8,12.2
2017-07-01,34.3,29.7,11.9
2017-08-01,33.8,29.5,12.4
2017-09-01,35.1,30.4,13.0
2017-10-01,35.0,30.5,13.0
2017-11-01,34.5,30.1,12.6
2017-12-01,35.7,30.7,12.3
2018-01-01,34.2,29.9,12.0
2018-02-01,36.3,30.5,11.9
2018-03-01,37.1,31.7,12.2
2018-04-01,36.9,30.5,12.0
2018-05-01,36.3,29.6,11.9
2018-06-01,35.2,29.5,11.9
2018-07-01,34.6,29.3,12.0
2018-08-01,35.5,30.2,12.5
2018-09-01,36.6,31.4,13.0
2018-10-01,37.5,31.4,12.9
2018-11-01,37.1,30.7,12.6
2018-12-01,36.7,30.4,12.2
2019-01-01,35.6,29.7,11.7
2019-02-01,35.8,29.9,12.2
2019-03-01,37.5,31.1,12.6
2019-04-01,36.6,31.0,12.5
2019-05-01,36.9,30.6,12.4
2019-06-01,36.1,30.9,12.4
2019-07-01,36.0,31.2,12.2
2019-08-01,38.3,32.0,12.4
2019-09-01,37.5,31.4,12.0
2019-10-01,36.3,30.8,12.2
2019-11-01,37.7,31.2,11.9
2019-12-01,36.6,30.6,12.0
2020-01-01,38.0,30.7,11.5
2020-02-01,37.4,30.9,11.8
2020-03-01,37.7,31.6,12.1
2020-04-01,31.7,26.3,10.4
2020-05-01,32.6,27.7,10.7
2020-06-01,33.6,28.4,11.2
2020-07-01,32.4,28.1,11.1
2020-08-01,33.4,28.9,11.3
2020-09-01,33.5,28.3,11.4
2020-10-01,34.8,29.2,11.7
2020-11-01,34.5,29.1,11.2
2020-12-01,34.6,29.3,11.0
2021-01-01,33.8,28.7,10.8
2021-02-01,34.0,28.9,10.6
2021-03-01,34.8,29.7,11.4
2021-04-01,35.9,30.2,11.4
2021-05-01,36.1,30.4,11.4
2021-06-01,36.8,31.4,11.3
2021-07-01,35.5,30.8,11.5
2021-08-01,36.4,31.5,12.1
2021-09-01,38.9,32.9,12.7
2021-10-01,38.9,33.2,12.6
2021-11-01,41.4,34.6,13.0
2021-12-01,39.4,33.7,12.4
2022-01-01,39.8,33.7,12.2
2022-02-01,39.3,33.1,12.7
2022-03-01,40.3,34.1,12.9
2022-04-01,40.6,34.2,12.8
2022-05-01,41.2,34.3,13.0
2022-06-01,41.3,34.8,12.8
2022-07-01,40.1,34.2,12.7
2022-08-01,41.9,34.5,12.1
2022-09-01,41.2,34.8,13.0
2022-10-01,41.9,35.6,13.6
2022-11-01,41.7,36.4,14.4
2022-12-01,43.1,37.0,14.1
2023-01-01,42.7,36.7,13.9
2023-02-01,44.2,36.9,13.1
2023-03-01,43.6,36.5,12.9
2023-04-01,42.1,35.7,13.2
2023-05-01,44.1,36.8,13.4
2023-06-01,44.1,37.1,13.2
2023-07-01,44.8,37.4,13.2
2023-08-01,45.2,38.0,12.9
2023-09-01,44.0,37.3,12.7
2023-10-01,44.1,37.3,12.7
2023-11-01,44.9,38.2,13.1
2023-12-01,45.7,37.9,12.8
