date,Mortgage,HE Revolving,Auto Loan,Credit Card,Other,Total,Student Loan,Mortgage Total,Consumer Credit
1999-01-01,3.2,0.08,0.35,0.48,0.43,4.54,,3.28,1.26
1999-04-01,3.31,0.08,0.35,0.48,0.41,4.63,,3.39,1.24
1999-07-01,3.46,0.09,0.38,0.5,0.39,4.82,,3.55,1.27
1999-10-01,3.37,0.1,0.39,0.5,0.4,4.76,,3.47,1.29
2000-01-01,3.62,0.1,0.41,0.52,0.41,5.06,,3.72,1.34
2000-04-01,3.71,0.11,0.44,0.54,0.45,5.25,,3.82,1.43
2000-07-01,3.82,0.1,0.46,0.53,0.43,5.34,,3.92,1.42
2000-10-01,3.9,0.12,0.47,0.58,0.44,5.51,,4.02,1.49
2001-01-01,4.08,0.12,0.51,0.6,0.45,5.76,,4.2,1.56
2001-04-01,3.84,0.13,0.51,0.61,0.44,5.53,,3.97,1.56
2001-07-01,4.17,0.14,0.52,0.63,0.43,5.89,,4.31,1.58
2001-10-01,4.15,0.16,0.55,0.64,0.43,5.93,,4.31,1.62
2002-01-01,4.45,0.17,0.58,0.63,0.43,6.26,,4.62,1.64
2002-04-01,4.43,0.18,0.58,0.66,0.45,6.3,,4.61,1.69
2002-07-01,4.74,0.2,0.61,0.68,0.46,6.69,,4.94,1.75
2002-10-01,4.66,0.22,0.63,0.69,0.46,6.66,,4.88,1.78
2003-01-01,4.94,0.24,0.64,0.69,0.48,7.23,0.24,5.18,2.05
2003-04-01,5.08,0.26,0.62,0.69,0.49,7.38,0.24,5.34,2.04
2003-07-01,5.18,0.27,0.68,0.69,0.48,7.56,0.25,5.45,2.1
2003-10-01,5.66,0.3,0.7,0.7,0.45,8.07,0.25,5.96,2.1
2004-01-01,5.84,0.33,0.72,0.7,0.45,8.29,0.26,6.17,2.12
2004-04-01,5.97,0.37,0.74,0.7,0.42,8.46,0.26,6.33,2.13
2004-07-01,6.21,0.43,0.75,0.71,0.41,8.83,0.33,6.64,2.2
2004-10-01,6.36,0.47,0.73,0.72,0.42,9.04,0.35,6.83,2.21
2005-01-01,6.51,0.5,0.72,0.71,0.39,9.21,0.36,7.01,2.19
2005-04-01,6.7,0.53,0.77,0.72,0.4,9.49,0.37,7.22,2.27
2005-07-01,6.91,0.54,0.83,0.73,0.41,9.79,0.38,7.45,2.35
2005-10-01,7.1,0.56,0.79,0.74,0.42,10.0,0.39,7.67,2.34
2006-01-01,7.44,0.58,0.79,0.72,0.42,10.38,0.43,8.02,2.36
2006-04-01,7.76,0.59,0.8,0.74,0.42,10.75,0.44,8.35,2.4
2006-07-01,8.04,0.6,0.82,0.75,0.44,11.11,0.45,8.65,2.46
2006-10-01,8.23,0.6,0.82,0.77,0.41,11.31,0.48,8.84,2.48
2007-01-01,8.42,0.6,0.79,0.76,0.4,11.5,0.51,9.03,2.47
2007-04-01,8.71,0.62,0.81,0.8,0.41,11.85,0.51,9.32,2.52
2007-07-01,8.93,0.63,0.82,0.82,0.41,12.13,0.53,9.56,2.58
2007-10-01,9.1,0.65,0.82,0.84,0.42,12.37,0.55,9.75,2.62
2008-01-01,9.23,0.66,0.81,0.84,0.42,12.54,0.58,9.9,2.64
2008-04-01,9.27,0.68,0.81,0.85,0.4,12.6,0.59,9.95,2.65
2008-07-01,9.29,0.69,0.81,0.86,0.41,12.68,0.61,9.99,2.69
2008-10-01,9.26,0.7,0.79,0.87,0.41,12.67,0.64,9.96,2.71
2009-01-01,9.14,0.71,0.77,0.84,0.41,12.53,0.66,9.85,2.68
2009-04-01,9.06,0.71,0.74,0.82,0.39,12.41,0.68,9.78,2.63
2009-07-01,8.94,0.71,0.74,0.81,0.38,12.28,0.69,9.65,2.63
2009-10-01,8.84,0.71,0.72,0.8,0.38,12.17,0.72,9.55,2.62
2010-01-01,8.83,0.7,0.7,0.76,0.36,12.12,0.76,9.53,2.59
2010-04-01,8.7,0.68,0.7,0.74,0.35,11.94,0.76,9.39,2.56
2010-07-01,8.61,0.67,0.71,0.73,0.34,11.84,0.78,9.28,2.56
2010-10-01,8.45,0.67,0.71,0.73,0.34,11.71,0.81,9.12,2.59
2011-01-01,8.54,0.64,0.71,0.7,0.33,11.75,0.84,9.18,2.57
2011-04-01,8.52,0.62,0.71,0.69,0.33,11.73,0.85,9.14,2.59
2011-07-01,8.4,0.64,0.73,0.69,0.33,11.66,0.87,9.04,2.62
2011-10-01,8.27,0.63,0.73,0.7,0.33,11.54,0.87,8.9,2.64
2012-01-01,8.19,0.61,0.74,0.68,0.32,11.44,0.9,8.8,2.64
2012-04-01,8.15,0.59,0.75,0.67,0.31,11.38,0.91,8.74,2.65
2012-07-01,8.03,0.57,0.77,0.67,0.31,11.31,0.96,8.6,2.71
2012-10-01,8.03,0.56,0.78,0.68,0.32,11.34,0.97,8.6,2.74
2013-01-01,7.93,0.55,0.79,0.66,0.31,11.23,0.99,8.48,2.75
2013-04-01,7.84,0.54,0.81,0.67,0.3,11.15,0.99,8.38,2.77
2013-07-01,7.9,0.54,0.84,0.67,0.3,11.28,1.03,8.43,2.85
2013-10-01,8.05,0.53,0.86,0.68,0.32,11.52,1.08,8.58,2.94
2014-01-01,8.16,0.53,0.88,0.66,0.31,11.65,1.11,8.69,2.96
2014-04-01,8.1,0.52,0.9,0.67,0.32,11.63,1.12,8.62,3.02
2014-07-01,8.13,0.51,0.93,0.68,0.33,11.71,1.13,8.64,3.07
2014-10-01,8.17,0.51,0.96,0.7,0.34,11.83,1.16,8.68,3.15
2015-01-01,8.17,0.51,0.97,0.68,0.33,11.85,1.19,8.68,3.17
2015-04-01,8.12,0.5,1.01,0.7,0.34,11.85,1.19,8.62,3.24
2015-07-01,8.26,0.49,1.04,0.71,0.35,12.06,1.2,8.75,3.31
2015-10-01,8.25,0.49,1.06,0.73,0.35,12.12,1.23,8.74,3.38
2016-01-01,8.37,0.48,1.07,0.71,0.35,12.25,1.26,8.85,3.4
2016-04-01,8.36,0.48,1.1,0.73,0.36,12.29,1.26,8.84,3.45
2016-07-01,8.35,0.47,1.14,0.75,0.37,12.35,1.28,8.82,3.53
2016-10-01,8.48,0.47,1.16,0.78,0.38,12.58,1.31,8.95,3.62
2017-01-01,8.63,0.46,1.17,0.76,0.37,12.72,1.34,9.08,3.64
2017-04-01,8.69,0.45,1.19,0.78,0.38,12.84,1.34,9.14,3.7
2017-07-01,8.74,0.45,1.21,0.81,0.39,12.95,1.36,9.19,3.76
2017-10-01,8.88,0.44,1.22,0.83,0.39,13.15,1.38,9.33,3.82
2018-01-01,8.94,0.44,1.23,0.82,0.38,13.21,1.41,9.38,3.84
2018-04-01,9.0,0.43,1.24,0.83,0.39,13.29,1.4,9.43,3.86
2018-07-01,9.14,0.42,1.26,0.84,0.4,13.51,1.44,9.56,3.95
2018-10-01,9.12,0.41,1.27,0.87,0.41,13.54,1.46,9.54,4.01
