date,W005RC,W013RC
1989-01-01,18.7081,21.2499
1989-04-01,18.4,21.2778
1989-07-01,18.3813,21.2884
1989-10-01,18.4309,21.3939
1990-01-01,18.0942,21.4765
1990-04-01,18.1126,21.6025
1990-07-01,18.2455,21.5633
1990-10-01,18.5004,21.946
1991-01-01,18.1534,21.2314
1991-04-01,17.9694,21.9623
1991-07-01,17.9082,22.3113
1991-10-01,17.9323,22.561
1992-01-01,17.8019,22.9195
1992-04-01,17.7379,22.8172
1992-07-01,17.582,22.8233
1992-10-01,17.6975,22.7797
1993-01-01,17.6073,22.6224
1993-04-01,17.9747,22.5095
1993-07-01,17.9021,22.5354
1993-10-01,18.2978,22.4184
1994-01-01,18.0429,21.8246
1994-04-01,18.3429,21.6348
1994-07-01,18.2773,21.7802
1994-10-01,18.2997,21.7608
1995-01-01,18.4527,21.8352
1995-04-01,18.6836,21.889
1995-07-01,18.5321,21.7469
1995-10-01,18.5448,21.4266
1996-01-01,18.7638,21.6207
1996-04-01,19.0632,21.3059
1996-07-01,18.9934,21.0918
1996-10-01,19.2889,21.0075
1997-01-01,19.3152,20.7677
1997-04-01,19.3902,20.6113
1997-07-01,19.5021,20.2934
1997-10-01,19.542,20.3841
1998-01-01,19.6726,19.9492
1998-04-01,19.7504,19.8659
1998-07-01,19.8271,19.6088
1998-10-01,19.7449,19.5236
1999-01-01,19.7545,19.251
1999-04-01,19.7995,19.0895
1999-07-01,19.7855,19.0337
1999-10-01,19.846,18.9504
2000-01-01,20.4217,18.6697
2000-04-01,20.074,18.6508
2000-07-01,20.1244,18.5988
2000-10-01,20.0878,18.553
2001-01-01,20.1554,18.9395
2001-04-01,19.7983,18.9189
2001-07-01,18.0019,19.2238
2001-10-01,18.8762,19.1661
2002-01-01,17.2913,19.3773
2002-04-01,17.148,19.5593
2002-07-01,17.0093,19.5309
2002-10-01,16.9798,19.7469
2003-01-01,16.8947,19.8773
2003-04-01,16.9024,20.3018
2003-07-01,15.9036,19.9369
2003-10-01,16.494,19.934
2004-01-01,16.3722,19.9953
2004-04-01,16.5421,19.8011
2004-07-01,16.7635,19.7255
2004-10-01,16.7194,19.778
2005-01-01,17.5727,19.9135
2005-04-01,17.5965,19.957
2005-07-01,17.6248,19.8205
2005-10-01,17.903,20.0258
2006-01-01,18.2477,20.0238
2006-04-01,18.3127,20.0441
2006-07-01,18.4774,20.0591
2006-10-01,18.4538,19.7985
2007-01-01,18.7147,20.2214
2007-04-01,18.5907,20.2568
2007-07-01,18.3432,20.1912
2007-10-01,18.2011,20.356
2008-01-01,18.0061,20.8251
2008-04-01,17.6951,22.9321
2008-07-01,17.3439,21.6818
2008-10-01,17.1142,21.701
2009-01-01,15.4238,22.7563
2009-04-01,15.4756,24.5691
2009-07-01,15.4142,24.5997
2009-10-01,15.6804,24.4817
2010-01-01,16.0548,25.3058
2010-04-01,16.2012,25.0223
2010-07-01,16.4537,25.044
2010-10-01,16.4899,25.0165
2011-01-01,16.7844,25.0011
2011-04-01,16.6111,24.9101
2011-07-01,16.449,24.1636
2011-10-01,16.3752,23.9191
2012-01-01,16.6261,23.5487
2012-04-01,16.5877,23.3923
2012-07-01,16.5472,23.0275
2012-10-01,16.9238,23.2149
2013-01-01,18.0179,22.6646
2013-04-01,19.5239,22.7153
2013-07-01,18.2464,22.4103
2013-10-01,19.0117,22.0826
2014-01-01,19.0661,22.3962
2014-04-01,18.8972,22.2821
2014-07-01,18.6261,22.1688
2014-10-01,18.5528,21.9247
2015-01-01,18.8316,22.0669
2015-04-01,18.9047,21.9059
2015-07-01,18.7819,21.8791
2015-10-01,19.102,22.0577
2016-01-01,18.6101,22.1178
2016-04-01,18.4762,22.0353
2016-07-01,18.4574,22.0712
2016-10-01,18.3639,21.9601
2017-01-01,18.317,21.8078
2017-04-01,18.0816,21.684
2017-07-01,17.9993,21.7254
2017-10-01,17.7478,21.7057
2018-01-01,17.2528,21.7842
2018-04-01,17.1633,21.748
2018-07-01,17.4404,21.814
2018-10-01,17.3747,21.9659
2019-01-01,17.4001,22.2117
2019-04-01,17.3675,22.2106
2019-07-01,17.1881,22.2208
2019-10-01,17.3065,22.1571
2020-01-01,17.4066,22.7439
2020-04-01,17.7704,46.6549
2020-07-01,17.4216,34.0366
2020-10-01,,28.0903
