date,CPI
2017-09-01,1.9446000000000006
2017-10-01,2.0431500000000007
2017-11-01,2.124606666666667
2017-12-01,2.1077266666666667
2018-01-01,2.151246666666667
2018-02-01,2.181573333333334
2018-03-01,2.2485800000000005
2018-04-01,2.3551400000000005
2018-05-01,2.527956666666667
2018-06-01,2.6868233333333342
2018-07-01,2.814530000000001
2018-08-01,2.768196666666667
2018-09-01,2.6097000000000006
2018-10-01,2.489003333333334
2018-11-01,2.3238066666666675
2018-12-01,2.2139133333333336
2019-01-01,1.9001300000000005
2019-02-01,1.6910400000000003
2019-03-01,1.6412933333333337
2019-04-01,1.7883300000000004
2019-05-01,1.8794833333333338
2019-06-01,1.8116633333333336
2019-07-01,1.7409866666666671
2019-08-01,1.7254066666666672
2019-09-01,1.7477200000000004
2019-10-01,1.7441933333333337
2019-11-01,1.8493333333333337
2019-12-01,2.048456666666667
2020-01-01,2.2922033333333336
2020-02-01,2.3845766666666672
2020-03-01,2.1275366666666673
2020-04-01,1.4091316666666671
2020-05-01,0.7048280000000005
2020-06-01,0.4292126666666671
2020-07-01,0.6521910000000005
2020-08-01,1.0130780000000004
2020-09-01,1.2315633333333338
2020-10-01,1.287693333333334
2020-11-01,1.2405233333333339
2020-12-01,1.2240433333333338
2021-01-01,1.294793333333334
2021-02-01,1.4700600000000004
2021-03-01,1.9062200000000005
2021-04-01,2.818143333333334
2021-05-01,3.892033333333334
2021-06-01,4.77573
2021-07-01,5.139383333333334
2021-08-01,5.23047
2021-09-01,5.264476666666667
2021-10-01,5.603223333333335
2021-11-01,6.161256666666667
2021-12-01,6.764866666666667
2022-01-01,7.217376666666667
2022-02-01,7.581530000000001
2022-03-01,8.021783333333333
2022-04-01,8.232613333333333
2022-05-01,8.415106666666667
2022-06-01,8.554363333333333
2022-07-01,8.616166666666668
2022-08-01,8.52451
2022-09-01,8.28513
2022-10-01,8.068233333333334
2022-11-01,7.70423
2022-12-01,7.114260000000001
2023-01-01,6.642483333333334
2023-02-01,6.259513333333334
2023-03-01,5.773506666666667
2023-04-01,5.310183333333334
2023-05-01,4.690983333333334
2023-06-01,4.0593433333333335
2023-07-01,3.506640000000001
2023-08-01,3.366193333333334
2023-09-01,3.565493333333334
