date,Government,Oth_Serv,FIRE,GoodsTTU,label
2023-02-15 12:00:00,0.04,1.07,1.07,0.73,Q1
2023-05-16 12:00:00,0.06,0.09,0.22,2.14,Q2
2023-08-15 12:00:00,0.24,0.57,1.63,2.29,Q3
2023-11-15 12:00:00,0.37,0.72,0.58,1.72,Q4
2024-02-15 12:00:00,0.23,0.33,-0.13,0.39,Q1
2024-05-16 12:00:00,0.15,0.75,1.16,1.52,Q2
2024-08-15 12:00:00,0.3,1.03,0.54,1.44,Q3
2024-11-15 12:00:00,0.28,0.71,0.82,0.05,Q4
2025-02-15 12:00:00,0.13,-0.08,1.11,-1.73,Q1
2025-05-16 12:00:00,-0.35,1.15,1.79,1.2,Q2
2025-08-15 12:00:00,-0.03,1.33,1.26,1.81,Q3
2025-11-15 12:00:00,-0.9,0.44,0.55,0.41,Q4
