date,25-49.9,50-74.9,75-89.9,90-100,Less than 25
1989-07-01,49.8708,71.7825,101.728,284.833,29.7371
1992-07-01,49.4336,65.012,91.1418,215.097,31.1442
1995-07-01,52.313,68.0281,88.0647,235.157,30.9861
1998-07-01,53.1831,73.7851,105.98,277.847,31.9705
2001-07-01,57.1283,85.3106,113.286,386.126,34.5833
2004-07-01,57.2298,82.3651,119.274,345.345,33.8979
2007-07-01,57.4534,82.1693,114.71,427.619,35.9373
2010-07-01,53.7226,74.4184,104.656,349.532,38.401
2013-07-01,51.4962,72.2803,109.848,390.645,34.5209
2016-07-01,54.0314,79.6994,120.825,480.975,36.3977
2019-07-01,58.2066,80.5718,129.937,425.85,37.9104
