date,Black,Hispanic,Other,White
1989-01-01,10.635201,12.368904,18.712719,38.349987
1992-01-01,17.338333,11.669361,26.774481,43.387249
1995-01-01,19.643343,24.530325,38.961258,45.156506
1998-01-01,30.158224,21.389378,42.638615,54.710514
2001-01-01,35.76321,28.917555,47.139881,58.712444
2004-01-01,27.72868,20.238813,43.078758,58.694557
2007-01-01,33.51519,27.022551,49.820202,60.030991
2010-01-01,30.148008,24.973034,43.101933,58.189713
2013-01-01,31.803032,21.122581,40.650864,57.388252
2016-01-01,31.43763,28.100777,47.138847,61.006786
2019-01-01,33.527397,24.151184,53.844601,60.829376
2022-01-01,39.207043,28.302,56.768856,65.60717
