date,COLL/ADV,LTHS/HS,SC,Total
2019-07-01,1716.62,887.32,1068.27,1229.57
2019-10-01,1700.63,878.15,1071.54,1238.76
2020-01-01,1707.81,903.3,1078.73,1240.63
2020-04-01,1776.2,965.24,1145.13,1337.59
2020-07-01,1819.97,960.41,1142.71,1339.24
2020-10-01,1736.67,926.54,1112.11,1276.03
2021-01-01,1729.3,914.26,1095.82,1286.05
2021-04-01,1685.11,923.37,1098.13,1269.04
2021-07-01,1705.14,912.69,1092.86,1244.17
2021-10-01,1697.32,921.43,1101.34,1255.97
2022-01-01,1715.9,911.14,1067.63,1261.2
2022-04-01,1709.16,895.36,1071.68,1240.05
2022-07-01,1690.03,901.41,1068.7,1233.38
2022-10-01,1687.25,902.48,1067.54,1239.84
2023-01-01,1712.99,903.83,1079.24,1249.44
2023-04-01,1694.81,896.46,1065.82,1250.38
2023-07-01,1684.71,904.69,1059.89,1239.94
2023-10-01,1663.41,910.09,1080.37,1260.1
2024-01-01,1713.71,911.38,1074.23,1260.84
2024-04-01,1746.82,904.0,1075.29,1250.16
2024-07-01,1745.87,914.55,1088.15,1270.88
2024-10-01,1722.43,930.94,1082.73,1286.62
2025-01-01,1745.18,939.05,1093.78,1296.98
2025-04-01,1738.59,914.61,1092.71,1291.84
2025-07-01,1730.51,939.8,1080.44,1269.59
2025-10-01,1711.28,937.57,1081.72,1276.23
2026-02-01,1721.57,930.65,1116.84,1279.17
