date,total assets,net worth ,total liabilities,net saving including net capital transfers paid excluding consumer durables and government insurance and pension fund reserves ,net saving less net capital transfers paid including consumer durables and government insurance and pension fund reserves ,net saving less net capital transfers paid excluding consumer durables and government insurance and pension fund reserves ,personal saving excluding consumer durables and federal government life insurance reserves and Railroad Retirement Board and National Railroad Retirement Investment Trust pension fund reserves ,holding gains on assets at market value,net worth .1,total assets.1,net worth .2,total liabilities.1,holding gains on assets at market value.1,total assets.2,net worth .3,total liabilities.2,holding gains on assets at market value.2,changes in net worth due to nominal holding gains/losses excluding disaster-related losses on residential structures,total assets.3,net worth .4,total liabilities.3,net saving including net capital transfers paid excluding consumer durables and government insurance and pension fund reserves .1,net saving less net capital transfers paid including consumer durables and government insurance and pension fund reserves .1,net saving less net capital transfers paid excluding consumer durables and government insurance and pension fund reserves .1,personal saving excluding consumer durables and federal government life insurance reserves and Railroad Retirement Board and National Railroad Retirement Investment Trust pension fund reserves .1,holding gains on assets at market value.3,other volume changes,other volume changes
2013-01-01,1263266.0,1069482.0,193784.0,743247.0,870728.0,725046.0,743247.0,1075214.0,2846901.0,90140095.0,76262651.0,13877444.0,73030947.0,2157190.0,2157190.0,0.0,2172351.0,2155442.0,401502.0,412557.0,-11055.0,271472.0,310216.0,266922.0,284190.0,329941.0,276350.0,276351.0
2013-04-01,1337550.0,1204719.0,132831.0,827670.0,946161.0,808442.0,827671.0,353659.0,1204555.0,91357599.0,77467206.0,13890393.0,74140481.0,631211.0,631211.0,0.0,660871.0,629497.0,210395.0,172659.0,37736.0,197032.0,227837.0,192225.0,212744.0,73395.0,400413.0,400414.0
2013-07-01,1349939.0,1121286.0,228653.0,840887.0,956488.0,819963.0,840886.0,323678.0,2613031.0,94048488.0,80080237.0,13968251.0,76627055.0,2142768.0,2142768.0,0.0,2162957.0,2140461.0,270989.0,172043.0,98946.0,209457.0,263136.0,204226.0,216170.0,46429.0,297075.0,297075.0
2013-10-01,1515959.0,1178880.0,337079.0,793640.0,911789.0,771849.0,793641.0,994983.0,2440652.0,96570405.0,82520889.0,14049515.0,78924337.0,1908781.0,1908781.0,0.0,1931168.0,1906827.0,483793.0,386332.0,97461.0,123400.0,120102.0,117952.0,88258.0,237119.0,144634.0,144634.0
2014-01-01,1133902.0,966614.0,167288.0,918636.0,1042359.0,898284.0,918636.0,196812.0,1510339.0,98043214.0,84031228.0,14011986.0,80151768.0,1099633.0,1099633.0,-0.0,1130540.0,1097300.0,362284.0,385711.0,-23427.0,311728.0,313014.0,306640.0,289614.0,85975.0,23994.0,23994.0
2014-04-01,1827881.0,1295859.0,532021.0,968185.0,1125750.0,949030.0,968186.0,1038587.0,1807886.0,99981831.0,85839114.0,14142717.0,82038596.0,1624055.0,1624055.0,-0.0,1643721.0,1621700.0,321450.0,178728.0,142722.0,232195.0,271119.0,227407.0,247803.0,249962.0,4497.0,4497.0
2014-07-01,1255919.0,945090.0,310829.0,989516.0,1194172.0,1010964.0,989517.0,599327.0,462190.0,100553978.0,86301304.0,14252674.0,82438242.0,229306.0,229306.0,-0.0,243816.0,226321.0,221964.0,100449.0,121515.0,251654.0,345677.0,257016.0,274367.0,97099.0,132394.0,132394.0
2014-10-01,2252801.0,1975830.0,276971.0,1006684.0,1176356.0,987522.0,1006685.0,1610187.0,1882386.0,102509713.0,88183689.0,14326023.0,84137060.0,1145945.0,1145945.0,-0.0,1172357.0,1142955.0,711927.0,630960.0,80967.0,175179.0,204850.0,170388.0,158972.0,428192.0,105833.0,105833.0
2015-01-01,2480814.0,2212736.0,268078.0,1047974.0,1219749.0,1027391.0,1047976.0,1568550.0,1945667.0,104433693.0,90129357.0,14304336.0,85796025.0,1304568.0,1304568.0,0.0,1322796.0,1301380.0,666625.0,671185.0,-4560.0,352301.0,380684.0,347155.0,343081.0,382996.0,-29785.0,-29785.0
2015-04-01,1353268.0,796843.0,556425.0,1051486.0,1240720.0,1030217.0,1051487.0,661935.0,438179.0,105013022.0,90567536.0,14445485.0,86339940.0,289368.0,289368.0,-0.0,285766.0,286383.0,193144.0,40364.0,152780.0,251513.0,303496.0,246196.0,271156.0,160839.0,108860.0,108860.0
2015-07-01,1922174.0,1798549.0,123625.0,1056713.0,1240252.0,1035191.0,1056714.0,1149497.0,-1035868.0,104043411.0,89531668.0,14511743.0,85251212.0,-1337274.0,-1337274.0,-0.0,-1317033.0,-1340178.0,391474.0,315716.0,75758.0,266160.0,356993.0,260779.0,288632.0,252049.0,-15218.0,-15218.0
2015-10-01,1714055.0,1261012.0,453043.0,1038906.0,1214767.0,1016765.0,1038905.0,1033864.0,1582709.0,105654321.0,91114377.0,14539943.0,86558571.0,1124340.0,1124340.0,-0.0,1144432.0,1121348.0,616335.0,490020.0,126315.0,178796.0,187699.0,173261.0,145902.0,307578.0,-32413.0,-32412.0
2016-01-01,2360282.0,2024075.0,336207.0,1038120.0,1227876.0,1016726.0,1038119.0,1372722.0,949631.0,106602858.0,92064008.0,14538850.0,87201989.0,447803.0,447803.0,0.0,452606.0,445179.0,597442.0,589432.0,8010.0,346473.0,387518.0,341124.0,341636.0,287574.0,-90829.0,-90829.0
2016-04-01,2143475.0,1591567.0,551908.0,945113.0,1142552.0,930584.0,945114.0,1083566.0,1452989.0,108200709.0,93516997.0,14683712.0,88718441.0,1308423.0,1308423.0,0.0,1323837.0,1305555.0,373178.0,220573.0,152605.0,228774.0,273836.0,225141.0,243076.0,265465.0,-76324.0,-76323.0
2016-07-01,1391156.0,789475.0,601681.0,925509.0,1127172.0,903870.0,925508.0,139306.0,2202265.0,110592345.0,95719262.0,14873083.0,90884903.0,2042320.0,2042320.0,-0.0,2070747.0,2039291.0,283625.0,86681.0,196944.0,239124.0,306209.0,233714.0,243423.0,29889.0,73244.0,73244.0
2016-10-01,174988.0,-200044.0,375032.0,926517.0,1149071.0,925138.0,926515.0,-174215.0,1198457.0,111893560.0,96917719.0,14975841.0,91965778.0,777846.0,777846.0,0.0,797978.0,774160.0,263228.0,154581.0,108647.0,144445.0,194105.0,144100.0,130678.0,22415.0,266393.0,266393.0
2017-01-01,2442431.0,1888862.0,553569.0,1025792.0,1258742.0,1031990.0,1025792.0,1223800.0,2173291.0,114121161.0,99091011.0,15030150.0,93853979.0,1662109.0,1662109.0,-0.0,1653742.0,1659140.0,573281.0,512235.0,61046.0,366193.0,388904.0,367742.0,342953.0,203684.0,-2880.0,-2880.0
2017-04-01,2033678.0,1394704.0,638975.0,1033864.0,1236694.0,1011757.0,1033864.0,1431088.0,1758661.0,116044889.0,100849672.0,15195217.0,95841466.0,1616408.0,1616408.0,0.0,1658067.0,1613552.0,339401.0,166712.0,172689.0,242317.0,292348.0,236790.0,259343.0,361398.0,-24783.0,-24783.0
2017-07-01,1603761.0,1208128.0,395633.0,1038814.0,1373983.0,1137639.0,1038814.0,649955.0,2128715.0,118311972.0,102978387.0,15333584.0,97962871.0,1976902.0,1976902.0,-0.0,2007939.0,1974709.0,362650.0,218135.0,144515.0,258441.0,388867.0,283147.0,282376.0,186584.0,-67867.0,8133.0
2017-10-01,1596538.0,817327.0,779211.0,1025161.0,1264223.0,1002241.0,1025162.0,1469378.0,2625249.0,121145311.0,105603637.0,15541674.0,100611143.0,2098232.0,2098232.0,0.0,2116140.0,2092733.0,643768.0,430172.0,213596.0,163957.0,213292.0,158227.0,146236.0,441888.0,99163.0,99163.0
2018-01-01,3093294.0,2611623.0,481670.0,1220188.0,1456278.0,1197491.0,1220189.0,1820311.0,663304.0,121848415.0,106266941.0,15581474.0,100939699.0,-175727.0,-175727.0,-0.0,-170884.0,-178346.0,720303.0,676869.0,43434.0,409913.0,430993.0,404239.0,383506.0,341242.0,160951.0,160951.0
2018-04-01,1982359.0,1452318.0,530041.0,1187399.0,1433049.0,1166201.0,1187397.0,984423.0,1862117.0,123840708.0,108129058.0,15711650.0,102877306.0,1573797.0,1573797.0,0.0,1588055.0,1570912.0,326468.0,183328.0,143140.0,282483.0,341254.0,277183.0,298104.0,257883.0,104130.0,104130.0
2018-07-01,2769996.0,2228292.0,541704.0,1186383.0,1439915.0,1177814.0,1186381.0,2437867.0,2067657.0,126091674.0,110196715.0,15894959.0,105107759.0,1540611.0,1540611.0,0.0,1546416.0,1537440.0,657988.0,476701.0,181287.0,302250.0,414475.0,300108.0,327179.0,631669.0,49606.0,81604.0
2018-10-01,1952284.0,1486849.0,465435.0,1247600.0,1510536.0,1260859.0,1247599.0,663876.0,-3911273.0,122312565.0,106285442.0,16027123.0,100839738.0,-4272015.0,-4272015.0,-0.0,-4262120.0,-4275346.0,744722.0,607870.0,136852.0,215747.0,273222.0,219062.0,201602.0,245823.0,-248057.0,-238057.0
2019-01-01,3386927.0,3038969.0,347957.0,1375511.0,1628912.0,1354549.0,1375509.0,2317910.0,5327798.0,127646333.0,111613240.0,16033093.0,105839463.0,4608767.0,4608767.0,-0.0,4602913.0,4605656.0,765942.0,755757.0,10185.0,457341.0,498713.0,452101.0,444886.0,437939.0,-36856.0,-36856.0
2019-04-01,2366110.0,1681536.0,684574.0,1316169.0,1595735.0,1296895.0,1316168.0,1323732.0,1849215.0,129670605.0,113462455.0,16208150.0,107813793.0,1627704.0,1627704.0,-0.0,1642627.0,1624558.0,405305.0,225474.0,179831.0,310643.0,390225.0,305825.0,339700.0,338615.0,-4467.0,-4468.0
